# 由21键曲谱播放器从 【Animenz】Butter-Fly（完整版）- 数码宝贝 OP.mid 转换
# 格式：按键 拍数；p 表示休止，同时按键写在一起
# 录制基准：500 ms/拍
p 0.9375
wtug 1.625
u 0.25
u 0.25
u 0.75
y 0.75
t 0.625
qryg 1.6875
ryu 3.3125
wtug 1.75
u 0.1875
u 0.3125
u 0.75
y 0.75
t 0.625
qryg 1.8125
rt 3
s 0.125
g 0.125
h 0.125
qz 0.5
x 0.5
b 0.5625
q 0.25
q 0.3125
q 0.75
h 0.8125
g 0.625
fhzv 1.625
qfh 1.75
x 0.75
s 0.125
g 0.125
h 0.1875
qz 0.5
x 0.5
b 0.5625
q 0.25
q 0.3125
q 0.75
h 0.8125
g 0.625
fhzv 1.6875
fg 3.0625
azx 4.3125
u 0.125
u 0.1875
u 5.75
g 0.125
h 0.125
qz 0.625
wx 0.5
wb 0.4375
n 0.5625
w 1.0625
q 0.5625
qrg 0.5
z 0.5625
wx 0.5
b 0.5625
n 1.0625
b 0.5
z 0.5
q 0.5
sgz 0.5625
wb 0.5
wn 0.5
s 0.5625
w 1.0625
q 0.5625
rsg 0.125
a 0.9375
t 0.5
b 0.5625
z 1.125
sfjz 0.5
h 0.5
j 0.5625
afhz 0.5
g 0.5
v 0.5625
ab 1
g 0.5625
gv 0.5625
dgj 0.5
cbm 0.5625
h 0.5
g 0.5
qfh 0.5625
avn 0.5
j 0.5625
h 0.5625
g 0.5
z 1
x 0.625
b 1.0625
w 0.5
ts 0.5
u 0.5625
wug 0.5625
t 0.5625
w 1.0625
qafgxn 1.75
s 0.125
g 0.1875
h 0.1875
qgz 0.5
wx 0.5
wb 0.5
wn 0.5625
w 1.0625
q 0.5
qrg 0.5625
z 0.5
wx 0.5625
b 0.5625
n 1.0625
b 0.5
z 0.5625
q 0.5625
sgz 0.625
wb 0.5
wn 0.5
ws 0.5625
w 1
q 0.5625
rasg 1.0625
tz 0.625
b 0.5625
z 1.125
sfjz 0.5625
h 0.5
j 0.5625
afhz 0.5
g 0.5
v 0.5625
ab 1.0625
g 0.5625
gv 0.5625
dgj 0.5625
cbm 0.5
h 0.5
g 0.5625
qfh 0.5625
avn 0.5
j 0.5625
h 0.5625
h 0.5
z 1
x 0.625
gb 0.25
h 0.25
g 0.625
b 0.5
ws 0.5625
u 0.5625
ug 2.5
b 1.1875
g 1.0625
g 0.125
q 0.1875
w 0.125
tv 0.5625
a 0.5
ts 0.5625
g 0.5
r 0.5
w 0.5625
v 0.5
q 0.5625
sgz 0.5
b 0.5
n 0.625
s 1.125
q 0.5625
q 0.5
q 0.5
fhz 0.5625
g 0.5625
b 0.5
sg 0.5
fg 0.5625
h 0.5
qb 0.5625
qs 0.5625
z 0.5
x 0.5
n 0.5
a 1.125
g 0.5625
gz 0.5
g 0.5625
qtgz 0.5
v 0.5625
ta 0.5
sg 0.5625
r 0.5
w 0.5
v 0.5625
q 0.5625
sgz 0.5
b 0.5
n 0.625
s 1.125
z 0.5625
q 1.125
qafgz 0.5625
q 0.5
qb 0.5625
wsghx 1.0625
qn 0.5
ws 0.5625
egj 0.5
dcm 0.5625
w 0.5
em 0.5
qrfhv 1.125
a 0.5
qfh 0.8125
gh 0.1875
q 0.125
wsx 1.0625
n 0.5625
sgh 1.0625
x 0.5625
n 0.4375
x 0.5625
wsgh 1.0625
wu 1.1875
yuz 1.25
u 0.9375
g 0.125
