# 曲名：世界赠予我的
# 推荐节拍：968 ms/拍
# 制谱说明：依据公开完整单旋律简谱逐小节转录；包含谱面前奏、间奏与尾奏。
p 2
d 1
g 1
w 0.5
q 0.25
q 0.25
q 0.5
g 0.5
d 1
d 1
w 0.5
q 0.25
q 0.25
q 0.5
j 0.5
q 1
q 1
e 0.5
e 0.25
e 0.25
e 0.5
q 0.5
g 1
g 1
h 1
j 1
q 1
j 1
q 4
q 4
a 0.5
s 0.5
s 0.5
d 0.25
g 0.25
g 1
p 1
n 0.5
a 0.5
s 0.25
a 0.25
a 0.5
d 0.5
d 0.5
p 1
f 0.5
d 0.25
n 0.25
n 0.5
a 0.5
a 1
p 1
s 0.5
d 0.25
f 0.25
f 0.5
g 0.25
d 0.25
d 1
p 1
q 0.5
j 0.25
q 0.25
q 1
j 0.5
h 0.25
j 0.25
j 1
h 1.5
q 0.5
d 1
d 1
p 0.5
a 0.25
s 0.25
d 0.5
s 0.5
d 0.5
j 0.5
j 0.75
q 0.25
q 2
p 1
g 0.5
f 0.5
d 0.75
s 0.25
s 1
p 1
p 1
p 1
p 1
d 1
g 1
w 0.5
q 0.25
q 0.25
q 0.5
d 0.25
g 0.25
d 1
p 0.75
d 0.25
w 0.5
q 0.25
q 0.25
q 0.5
j 0.5
q 1
p 0.5
q 0.25
g 0.25
e 0.5
e 0.5
e 0.5
q 0.25
g 0.25
g 1
p 0.75
d 0.25
f 0.5
g 0.25
h 0.25
h 0.5
a 0.5
s 1
p 1
g 0.25
d 0.25
d 0.5
g 0.5
d 0.25
w 0.25
w 1
p 0.75
q 0.25
q 0.5
w 0.5
e 0.5
q 0.5
q 0.25
q 0.25
h 0.25
g 0.25
g 1
h 0.5
q 0.5
g 0.5
a 0.5
g 0.5
g 0.5
p 0.75
d 0.25
f 0.5
f 0.5
d 0.75
s 0.25
s 1
d 0.75
b 0.25
b 0.5
x 1.5
a 1
p 1
p 0.75
m 0.25
z 0.5
m 0.5
z 1.5
z 0.125
m 0.125
z 0.125
x 0.125
b 0.75
p 0.25
m 0.25
z 0.25
x 0.25
d 0.5
g 0.5
q 0.5
w 0.25
e 0.5
h 1
n 0.25
j 0.25
q 0.25
w 0.25
q 1
j 1
q 4
a 0.5
s 0.5
s 0.5
d 0.25
g 0.25
g 1
p 1
n 0.5
a 0.5
s 0.25
a 0.25
a 0.5
d 0.5
d 0.5
p 1
f 0.5
d 0.25
n 0.25
n 0.5
a 1.5
p 1
s 0.5
d 0.25
f 0.25
f 0.5
g 0.25
d 0.25
d 1
p 1
q 0.5
j 0.25
q 0.25
q 1
j 0.5
h 0.25
j 0.25
j 1
h 1.5
q 0.5
d 1
d 1
p 0.5
a 0.25
s 0.25
d 0.5
s 0.5
d 0.5
a 0.5
g 0.25
g 0.25
g 0.5
g 0.5
f 0.5
f 0.5
d 0.75
s 0.25
s 1.5
p 1
p 1
d 1
g 1
w 0.5
q 0.25
q 0.25
q 0.5
d 0.25
g 0.25
d 1
p 0.75
d 0.25
w 0.5
q 0.25
q 0.25
q 0.5
j 0.5
q 1
p 0.5
q 0.25
g 0.25
e 0.5
e 0.5
e 0.5
q 0.25
g 0.25
g 1
p 0.75
d 0.25
f 0.5
g 0.25
h 0.25
h 0.5
g 0.5
s 1
p 1
g 0.25
d 0.25
d 0.5
g 0.5
d 0.25
w 0.25
w 1
p 0.75
q 0.25
q 0.5
w 0.5
e 0.5
q 0.5
q 0.25
q 0.25
h 0.25
g 0.25
g 1
h 0.5
q 0.5
g 0.5
a 0.5
g 0.5
g 0.5
p 0.75
d 0.25
f 0.5
f 0.5
d 1
s 1.5
b 0.25
d 0.25
s 0.5
a 1.5
p 1
p 1
a 0.5
s 0.5
s 0.5
d 0.25
g 0.25
g 1
p 1
n 0.5
a 0.5
s 0.5
g 0.5
d 1
p 1
f 0.5
d 0.25
n 0.25
n 0.5
a 0.5
a 1
p 1
s 0.5
d 0.25
f 0.25
f 0.5
g 0.25
d 0.25
d 1
p 1
q 0.5
j 0.25
q 0.25
q 1
j 0.5
h 0.25
j 0.25
j 1
h 1.5
a 0.5
g 1
p 1
p 0.5
a 0.25
s 0.25
d 0.5
s 0.5
d 0.5
a 0.5
g 1
g 1
f 2
p 1
p 1
p 0.5
x 0.25
d 0.25
d 1
s 0.5
a 0.5
a 2
p 1
p 1
m 2
z 1
b 1
z 4
b 4
