# 曲名：东流
# 推荐节拍：472 ms/拍
# 制谱说明：完整声乐简谱校验男女声顺序与曲式；完整录音经 GAME 提取主旋律并逐拍量化
p 6.5
y 0.75
f 5.5
g 5.5
b 0.75
n 4.25
b 3.25
p 10.5
h 0.5
w 0.5
e 0.5
w 0.5
e 1
w 5
q 1.5
j 0.5
q 1
j 0.5
h 1
g 0.5
p 1
g 1.75
h 1.25
y 1.5
t 1
w 0.75
p 0.75
q 1
w 1.25
p 4.5
e 1
t 1.75
y 2.25
e 0.75
w 0.75
p 2.75
w 0.5
e 1.5
p 8.75
n 1
d 0.5
s 6.25
a 1.75
m 0.5
a 0.75
m 0.75
n 0.75
b 3
p 0.75
n 0.75
h 2
g 0.5
s 1.5
a 1.5
s 1
d 3.25
p 1.25
d 1
g 1.5
h 2.25
s 1.25
a 1
g 0.75
a 1.25
s 0.75
g 2
s 2.5
m 0.75
p 1
n 1.25
d 1
s 1.5
a 1
s 0.75
d 1
s 2.25
a 5
s 2.75
y 0.5
q 0.75
y 1
t 0.5
y 1.5
q 1
y 0.75
u 0.25
y 0.5
t 1.25
p 1
r 0.5
t 2.25
w 2.25
t 2
h 1
w 1
q 0.75
w 0.75
p 0.5
q 1
w 1
q 0.5
w 1
t 1.25
r 0.25
e 4.25
p 0.25
t 0.25
y 0.25
t 0.5
e 0.5
w 0.5
q 1.5
h 1
g 0.5
h 1
q 1.5
j 1
q 0.5
w 1
g 3
d 1.25
g 1.75
h 2.25
s 0.5
d 0.5
s 2.25
h 0.75
s 4
a 1.5
n 0.75
p 14.5
e 3
w 1
e 2
w 1
q 5
f 3.75
g 3.5
s 0.5
p 6.25
h 0.5
e 1
w 1
e 0.5
w 0.5
p 4.25
q 1.75
j 0.5
q 0.75
j 0.75
h 1
g 0.5
p 0.75
g 1.25
p 0.75
h 1
y 1.5
t 1
w 1.5
q 0.75
w 1
p 5.25
e 1
t 1.5
y 2.25
e 0.75
w 5.75
p 8.5
n 0.5
s 0.5
d 0.5
s 0.5
d 1
s 0.75
p 4.25
a 1.5
m 0.5
a 1
m 0.5
n 1
b 2
p 1.5
n 1
h 2
g 0.5
s 1.5
a 0.75
s 1
g 0.5
d 5.5
g 1.75
h 2
e 1
s 1
p 1.25
q 1
w 1
g 1.75
w 0.5
e 0.5
w 1.75
j 1.5
h 0.75
e 1.75
w 1
h 1.5
e 1.5
w 1
p 1.5
q 1.75
j 1.25
h 4.75
q 1
y 1
t 0.5
y 1.5
q 1
t 1
y 0.75
t 1
p 1.25
t 2.5
w 2.25
r 2.25
h 1.75
q 0.75
w 0.75
p 0.75
q 1
w 1
q 0.5
w 1
t 1.25
e 3
p 1.5
t 1
e 0.5
w 0.75
q 1.25
g 1.5
h 1
p 0.25
q 1.25
h 1
q 0.5
w 1.25
g 2.75
d 1.5
g 1
h 2.5
w 0.5
s 1
w 1
q 0.5
h 1.5
w 0.25
e 0.75
w 0.75
e 0.75
w 1
g 2
h 6.25
w 2
q 0.75
h 0.5
p 0.75
e 1
w 1
q 0.5
w 0.75
p 0.75
q 2
h 0.75
p 19
