# 曲名：大香蕉
# 推荐节拍：480 ms/拍（125 BPM）
# 制谱说明：龙智祥、吴非华2016正式版；依据G调公开弹唱谱信息、125 BPM、正式歌词结构及主旋律听感制作21键候选。
n 1
a 1
s 1
d 1
d 1
s 1
a 1
n 1
n 1
a 1
s 1
d 1
g 2
d 1
s 1
n 1
a 1
s 1
d 1
g 1
h 1
g 1
d 1
s 1
d 1
s 1
a 1
n 4
n 0.5
n 0.5
a 1
s 1
d 1
d 1
s 1
a 2
a 0.5
s 0.5
d 1
g 1
d 1
s 1
a 1
n 2
n 0.5
a 0.5
s 1
d 1
s 1
a 1
s 1
d 2
d 0.5
g 0.5
h 1
g 1
d 1
s 2
a 1
p 1
a 0.5
a 0.5
s 1
d 1
g 1
g 1
d 1
s 2
s 0.5
d 0.5
g 1
h 1
g 1
d 2
s 1
a 1
d 0.5
d 0.5
g 1
h 1
g 1
d 1
s 1
a 2
s 0.5
d 0.5
s 1
a 1
m 1
n 3
p 1
n 0.5
n 0.5
a 1
s 1
d 1
d 0.5
s 0.5
a 1
s 2
d 0.5
d 0.5
g 1
h 1
g 1
d 1
s 1
a 2
g 0.5
h 0.5
g 1
d 1
s 1
d 0.5
g 0.5
d 1
s 2
a 0.5
s 0.5
d 1
s 1
a 1
m 1
n 3
n 0.5
n 0.5
a 1
s 1
d 1
d 0.5
s 0.5
a 1
s 2
d 0.5
d 0.5
g 1
h 1
g 1
d 1
s 1
a 2
g 0.5
h 0.5
g 1
d 1
s 1
d 0.5
g 0.5
d 1
s 2
a 0.5
s 0.5
d 1
s 1
a 1
m 1
n 3
n 1
a 1
s 1
d 1
d 1
s 1
a 1
n 1
n 1
a 1
s 1
d 1
g 2
d 1
s 1
n 1
a 1
s 1
d 1
g 1
h 1
g 1
d 1
s 1
d 1
s 1
a 1
n 4
n 0.5
n 0.5
a 1
s 1
d 1
d 1
s 1
a 2
a 0.5
s 0.5
d 1
g 1
d 1
s 1
a 1
n 2
n 0.5
a 0.5
s 1
d 1
s 1
a 1
s 1
d 2
d 0.5
g 0.5
h 1
g 1
d 1
s 2
a 1
p 1
a 0.5
a 0.5
s 1
d 1
g 1
g 1
d 1
s 2
s 0.5
d 0.5
g 1
h 1
g 1
d 2
s 1
a 1
d 0.5
d 0.5
g 1
h 1
g 1
d 1
s 1
a 2
s 0.5
d 0.5
s 1
a 1
m 1
n 3
p 1
n 0.5
n 0.5
a 1
s 1
d 1
d 0.5
s 0.5
a 1
s 2
d 0.5
d 0.5
g 1
h 1
g 1
d 1
s 1
a 2
g 0.5
h 0.5
g 1
d 1
s 1
d 0.5
g 0.5
d 1
s 2
a 0.5
s 0.5
d 1
s 1
a 1
m 1
n 3
n 0.5
n 0.5
a 1
s 1
d 1
d 0.5
s 0.5
a 1
s 2
d 0.5
d 0.5
g 1
h 1
g 1
d 1
s 1
a 2
g 0.5
h 0.5
g 1
d 1
s 1
d 0.5
g 0.5
d 1
s 2
a 0.5
s 0.5
d 1
s 1
a 1
m 1
n 3
n 0.5
n 0.5
a 1
s 1
d 1
d 0.5
s 0.5
a 1
s 2
d 0.5
d 0.5
g 1
h 1
g 1
d 1
s 1
a 2
g 0.5
h 0.5
g 1
d 1
s 1
d 0.5
g 0.5
d 1
s 2
a 0.5
s 0.5
d 1
s 1
a 1
m 1
n 3
n 0.5
n 0.5
a 1
s 1
d 1
d 0.5
s 0.5
a 1
s 2
d 0.5
d 0.5
g 1
h 1
g 1
d 1
s 1
a 2
g 0.5
h 0.5
g 1
d 1
s 1
d 0.5
g 0.5
d 1
s 2
a 0.5
s 0.5
d 1
s 1
a 1
m 1
n 3
n 0.5
n 0.5
a 1
s 1
d 1
d 0.5
s 0.5
a 1
s 2
d 0.5
d 0.5
g 1
h 1
g 1
d 1
s 1
a 2
g 0.5
h 0.5
g 1
d 1
s 1
d 0.5
g 0.5
d 1
s 2
a 0.5
s 0.5
d 1
s 1
a 1
m 1
n 3
n 0.5
n 0.5
a 1
s 1
d 1
d 0.5
s 0.5
a 1
s 2
d 0.5
d 0.5
g 1
h 1
g 1
d 1
s 1
a 2
g 0.5
h 0.5
g 1
d 1
s 1
d 0.5
g 0.5
d 1
s 2
a 0.5
s 0.5
d 1
s 1
a 1
m 1
n 3
