# 曲名：大鱼
# 推荐节拍：857 ms/拍
# 制谱说明：依据公开完整原唱单旋律简谱转录，展开两段歌词、间奏、吟唱与尾奏。
e 0.5
w 0.5
e 0.5
y 0.5
e 0.5
w 0.5
e 0.5
u 0.5
e 0.5
w 0.5
e 0.5
q 0.5
j 1
t 1
e 0.5
w 0.5
e 0.5
y 0.5
e 0.5
w 0.5
e 0.5
u 0.5
t 3
p 1
e 0.5
w 0.5
e 0.5
y 0.5
e 0.5
w 0.5
e 0.5
u 0.5
e 0.5
w 0.5
e 0.5
q 0.5
j 1
t 1
w 0.5
e 0.5
h 0.5
w 0.5
e 0.5
h 0.5
g 1
h 3
p 1
n 0.5
a 0.5
a 0.5
s 0.5
s 0.5
d 0.5
d 0.5
g 0.25
h 0.25
g 1.5
d 0.5
s 1
p 1
n 0.5
a 0.5
a 0.5
s 0.5
s 0.5
d 0.5
d 1
n 1.5
b 0.5
p 1
p 1
n 0.5
a 0.5
a 0.5
s 0.5
s 0.5
d 0.5
d 0.5
g 0.25
h 0.25
g 1.5
d 0.5
s 1
p 1
s 0.5
d 0.5
n 0.5
s 0.5
d 0.5
n 0.5
g 1
n 2
p 1
n 0.5
a 0.5
s 1.5
a 0.5
n 1
n 0.5
a 0.5
s 1.5
a 0.5
d 0.5
d 0.5
g 1
h 0.5
h 0.5
g 0.5
d 0.5
s 1
a 1
s 1
d 1
p 1
n 0.5
a 0.5
s 1.5
a 0.5
n 1
n 0.5
a 0.5
s 1
a 1
d 2
s 0.5
d 0.5
n 0.5
s 0.5
d 0.5
n 0.5
g 1
n 2
p 1
d 0.5
g 0.5
q 1.5
j 0.5
d 1
d 0.5
s 0.5
a 1
a 0.5
s 0.5
d 1
d 0.5
s 0.5
a 1
h 0.5
q 0.5
j 0.5
h 0.5
g 0.5
s 0.5
d 2
p 1
d 0.5
g 0.5
q 1.5
j 0.5
d 1
d 0.5
s 0.5
a 1
a 0.5
s 0.5
d 2
s 0.5
d 0.5
n 0.5
s 0.5
d 0.5
n 0.5
g 1
n 3
p 1
e 0.5
w 0.5
e 0.5
y 0.5
e 0.5
w 0.5
e 0.5
u 0.5
e 0.5
w 0.5
e 0.5
q 0.5
j 1
