# 由21键曲谱播放器从 【鸣潮】 爱弥斯主题曲 《小小奇迹》.mid 转换
# 格式：按键 拍数；p 表示休止，同时按键写在一起
# 录制基准：500 ms/拍
p 8.5
sgz 4
s 0.625
z 0.375
x 0.375
shz 4
sh 1.375
sgjx 4
sgj 0.625
b 0.625
qsgc 2
sgj 1.375
c 0.625
v 0.625
b 0.625
sgz 3.375
z 0.625
sz 0.625
z 0.625
shb 0.125
n 0.5
b 3.375
sh 1.375
sgjx 4
sgj 1.375
qsgz 2
sgj 3.375
c 0.625
tg 0.375
rs 0.25
g 0.625
tc 0.375
m 0.25
s 0.375
g 0.25
s 0.375
m 0.25
g 0.625
tm 0.375
t 0.25
rx 0.625
f 0.375
ta 0.25
f 0.625
wx 0.375
n 0.25
a 0.375
g 0.25
a 0.375
n 0.25
g 0.625
jn 0.625
qz 0.625
f 0.375
rs 0.25
f 0.625
tz 0.375
n 0.25
a 0.375
f 0.25
a 0.375
n 0.25
f 0.625
ta 0.625
uz 0.625
f 0.375
us 0.25
f 0.625
yz 0.375
n 0.25
ta 0.375
f 0.25
a 0.375
yn 0.25
f 0.625
a 0.625
c 0.625
tg 0.375
rs 0.25
g 0.625
tc 0.375
m 0.25
s 0.375
g 0.25
s 0.375
m 0.25
g 0.625
tm 0.625
rx 0.75
f 0.375
ta 0.25
f 0.625
wx 0.375
n 0.25
a 0.375
g 0.25
a 0.375
n 0.25
g 0.625
jn 0.625
qz 0.625
f 0.375
ts 0.25
f 0.625
tz 0.375
n 0.25
ta 0.375
f 0.25
a 0.375
n 0.25
f 0.625
ta 0.625
ujz 0.375
v 0.25
qum 0.375
s 0.25
uj 0.625
quz 0.375
v 0.25
uz 0.375
yh 0.375
z 0.375
tg 0.375
sxn 0.375
x 0.375
tgz 0.375
z 0.375
z 0.625
z 0.625
yhbm 0.375
tgbm 0.625
zb 0.375
tg 0.375
z 0.375
ez 0.375
tgcb 0.625
z 0.375
wscm 0.625
zb 0.625
zb 0.625
wsbm 0.375
tgbm 0.375
tg 0.375
tgxb 0.375
tg 0.375
z 0.375
tgz 0.375
yhxb 0.625
yhz 0.25
ujxm 0.625
zx 0.625
ujzx 0.625
sn 0.375
sn 0.375
qu 0.375
xn 0.375
qu 0.375
z 0.375
ujx 0.375
ujn 0.375
x 0.375
yhv 0.375
yshm 0.625
wszc 0.375
tg 0.375
tgz 0.375
tgc 0.375
tdgm 0.625
w 0.375
ydh 0.375
dbm 0.625
tgb 0.625
ydhvm 0.625
tgx 0.625
z 0.625
z 0.625
edzc 0.375
tg 0.375
tg 0.375
tgzb 0.375
tg 0.375
z 0.375
tgz 0.375
yhcb 0.625
yhz 0.375
ujcm 0.625
zb 0.625
zb 0.625
usjb 0.375
usjb 0.625
ujz 0.625
xb 0.375
ujz 0.625
qum 0.375
b 0.375
ujz 0.375
z 0.375
qyhz 0.625
z 0.375
qyh 0.375
zv 0.625
uj 0.375
z 0.375
qryu 0.375
zv 0.375
z 0.625
zn 0.625
tgz 0.625
eyuzx 0.375
sn 0.625
x 0.375
sn 0.375
v 0.375
x 0.375
z 0.375
wryuz 1
tg 0.375
euz 0.375
z 0.375
quz 0.375
wtuz 0.375
z 0.625
c 0.625
qtusbm 0.625
ujc 0.625
wyhz 0.625
tgz 0.625
tgjxvn 0.375
z 0.375
ed 0.375
rf 0.375
etgz 0.625
etgz 0.375
ryh 0.375
scb 0.625
tujz 0.625
tyhzx 0.375
sn 0.375
x 0.625
wsn 0.375
ux 0.625
yh 0.375
qtuz 0.625
quz 0.375
uj 0.375
acb 0.625
quz 0.625
wruz 0.625
tz 0.375
tg 0.375
xbm 0.375
z 0.375
tuj 0.625
qyuzx 0.625
tujx 0.625
ryshvn 0.625
wtgx 0.625
rujzx 0.375
vn 0.375
rujx 0.375
qrux 0.375
sn 0.625
rujx 0.375
z 0.375
eyhzc 0.375
tg 0.375
c 0.375
tg 0.375
dbm 0.625
tgc 0.625
wyhzx 0.625
tgx 0.625
yshvn 0.375
x 0.375
tg 0.625
qtuz 0.375
uj 0.375
jz 0.375
uj 0.375
acb 0.625
ujz 0.375
uj 0.375
wuz 0.375
ab 0.375
tgz 0.625
yahb 0.375
z 0.375
tg 0.375
z 0.375
qagz 0.375
cb 0.375
tg 0.375
z 0.375
rfcb 0.625
tg 0.625
wyhz 0.375
vn 0.375
yh 0.375
ujz 0.375
vn 0.625
yh 0.625
eyhz 0.375
sb 0.375
etg 0.375
etgz 0.375
sb 0.375
b 0.375
ujc 0.375
z 0.375
wyuzx 1
eyu 1
tuj 0.625
ryhz 1.375
sb 0.625
wtg 0.375
z 0.625
sb 0.375
qz 0.125
w 0.25
z 0.375
sb 0.375
q 0.375
j 0.375
q 0.375
hx 0.125
j 0.5
x 0.375
h 0.375
sn 0.625
h 0.375
x 0.625
sn 0.375
x 0.375
x 0.375
sn 0.375
sg 0.375
h 0.375
jx 0.375
qc 0.375
h 0.125
j 0.5
h 0.375
sgm 0.625
g 0.375
c 0.625
sm 0.375
c 0.375
c 0.375
sm 0.375
g 0.375
w 0.375
t 0.375
rx 0.375
w 0.375
jx 0.375
q 0.125
w 0.25
sn 0.375
e 0.625
x 0.625
wsn 0.125
e 0.25
x 0.375
hx 0.375
s 0.375
gn 0.375
hv 0.375
jx 0.375
gz 0.625
z 0.375
d 0.375
sb 1
zm 0.125
a 0.25
s 0.375
db 0.375
fz 0.375
gz 0.375
shb 0.375
j 0.375
q 0.375
w 0.375
hzx 0.125
j 0.125
w 0.375
x 0.625
sjn 0.375
h 0.375
g 0.375
dx 0.375
f 0.375
esn 0.375
wx 0.375
x 0.375
sn 0.375
sj 0.625
x 0.375
zc 0.5
h 0.125
j 0.375
e 0.5
rsm 0.125
t 0.375
r 0.5
e 0.125
c 0.375
y 0.375
sm 0.375
c 0.375
c 0.375
sm 0.625
y 0.125
u 0.5
z 0.375
vm 0.375
y 0.375
tz 0.125
r 0.125
tvm 0.375
em 0.125
r 0.5
z 0.375
vm 0.375
m 0.375
z 2
c 0.625
tg 0.375
r 0.125
s 0.25
g 0.625
tc 0.625
zc 0.625
dbm 0.375
z 0.375
c 0.375
z 0.375
tc 0.375
tz 0.375
rzx 0.625
x 0.375
t 0.375
sfn 0.625
wx 0.375
z 0.375
x 0.625
x 0.625
sgn 0.625
jx 0.625
qz 0.625
z 0.375
r 0.375
scb 0.625
tz 0.375
z 0.375
z 0.625
z 0.625
scb 0.625
etz 0.625
tuz 0.625
z 0.375
tu 0.375
scb 0.625
yz 0.375
z 0.375
etz 0.625
z 0.375
ry 0.375
scb 0.625
z 0.625
zc 0.625
tc 0.375
r 0.375
dgm 0.625
tc 0.375
z 0.375
c 0.625
c 0.625
dgm 0.625
tc 0.625
rzx 0.625
x 0.375
t 0.375
sfn 0.625
wx 0.375
z 0.375
x 0.625
x 0.625
sgn 0.625
jx 0.625
qz 0.625
qz 0.375
r 0.375
scb 0.625
tz 0.375
z 0.375
z 0.625
z 0.625
scb 0.625
tz 0.375
y 0.375
rujz 0.625
qru 0.375
z 0.375
rujxvn 0.625
qruz 0.625
rujz 0.625
cb 0.375
eyh 0.375
x 0.125
n 0.125
s 0.125
x 0.375
wtgz 0.375
z 0.375
z 0.625
z 0.625
yhbm 0.375
tgbm 0.625
zb 0.375
tg 0.375
z 0.375
ez 0.375
tgcb 0.625
z 0.375
wscm 0.625
zb 0.625
zb 0.625
wsbm 0.375
tgbm 0.375
tg 0.375
tgxb 0.375
tg 0.375
z 0.375
tgz 0.375
yhxb 0.625
yhz 0.375
ujxm 0.625
zx 0.625
rujzx 0.625
sn 0.375
sn 0.375
qru 0.375
xn 0.375
qru 0.375
z 0.375
ujx 0.375
rujn 0.375
x 0.375
yhv 0.375
ryshm 0.625
wszc 0.375
tg 0.375
tgz 0.375
tgc 0.375
tdgm 0.375
tg 0.375
tg 0.375
ydh 0.375
dbm 0.625
tgb 0.625
ydhvm 0.625
tgx 0.625
z 0.625
z 0.625
edcb 0.375
tgcb 0.375
tg 0.375
zc 0.375
tg 0.375
z 0.375
tgz 0.375
yhcb 0.625
yhz 0.375
ujz 0.375
z 0.375
zb 0.625
zb 0.625
usjb 0.375
uj 0.625
ujxb 0.375
z 0.625
usjb 0.625
qum 0.375
b 0.375
ujz 0.375
z 0.375
ryhz 0.625
z 0.375
ryh 0.375
zv 0.75
ruj 0.375
z 0.375
qryu 0.375
zv 0.375
z 0.625
zn 0.625
tgz 0.625
eyuzx 0.375
sn 0.625
x 0.375
sn 0.375
v 0.375
x 0.375
z 0.375
wryuz 1
tg 0.375
euz 0.375
z 0.375
qtuz 0.375
wtuz 0.375
z 0.625
c 0.625
qyusbm 0.625
tujc 0.625
ryhz 0.625
wtgz 0.625
wtgxvn 0.375
z 0.375
ed 0.375
rf 0.375
etgz 0.625
etgz 0.375
ryh 0.375
scb 0.625
tujz 0.625
tyhzx 0.375
sn 0.375
x 0.625
wsn 0.375
yux 0.625
yh 0.375
qtuz 0.625
qtuz 0.375
ruj 0.375
acb 0.625
qtuz 0.625
wyuz 0.625
tz 0.375
wtg 0.375
xbm 0.375
z 0.375
tuj 0.625
qyuzx 0.625
tujx 0.625
ryshvn 0.625
wtgx 0.625
rujzx 0.375
vn 0.375
rujx 0.25
qrux 0.375
sn 0.625
rujx 0.375
z 0.375
eyhzc 0.375
tg 0.375
c 0.375
tg 0.375
dbm 0.625
tgc 0.625
wyhzx 0.625
tgx 0.625
yshvn 0.375
x 0.375
tg 0.625
qtuz 0.375
uj 0.375
jz 0.375
uj 0.375
acb 0.75
ujz 0.375
uj 0.375
wuz 0.375
ab 0.375
tgz 0.625
yahb 0.375
z 0.375
tg 0.375
z 0.375
qadz 0.375
cb 0.375
etg 0.375
z 0.375
rfcb 0.625
etg 0.625
ryhz 0.375
vn 0.375
ryh 0.375
rujz 0.375
vn 0.625
ryh 0.625
eyhz 0.625
etsgb 0.375
etg 0.375
s 0.375
b 0.375
tujc 0.375
z 0.375
wyuzx 1
eyu 1
tuj 0.625
qryhz 0.625
z 0.375
w 0.375
sb 0.625
wtg 0.375
sb 1
z 0.625
sb 1.375
wrzx 0.375
sn 0.375
x 0.375
t 0.375
sn 0.625
y 0.375
sn 0.625
x 0.375
x 0.625
sn 1.375
tzc 0.625
c 0.375
e 0.375
sm 0.625
tsm 0.375
c 0.625
sm 0.375
c 0.625
sm 1.375
wyuzx 0.625
x 0.375
t 0.375
sn 0.5
sn 0.25
r 0.25
v 0.25
x 0.25
esn 0.5
sn 0.5
x 0.125
wtg 0.125
n 0.25
eus 0.375
n 0.375
qtuv 0.375
wtux 0.375
z 0.625
c 0.625
qyusbm 0.625
tujc 0.625
ryhz 0.625
wtgz 0.625
wtgxvn 0.375
z 0.375
ed 0.375
rf 0.375
etgz 0.625
etgz 0.375
ryh 0.375
scb 0.625
tujz 0.625
tyhzx 0.375
sn 0.375
x 0.625
wsn 0.375
yux 0.625
yh 0.375
qtuz 0.625
qtuz 0.375
ruj 0.25
acb 0.625
qtuz 0.625
wyuz 0.625
tz 0.375
wtg 0.375
xbm 0.375
z 0.375
tuj 0.625
qyuzx 0.625
tujx 0.625
ryshvn 0.625
wtgx 0.625
rujzx 0.375
vn 0.375
rujx 0.375
qrux 0.375
sn 0.625
rujx 0.375
z 0.375
eyhzc 0.375
etg 0.375
c 0.375
etg 0.375
dbm 0.625
etgc 0.625
ryhzx 0.625
wtgx 0.625
ryshvn 0.375
x 0.375
wtg 0.625
qtuz 0.375
tuj 0.375
jz 0.375
tuj 0.375
acb 0.625
tujz 0.375
tuj 0.375
wuz 0.375
ab 0.375
etgz 0.625
eyahb 0.375
z 0.375
etg 0.375
z 0.375
qadz 0.375
cb 0.375
etg 0.375
z 0.375
rfcb 0.625
etg 0.625
ryhz 0.375
vn 0.375
ryh 0.375
rujz 0.375
vn 0.625
ryh 0.625
eyhz 0.375
sb 0.375
etg 0.375
etgz 0.375
sb 0.625
tuj 0.625
wyuzx 1
eyu 0.375
s 0.375
v 0.375
tujx 0.625
eyhz 0.625
z 0.375
w 0.375
sb 0.625
etg 0.375
sb 0.625
z 0.375
z 0.625
sb 0.375
z 1
wtgzb 0.625
b 0.375
tuj 0.375
sm 0.625
wtg 0.375
sm 0.625
b 0.375
b 0.625
sm 0.375
b 1
wtgzx 0.625
x 0.375
ws 0.375
sn 0.625
wtg 0.375
sn 0.625
x 0.375
x 0.625
sn 0.375
x 1
etgzc 0.625
c 0.375
eyh 0.375
sm 0.625
etg 0.375
sm 0.625
c 0.375
c 0.625
sm 0.625
sm 0.375
sm 0.375
etgz 0.625
z 0.375
ws 0.375
sb 0.625
etg 0.375
sb 0.625
z 0.375
z 0.625
sb 0.375
z 1
wtgzb 0.625
b 0.375
tuj 0.375
sm 0.625
wtg 0.375
sm 0.625
b 0.375
b 0.625
sm 0.375
b 1
wtgzx 0.375
sn 0.625
wsx 0.375
sn 0.625
wtg 0.625
zx 0.375
sn 0.625
x 0.375
sn 1.375
eyhzc 0.375
sm 0.625
eujc 0.375
s 0.375
m 0.375
etgb 0.375
c 0.375
zc 1.375
z 0.25
c 0.25
z 0.25
c 0.25
z 0.25
c 0.25
uz 0.125
wtu 0.5
z 0.375
w 0.375
sb 0.625
t 0.375
sb 0.625
z 0.375
quz 0.625
sb 0.375
ujz 0.5
qu 0.5
tujzb 0.625
b 0.375
u 0.375
sm 0.625
t 0.375
sm 0.625
b 0.375
yhb 0.625
sm 0.375
ub 0.125
y 0.125
t 0.375
yh 0.375
tujzx 0.625
yhx 0.375
w 0.375
sn 0.625
t 0.375
sn 0.625
x 0.375
x 0.375
tg 0.375
rsfn 0.375
x 0.375
tg 0.625
tyhzc 0.375
sm 0.625
yc 0.375
sm 0.625
tusjm 0.375
c 0.625
sm 0.375
c 0.625
bm 0.125
s 0.25
c 0.375
ujz 0.375
quz 0.375
wtuz 0.625
z 0.375
w 0.375
sb 0.625
t 0.375
sb 0.625
z 0.375
euz 0.625
sb 0.375
uz 0.125
e 0.125
wu 0.375
eu 0.375
wtuzb 0.625
b 0.375
u 0.375
sm 0.625
t 0.375
sm 0.625
b 0.375
b 0.625
yusm 0.375
b 0.375
tu 0.375
u 0.375
zx 0.375
sn 0.625
x 0.375
sn 0.625
u 0.625
zx 0.375
sn 0.125
u 0.5
u 0.125
x 0.375
usn 1.375
yuzc 0.625
sm 0.375
c 0.375
s 0.375
m 0.375
tub 0.375
c 0.375
zc 1.375
r 0.625
t 0.625
etgzbm 1
ws 0.375
bm 0.625
etg 0.375
bm 0.625
bm 0.375
z 0.625
bm 1.375
wtgxbm 1
wtu 0.375
bm 0.625
wtg 0.375
bm 0.625
bm 0.375
x 0.625
bm 1.375
wtgxvn 1
ws 0.375
vn 0.625
wtg 0.375
vn 0.625
vn 0.375
x 0.625
vn 1.375
etgzc 1
eyh 1
etg 3.375
