# 曲名：恋愛サーキュレーション（恋爱循环）
# 推荐节拍：500 ms/拍
# 制谱说明：依据公开日文原唱简谱展开；固定21键无法表示的#2就近折叠为2。
p 1
p 0.5
a 0.5
g 0.5
h 0.5
h 0.5
h 0.25
g 0.25
a 1
a 0.5
p 0.5
a 0.5
g 0.5
h 1
h 0.5
h 0.5
h 0.5
h 0.25
g 0.25
a 0.5
a 0.5
a 1
a 1.5
d 0.5
p 1
g 0.5
h 0.5
a 1.5
a 0.5
p 0.5
s 0.5
s 0.5
p 0.5
d 1.5
a 0.5
p 0.5
g 0.5
h 1
a 1
h 0.5
a 0.5
p 0.5
h 0.5
a 0.5
h 0.5
a 1
h 0.5
a 0.5
p 1
a 1
f 1
d 1
a 1
h 1
d 1
p 1
a 2
a 1.5
a 0.5
p 0.5
s 0.5
s 0.5
p 0.5
d 1.5
a 0.5
p 0.5
g 0.5
h 1
a 1
h 0.5
a 0.5
p 0.5
h 0.5
a 0.5
h 0.5
f 1
d 1
a 1
s 1
a 2
p 1
p 1
p 2
d 1
g 1
a 2
p 1
s 1
s 1
p 1
d 2
d 2
a 1
s 1
d 1
p 1
a 2
a 2
p 1
s 1
s 1
p 1
d 2
d 2
a 1
d 1
h 1
p 1
a 2
a 2
p 1
s 1
s 1
p 1
d 2
d 2
a 1
s 1
d 1
p 1
a 2
a 2
p 1
s 1
s 1
p 1
d 2
d 2
a 1
d 1
a 2
p 1
p 1
p 1
p 0.5
a 0.5
g 0.5
h 0.5
h 0.5
h 0.25
g 0.25
a 1
a 0.5
p 0.5
a 0.5
g 0.5
h 1
h 0.5
h 0.5
h 0.5
h 0.25
g 0.25
a 0.5
a 0.5
a 1
a 1.5
d 0.5
p 1
g 0.5
h 0.5
a 1.5
a 0.5
p 0.5
s 0.5
s 0.5
p 0.5
d 1.5
a 0.5
p 0.5
g 0.5
h 1
a 1
h 0.5
a 0.5
p 0.5
h 0.5
a 0.5
h 0.5
a 1
h 0.5
a 0.5
p 1
a 1
f 1
d 1
a 1
h 1
d 1
p 1
a 2
a 1.5
a 0.5
p 0.5
s 0.5
s 0.5
p 0.5
d 1.5
a 0.5
p 0.5
g 0.5
h 1
a 1
h 0.5
a 0.5
p 0.5
h 0.5
a 0.5
h 0.5
f 1
d 1
a 1
s 1
a 2
p 1
p 1
p 2
d 1
g 1
a 2
p 1
s 1
s 1
p 1
d 2
d 2
