# 由21键曲谱播放器从 《愿戴荣光坠入天渊》.mid 转换
# 格式：按键 拍数；p 表示休止，同时按键写在一起
# 录制基准：500 ms/拍
p 3.25
hzn 1
e 1
e 0.75
qh 0.75
j 0.75
hzb 1.25
e 1
e 0.75
qh 0.75
j 0.75
ahzv 1.25
e 1.25
e 0.75
qh 0.75
j 0.75
dhjzm 2.25
shvm 2.25
zc 0.75
v 0.25
s 0.75
b 0.5
s 0.75
b 0.5
f 0.75
s 0.25
zc 0.75
v 0.5
s 0.75
b 0.25
s 0.75
b 0.25
f 0.75
s 0.5
zn 0.75
n 0.25
d 0.75
n 0.25
d 0.75
a 0.25
h 0.75
d 0.5
zn 0.75
n 0.5
d 0.75
n 0.25
d 0.75
a 0.25
h 0.75
d 0.25
yuhjz 0.75
un 0.25
eud 0.75
ua 0.25
eud 0.75
qya 0.75
j 0.5
y 0.25
uhjzb 0.75
um 0.25
eug 0.75
us 0.25
eug 0.75
qys 0.75
jb 0.75
tzn 0.25
yh 0.75
yn 0.5
eyd 0.75
ya 0.25
eth 0.75
qea 0.75
tdj 0.75
z 0.25
thb 0.25
y 0.75
m 0.25
g 0.75
ts 0.25
tj 0.75
s 0.75
a 0.5
z 0.25
yhjz 0.25
uv 0.75
un 0.25
eud 0.75
ea 0.25
y 0.25
eud 0.75
qya 0.75
j 0.5
y 0.25
uhjzb 0.75
um 0.5
tug 0.75
us 0.25
u 0.25
tyg 0.75
wts 0.75
qb 0.25
z 0.25
thzn 0.25
y 0.75
y 0.5
edh 0.5
y 0.5
a 0.25
t 0.25
edh 0.75
qea 0.75
tdj 0.5
j 0.25
yzc 0.75
m 0.25
d 0.25
e 0.5
m 0.25
d 0.25
egj 0.75
m 0.5
d 0.5
c 0.25
m 0.25
eb 0.25
uf 0.75
b 0.25
rus 0.75
b 0.5
eua 0.75
b 0.25
wus 0.75
s 0.25
ws 0.25
b 0.25
ug 0.75
b 0.25
y 0.25
yn 0.75
b 0.25
ydcn 0.25
j 0.75
n 0.5
tgh 0.5
s 0.25
n 0.25
c 0.5
qyz 0.75
v 0.5
wun 0.25
h 0.5
a 0.25
eudhj 0.25
m 0.5
v 0.25
rua 0.5
v 0.25
wz 0.25
t 0.25
uz 0.25
x 0.25
thb 0.5
wusm 0.25
wub 0.25
ux 0.25
b 0.25
