# 曲名：此梦缘君
# 来源：《一梦江湖》登录曲；王景飞作曲，jxou 钢琴独奏谱校验
# 推荐节拍：750 ms/拍
# 制谱说明：Bb 调钢琴独奏音频经多音 MIDI 转录，按谱面 80 BPM 逐拍量化并提取右手最高主旋律
p 1
h 0.25
p 0.25
q 1
w 0.25
p 0.75
j 0.5
p 0.5
q 0.5
n 1
p 0.5
d 0.25
c 0.25
a 0.5
n 0.5
a 1.5
d 0.75
p 0.25
s 0.25
a 0.5
p 0.25
m 0.5
n 0.25
p 0.25
a 0.25
n 0.5
d 0.25
n 1
c 0.5
d 0.25
h 0.25
e 0.25
c 1.25
p 0.25
n 0.25
b 0.25
c 1
b 0.75
c 0.25
p 0.25
c 0.25
d 0.25
m 0.5
a 0.25
s 0.25
d 0.25
p 1
s 0.5
d 0.25
p 0.25
s 0.5
d 0.25
s 0.25
d 0.25
p 0.25
s 0.5
n 0.25
p 0.25
a 0.5
p 0.25
c 0.5
q 0.5
j 0.25
q 0.5
j 0.25
d 0.25
p 0.25
x 1
e 0.25
p 0.25
w 0.25
n 0.25
q 0.25
c 0.25
q 0.5
c 0.25
g 0.25
c 0.5
p 0.5
v 0.25
p 0.25
q 0.25
p 0.25
e 0.25
h 0.25
p 0.5
d 0.25
p 2.75
g 0.25
z 0.25
d 0.25
g 0.25
s 0.5
a 0.5
n 1
p 0.5
c 0.5
d 0.5
s 0.25
c 0.25
a 0.5
d 0.5
a 0.5
p 1
a 0.5
v 1
d 0.25
a 0.5
h 0.25
q 0.25
z 0.25
x 0.25
b 0.75
s 0.5
b 0.5
x 0.5
m 0.25
b 0.25
p 0.25
s 0.25
a 0.25
d 0.75
p 0.25
d 0.5
b 0.5
m 0.5
b 0.5
d 0.5
a 0.5
p 0.5
n 0.25
p 0.75
d 0.25
p 0.25
n 0.5
d 0.5
n 0.25
p 0.75
j 0.5
d 0.5
s 0.5
d 0.25
p 0.25
g 0.25
j 0.25
b 0.5
d 0.5
b 0.25
p 0.25
n 1
d 0.25
p 0.25
n 1
s 0.5
x 0.5
d 0.5
h 0.25
p 0.25
a 0.5
s 0.5
a 0.5
n 0.5
a 0.5
d 0.5
p 0.25
a 0.5
d 0.25
p 0.75
a 1
d 0.5
a 0.5
d 0.25
p 0.5
a 0.25
d 0.25
p 1
n 0.25
p 0.5
q 0.5
a 0.25
z 0.25
n 0.25
w 0.25
n 0.25
a 0.25
j 0.25
z 0.25
m 0.5
z 0.25
p 0.25
a 0.25
j 0.5
m 0.25
q 0.5
j 0.5
g 0.25
b 0.25
d 0.75
p 0.25
a 0.25
q 0.25
c 0.5
b 0.5
q 1
z 0.25
q 0.25
n 1.25
p 0.25
a 0.5
c 0.75
a 0.5
d 0.25
z 0.25
a 0.5
d 0.25
p 1.75
a 0.75
z 0.25
w 0.25
p 0.25
a 0.5
m 0.5
z 0.75
p 0.25
a 0.25
j 0.25
m 0.75
p 0.25
j 0.25
p 0.75
b 1
n 0.25
s 0.25
n 1
p 0.75
n 0.25
p 2.5
