# 曲名：满庭芳
# 推荐节拍：811 ms/拍
# 制谱说明：完整版 MV 音频经 GAME 提取主旋律；开头静音按原时间线保留
p 22.25
s 1
h 1.5
p 1.5
g 0.5
h 0.5
q 1
g 1.25
p 0.75
h 0.75
f 1.25
g 5.75
s 1
h 3
g 0.5
h 0.5
q 0.75
r 0.75
e 1.5
q 0.5
g 0.5
f 1
h 0.5
q 3.75
h 0.5
w 0.25
e 0.5
r 0.5
h 0.5
q 1
h 0.25
q 0.25
r 0.5
t 0.25
r 0.75
e 0.5
q 1.25
p 0.5
g 1
h 0.5
g 0.25
h 0.5
f 0.5
h 0.25
g 0.75
h 0.5
w 0.5
q 1.25
h 0.75
g 1
j 0.5
h 0.5
r 0.5
e 0.25
r 0.5
h 0.5
q 0.75
p 0.5
w 0.25
e 0.25
r 0.25
t 0.25
e 0.75
q 1.25
t 0.5
p 0.5
w 0.5
r 0.25
t 0.25
y 0.5
w 0.5
y 0.5
t 0.5
h 1
w 0.5
y 0.25
t 0.25
y 2
p 0.75
f 0.25
w 0.25
r 0.5
q 0.25
w 0.25
y 0.75
w 1
t 0.75
r 1
e 0.75
r 0.75
q 0.75
w 0.5
r 0.25
e 0.25
r 0.5
t 0.75
h 1
r 0.5
e 0.5
r 0.25
e 0.25
q 0.5
g 1.25
h 0.75
e 1.5
w 0.25
r 0.5
q 0.5
w 0.25
y 0.5
h 0.25
w 1
t 0.75
q 0.25
r 0.5
w 0.25
e 0.5
r 1
q 0.5
w 0.5
e 0.5
r 0.5
t 1
y 0.75
t 0.5
p 0.5
q 0.75
r 0.25
e 0.25
q 0.25
e 0.5
w 0.25
p 22.25
g 0.75
p 7.25
h 0.5
r 0.5
e 0.25
r 0.5
h 0.5
w 0.75
p 0.5
w 0.25
e 0.25
r 0.25
t 0.25
r 0.75
e 0.75
q 1.25
h 0.25
g 0.25
h 0.25
g 0.5
h 0.5
g 0.25
h 0.5
f 0.5
h 0.75
g 0.25
h 0.5
q 0.25
w 0.25
j 0.25
q 1
g 0.5
h 0.25
g 1.75
h 0.25
e 0.5
r 0.25
e 0.25
r 0.25
h 0.75
w 0.75
h 0.25
w 0.25
e 0.25
r 0.25
t 0.25
e 0.75
q 1.25
r 1
w 0.25
e 0.25
r 0.25
t 0.25
y 0.5
w 0.5
y 0.5
t 0.5
h 1
w 0.5
y 2.5
p 0.75
h 0.25
w 0.25
e 0.25
r 0.25
q 0.75
y 0.5
w 1.25
t 0.75
r 0.75
e 0.75
r 0.75
w 0.25
q 0.5
w 0.5
e 0.5
r 0.5
t 1
y 0.75
r 0.75
p 0.25
e 0.5
q 0.5
g 1.25
h 0.75
e 0.25
w 0.25
e 0.75
g 0.25
w 0.25
e 0.25
r 0.25
q 0.5
w 0.25
y 0.5
w 1.25
t 0.75
e 0.5
r 0.5
e 0.75
r 1
q 0.5
w 0.5
e 0.75
t 0.75
h 0.75
y 0.25
t 0.75
u 0.5
q 0.5
r 0.25
e 1
w 4.75
h 2.75
q 1
w 1.5
e 0.5
r 0.75
q 1.25
p 0.25
g 0.25
r 1.5
t 0.75
p 0.75
h 2.75
s 0.5
f 1.25
h 0.5
f 1
h 0.5
f 0.5
j 0.25
d 0.75
f 0.75
d 0.25
j 0.25
w 0.25
h 0.25
p 1
j 0.25
h 1.75
f 0.25
h 1
p 3.75
h 0.25
w 0.25
e 0.25
r 0.25
q 0.75
t 0.25
w 1.5
t 1.25
r 0.5
e 0.75
r 0.75
h 0.25
j 0.25
q 0.25
w 0.5
e 0.25
w 0.25
r 0.5
t 1
y 0.75
r 1
w 0.5
q 0.5
g 1.25
h 0.75
e 1
h 0.5
w 0.25
r 0.5
q 0.5
w 0.25
y 0.25
h 0.25
w 1
t 0.75
q 0.25
r 0.75
w 0.25
e 0.5
r 1
j 0.25
q 0.5
w 0.25
e 0.75
r 0.25
t 0.75
g 0.25
h 0.5
y 0.25
t 0.5
p 0.5
q 0.75
r 0.25
e 0.25
q 0.5
e 0.5
w 3.25
h 0.25
f 1.75
h 7.75
f 2.5
s 7.25
p 11
