# 曲名：热爱105°C的你
# 推荐节拍：438 ms/拍
# 制谱说明：依据公开完整原唱旋律/和弦简谱，展开主歌、副歌、桥段与尾奏。
p 0.5
d 0.5
d 0.5
f 0.5
d 0.5
s 0.5
d 1
n 1
s 0.5
a 0.5
n 0.5
a 1.5
s 0.5
s 0.5
s 0.5
d 0.5
s 0.5
a 0.5
s 1
d 1
a 0.5
n 0.5
n 0.5
a 0.5
n 0.5
a 0.5
n 0.5
d 0.5
d 0.5
f 0.5
d 0.5
s 0.5
a 1
d 0.5
s 0.5
d 0.5
n 0.5
n 1
a 1
m 0.5
m 0.5
m 1
d 1
s 1
a 3
p 1
p 0.5
d 0.5
d 0.5
f 0.5
d 0.5
s 0.5
d 1
n 1
s 0.5
a 0.5
n 0.5
a 1.5
s 0.5
s 0.5
s 0.5
d 0.5
s 0.5
a 0.5
s 1
d 1
a 0.5
n 0.5
n 0.5
a 0.5
n 0.5
a 0.5
n 0.5
d 0.5
d 0.5
f 0.5
d 0.5
s 0.5
a 1
d 0.5
s 0.5
d 0.5
n 0.5
n 1
a 1
m 0.5
m 0.5
m 1
d 1
s 1
a 3
p 1
p 1
p 1
p 1
g 0.5
g 0.5
g 1
d 0.5
s 0.5
a 0.5
s 0.5
d 0.5
a 0.5
s 1.5
g 0.5
h 0.5
g 0.5
f 0.5
g 0.5
d 1
d 0.5
s 0.5
d 1
g 0.5
h 0.5
h 1.5
g 0.5
g 1
g 1
g 1
d 0.5
s 0.5
a 0.5
s 0.5
d 0.5
a 0.5
s 1.5
g 0.5
h 0.5
g 0.5
f 0.5
g 0.5
d 1
d 0.5
d 0.5
d 1
q 1
j 1
g 1
n 1
m 1
q 1
q 0.5
j 0.5
q 1
w 0.5
e 0.5
w 1
w 0.5
q 0.5
w 0.5
q 0.5
j 1
q 1
q 0.5
j 0.5
q 1
g 0.5
g 0.5
h 3
h 0.5
j 0.5
q 3
p 1
p 0.5
g 0.5
d 0.5
g 0.5
d 0.5
s 0.5
a 1
n 1
s 0.5
a 0.5
n 0.5
a 1.5
s 0.5
s 0.5
s 0.5
d 0.5
s 0.5
a 0.5
s 1
d 1
a 0.5
n 0.5
n 0.5
a 0.5
n 0.5
a 0.5
n 0.5
d 0.5
d 0.5
f 0.5
d 0.5
s 0.5
a 1
q 4
p 0.5
d 0.5
d 0.5
f 0.5
d 0.5
s 0.5
d 1
n 1
s 0.5
a 0.5
n 0.5
a 1.5
s 0.5
s 0.5
s 0.5
d 0.5
s 0.5
a 0.5
s 1
d 1
a 0.5
n 0.5
n 0.5
a 0.5
n 0.5
a 0.5
n 0.5
d 0.5
d 0.5
f 0.5
d 0.5
s 0.5
a 1
d 0.5
s 0.5
d 0.5
n 0.5
n 1
a 1
m 0.5
m 0.5
m 1
d 1
s 1
a 3
p 1
p 0.5
d 0.5
d 0.5
f 0.5
d 0.5
s 0.5
d 1
n 1
s 0.5
a 0.5
n 0.5
a 1.5
s 0.5
s 0.5
s 0.5
d 0.5
s 0.5
a 0.5
s 1
d 1
a 0.5
n 0.5
n 0.5
a 0.5
n 0.5
a 0.5
