# 曲名：玉盘
# 推荐节拍：526 ms/拍
# 制谱说明：依据公开单旋律简谱，按央视春晚歌词顺序展开两次副歌及终段。
s 0.5
d 0.5
s 1
d 2
p 0.5
s 0.5
d 0.5
s 0.5
d 0.5
s 0.5
d 0.5
g 0.5
d 1.5
s 0.5
d 2
p 1
p 1
p 1
p 1
s 0.5
d 0.5
s 1
d 2
p 0.5
s 0.5
d 0.5
s 0.5
d 0.5
s 0.5
d 0.5
g 0.5
s 1.5
a 0.5
s 2
p 1
p 1
p 1
p 1
s 0.5
d 0.5
s 1
d 2
p 0.5
s 0.5
d 0.5
s 0.5
d 1
g 1
h 1
g 1
h 1
g 0.5
s 0.5
s 2
s 0.5
p 0.5
a 0.5
n 0.5
a 0.5
n 3.5
p 1
p 1
p 0.5
n 0.5
b 1
n 4
p 1
p 1
p 1
p 1
g 0.5
h 0.5
g 1
h 2
p 0.5
g 0.5
h 0.5
g 0.5
h 0.5
g 0.5
h 0.5
q 0.5
h 1.5
g 0.5
h 2
p 1
p 1
p 1
p 1
g 0.5
h 0.5
g 1
h 2
p 0.5
g 0.5
h 0.5
g 0.5
h 0.5
g 0.5
h 0.5
q 0.5
w 1.5
q 1.5
h 1
h 2
g 2
s 0.5
d 0.5
s 1
d 2
p 0.5
s 0.5
d 0.5
s 0.5
d 0.5
s 0.5
d 0.5
g 0.5
h 1
g 1
h 1
g 0.5
s 0.5
s 2
s 0.5
p 0.5
a 0.5
n 0.5
n 3.5
p 0.5
p 1
p 1
g 1
q 1
h 4
p 1
p 1
p 1
p 1
g 0.5
h 0.5
g 1
h 2
p 1
p 1
q 1.5
h 0.5
g 0.5
h 3.5
p 1
p 1
p 1
p 1
g 0.5
h 0.5
g 1
h 2
p 1
p 1
w 1.5
h 0.5
g 0.5
h 3.5
p 1
p 1
p 1
p 1
q 0.5
w 0.5
q 1
w 2
p 0.5
p 0.5
q 0.5
w 0.5
q 0.5
h 0.5
g 1
h 1.5
q 0.5
h 2
p 1
h 0.5
h 0.5
h 1
q 1
f 4
p 1
a 0.5
n 0.5
a 1
f 1
s 4
p 1
p 1
p 1
p 1
s 0.5
d 0.5
s 1
d 2
p 0.5
s 0.5
d 0.5
s 0.5
d 0.5
s 0.5
d 0.5
g 0.5
d 1.5
s 0.5
d 2
p 1
p 1
p 1
p 1
s 0.5
d 0.5
s 1
d 2
p 0.5
s 0.5
d 0.5
s 0.5
d 0.5
s 0.5
d 0.5
g 0.5
s 1.5
a 0.5
s 2
p 1
p 1
p 1
p 1
s 0.5
d 0.5
s 1
d 2
p 0.5
s 0.5
d 0.5
s 0.5
d 1
g 1
h 1
g 1
h 1
g 0.5
s 0.5
s 2
s 0.5
p 0.5
a 0.5
n 0.5
a 0.5
n 3.5
p 1
p 1
p 0.5
n 0.5
b 1
n 4
p 1
p 1
p 1
p 1
g 0.5
h 0.5
g 1
h 2
p 1
p 1
q 1.5
h 0.5
g 0.5
h 3.5
p 1
p 1
p 1
p 1
g 0.5
h 0.5
g 1
h 2
p 1
p 1
w 1.5
h 0.5
g 0.5
h 3.5
p 1
p 1
p 1
p 1
q 0.5
w 0.5
q 1
w 2
p 0.5
p 0.5
q 0.5
w 0.5
q 0.5
h 0.5
g 1
h 1.5
q 0.5
h 2
p 1
h 0.5
h 0.5
h 1
q 1
f 4
p 1
a 0.5
n 0.5
a 1
f 1
s 4
p 1
p 1
p 1
p 1
q 0.5
q 0.5
q 1
q 2
p 1
p 1
e 2
q 0.5
w 3.5
w 0.5
p 0.5
p 1
p 1
p 1
