# 曲名：若当来世
# 推荐节拍：500 ms/拍
# 制谱说明：两页完整简谱校结构；页面配套完整音频经 GAME 提取主旋律并逐拍量化
p 14.25
g 1.25
h 0.5
q 0.75
w 2.25
p 0.75
w 0.75
q 0.5
w 1.5
q 1
h 2
f 0.5
g 0.75
h 1.25
q 1
p 0.75
q 0.75
w 0.75
q 1
j 1.25
g 1.25
t 0.75
g 1.5
q 0.25
w 1.25
r 1.25
t 1.75
r 0.25
t 0.5
r 0.25
t 0.5
r 0.5
t 1.5
r 0.75
w 2.5
j 0.25
q 0.75
h 0.75
w 1.5
p 1
r 0.5
t 0.75
r 1.25
e 1
r 0.5
t 2.25
y 0.75
t 0.75
y 0.25
t 0.75
y 0.75
q 0.5
y 1.25
r 0.75
y 0.5
q 0.75
y 0.5
q 0.75
y 0.5
r 1.75
t 0.5
y 0.75
w 4.75
r 0.75
t 2
q 1.25
t 4.25
e 0.75
t 0.75
u 1.25
y 0.5
u 0.25
q 0.25
w 0.5
y 0.25
u 0.25
q 0.5
u 0.75
e 0.75
r 0.25
t 0.75
p 0.75
y 0.25
u 0.25
q 0.5
w 0.25
u 0.75
q 0.5
u 0.75
e 0.75
t 0.25
y 0.75
q 0.5
y 0.5
u 0.25
q 0.25
y 0.5
t 0.75
r 0.25
e 0.75
w 1
r 0.75
y 1
q 0.25
w 0.5
u 1
q 0.5
u 0.75
e 2.25
y 0.5
u 0.25
q 0.5
w 0.25
u 0.75
q 0.5
u 0.75
e 0.5
r 0.5
t 1.25
y 0.25
u 0.5
q 0.25
w 0.5
y 0.25
u 0.25
q 0.5
u 0.75
e 0.75
t 0.25
y 0.5
q 0.75
y 0.5
q 0.75
y 0.25
r 0.25
t 0.5
e 1
w 1.25
r 0.5
e 0.5
y 0.5
q 0.5
w 0.25
u 2.25
q 0.25
u 0.75
y 1
p 0.5
y 0.75
e 0.25
w 0.5
e 1.25
y 0.75
t 0.75
y 2
t 1.5
w 0.75
q 0.75
u 0.5
y 1
p 1.25
e 0.5
w 0.25
e 0.5
w 1.25
e 0.75
y 1.75
p 1.25
e 1.25
w 1
e 0.75
p 33.75
q 0.5
w 1.25
r 1.25
t 1.75
r 1
t 0.25
r 0.75
t 1.5
r 0.5
w 2.75
r 0.25
q 0.75
j 0.25
w 1.5
r 3.75
e 1.25
r 1.75
t 1
y 1
t 0.25
y 0.5
t 0.5
y 0.75
r 0.5
q 0.25
y 1.25
r 0.5
y 1
q 0.5
y 0.25
q 0.75
y 0.75
r 0.5
p 0.5
r 0.75
t 0.25
y 0.5
w 5.25
r 0.75
t 2
q 1.25
w 3.5
p 0.75
e 0.5
t 0.75
u 0.75
p 0.75
y 0.25
u 0.25
q 0.5
w 0.25
y 0.5
u 0.25
q 0.5
u 0.75
e 0.5
r 0.5
t 0.5
y 1.25
u 0.25
q 0.25
w 0.5
y 0.75
q 0.5
u 0.5
e 0.75
t 0.5
y 0.5
q 0.5
y 0.5
u 0.5
q 0.25
y 0.25
t 0.75
r 0.5
e 0.75
w 1
r 0.5
e 0.5
y 0.75
w 1
u 0.75
q 0.5
u 0.5
t 0.75
e 1.75
y 0.5
u 0.25
q 0.25
w 0.5
y 0.25
u 0.5
q 0.25
u 0.75
e 0.75
r 0.25
t 0.75
p 0.75
y 0.25
u 0.25
q 0.5
w 0.25
y 0.5
u 0.25
q 0.5
u 0.5
e 0.75
t 0.5
y 1.75
q 0.5
y 0.5
t 0.75
r 0.25
e 0.75
w 0.5
p 0.5
r 0.75
e 0.25
y 0.75
q 0.75
u 1.75
q 0.75
u 0.75
y 0.75
p 0.75
y 0.5
e 0.25
w 0.5
e 1.5
y 0.75
t 0.75
y 1.75
t 0.5
r 1
w 1
q 0.5
u 0.75
y 1
p 0.5
y 0.5
e 0.5
w 0.5
e 0.5
w 1.25
e 0.75
y 2.25
w 0.75
e 1
w 1
e 11.25
q 0.75
e 1.75
h 0.5
j 0.25
e 4.5
a 1.5
p 7.75
y 0.5
t 1
q 1.5
t 0.5
e 0.75
q 0.5
g 6.25
w 2
j 1.25
q 0.5
p 4.5
w 0.5
t 0.75
y 1.75
u 0.5
q 0.25
w 0.5
y 0.5
q 0.5
w 0.75
e 0.75
t 1.5
y 0.5
q 0.75
w 0.25
y 0.75
q 0.5
u 1.5
y 2
u 0.25
q 0.25
y 0.5
t 0.5
r 0.5
e 0.75
w 1
r 0.5
e 0.5
y 0.75
w 0.5
u 1.25
q 0.5
u 0.5
r 0.75
e 1.75
y 0.25
u 0.5
q 0.25
w 0.5
u 0.75
q 0.25
u 0.75
e 0.75
t 1.5
y 0.5
u 0.25
q 0.5
w 0.25
y 0.5
u 0.25
q 0.5
u 0.5
e 0.75
y 2.25
q 0.5
y 0.5
t 0.5
r 0.5
e 0.75
w 1
r 0.75
e 0.25
y 0.75
q 0.25
w 0.25
u 2
q 0.75
u 0.75
y 0.75
p 0.5
y 0.75
e 2.25
y 0.75
t 0.5
y 2
t 0.5
r 0.5
t 0.5
w 0.75
q 0.75
u 0.75
y 0.75
p 0.75
y 0.5
e 0.5
w 0.25
e 0.75
w 1
e 0.75
y 2.5
w 1
e 0.75
w 1
e 5.75
p 31.25
