# 曲名：落空
# 推荐节拍：556 ms/拍
# 制谱说明：金晨曦篇 OP 完整版音频经 GAME 提取洛萱主唱旋律；按 D 大调/B 小调音级映射并保留前后留白
p 18.25
n 0.75
a 0.75
n 1
d 0.5
s 0.5
a 0.5
m 0.75
a 1.5
s 0.25
m 0.5
b 2.25
p 3
j 0.5
w 0.5
p 3.5
s 0.5
d 0.25
n 0.75
g 0.75
d 0.75
s 0.75
d 0.5
n 2.25
b 0.5
n 2.5
d 0.5
s 0.5
m 0.5
a 0.5
s 0.75
f 0.75
s 0.5
d 1
m 1.5
d 1
n 0.5
g 0.75
d 0.75
s 1.5
g 0.5
h 1.5
j 0.5
d 4
n 0.5
d 1
b 0.5
f 0.75
d 0.75
p 1.75
n 1
b 0.5
n 0.5
b 0.5
s 1
d 1
n 4.5
b 0.5
n 0.5
b 0.5
s 1
n 0.5
b 0.5
s 2
g 0.75
p 1
n 0.75
b 0.75
n 0.5
b 0.5
s 0.25
d 1.75
n 1
c 0.5
n 0.5
c 0.75
p 0.75
a 0.5
s 0.5
a 0.5
s 0.5
a 0.5
s 1
d 0.75
m 0.75
d 0.5
g 1
j 0.75
q 1.25
d 0.5
h 1.75
j 0.75
q 1
d 0.5
h 0.75
w 0.75
j 1
q 2.75
s 0.5
d 0.75
g 0.75
s 0.75
d 0.5
j 3
d 1.5
w 1
j 1.5
a 1.5
s 0.5
q 0.75
w 0.5
e 0.75
h 2.25
d 0.75
f 0.5
j 0.5
q 0.75
w 0.5
g 0.75
w 0.75
q 2.5
p 0.5
f 0.5
d 1
s 0.25
d 0.5
s 0.75
m 1
j 1
s 0.5
g 3.25
q 1
j 0.75
h 2.75
j 1.5
h 1
j 2.75
d 0.75
h 0.75
w 2.25
h 3.5
j 1.5
d 0.5
w 0.75
q 0.5
j 0.5
h 0.25
p 16.75
s 0.5
d 0.5
n 0.5
g 0.75
d 0.75
s 1
d 0.5
m 2
b 1
n 1.5
d 2.5
s 0.75
n 0.75
m 0.5
p 1.25
n 1.5
d 1
n 0.25
g 1
d 0.5
s 1.75
h 0.5
j 1.5
h 0.5
s 2.25
d 1.5
n 0.75
m 0.75
b 0.75
f 0.5
d 2.5
n 1
b 1.5
s 1
d 1
n 0.5
p 2
m 0.25
f 0.5
d 0.25
g 0.5
n 0.5
b 0.75
n 0.25
b 0.75
a 0.25
s 0.75
b 0.25
n 0.5
b 0.75
s 0.75
d 0.75
g 1
a 0.5
n 1
b 0.5
n 0.5
b 0.5
s 1.5
d 0.25
n 1.5
s 3.25
a 0.5
s 0.5
a 0.5
s 1
d 0.75
m 0.75
d 0.75
g 1
j 5.75
d 1.25
q 0.25
j 1.75
q 2.25
w 1
j 0.75
p 8
q 1
d 0.5
h 0.5
w 0.75
q 0.5
j 0.75
q 0.75
d 0.75
h 0.5
w 2.25
e 0.75
h 2.5
d 0.75
j 1.25
w 0.75
g 0.75
e 4
q 0.5
w 0.75
q 0.75
d 0.75
h 0.75
w 1
j 0.75
q 1.5
d 1.25
s 0.5
d 0.75
g 0.5
a 0.25
s 0.75
d 0.5
h 1
j 2
d 0.75
h 0.5
w 0.5
q 0.5
j 0.75
q 0.5
m 0.5
d 0.75
h 0.25
w 0.75
q 0.75
w 0.5
e 1
h 4
q 0.5
w 0.75
g 0.75
q 3.75
f 0.5
d 0.75
f 0.25
s 0.25
d 0.5
s 0.75
m 1
h 0.5
j 0.5
s 1
d 0.5
g 2.25
q 0.75
j 1
h 6.25
j 1.75
d 0.75
h 0.75
w 0.75
q 0.25
w 1.5
h 3.25
j 1
d 1
w 0.75
q 0.5
j 0.25
h 6
p 13.5
