# 曲名：调查中
# 推荐节拍：732 ms/拍
# 制谱说明：依据公开完整单旋律简谱，按谱面反复号将第17-40小节演奏两遍。
n 0.5
m 0.25
n 0.25
n 0.5
m 0.25
n 0.25
n 2
n 0.5
m 0.25
n 0.25
n 0.5
m 0.25
n 0.25
n 2
n 0.5
n 1
n 0.5
n 1
n 1
n 0.5
n 1
n 0.5
n 1
n 1
e 0.25
h 0.5
e 0.25
h 0.5
e 0.5
w 0.25
e 0.25
h 0.5
q 0.5
w 0.5
e 0.25
h 0.5
e 0.25
w 0.5
e 0.5
q 0.25
t 0.25
e 0.5
w 0.5
q 0.5
e 0.25
h 0.5
e 0.25
h 0.5
e 0.5
w 0.25
e 0.25
h 0.5
q 0.5
w 0.5
e 0.25
h 0.5
e 0.25
w 0.25
e 0.25
h 0.5
e 0.25
h 0.5
e 0.25
w 0.5
h 0.5
e 0.25
h 0.5
e 0.25
h 0.5
e 0.5
w 0.25
e 0.25
h 0.5
q 0.5
w 0.5
e 0.25
h 0.5
e 0.25
w 0.5
e 0.5
q 0.25
t 0.25
e 0.5
w 0.5
q 0.5
e 0.25
h 0.5
e 0.25
h 0.5
e 0.5
w 0.25
e 0.25
h 0.5
q 0.5
w 0.5
e 0.25
h 0.5
e 0.25
w 0.25
e 0.25
h 0.5
e 0.25
h 0.5
e 0.25
w 0.5
h 0.5
h 2
j 2
q 4
h 2
j 2
q 4
p 1
h 0.5
h 0.5
j 0.25
j 0.25
j 0.25
j 0.5
g 0.75
q 0.5
j 0.25
h 0.25
h 0.25
g 0.75
d 2
p 1
h 0.5
h 0.5
j 0.25
j 0.25
j 0.25
j 0.5
g 0.75
q 0.5
j 0.25
q 0.25
q 0.25
w 0.75
e 2
p 0.5
t 0.5
e 0.5
w 0.5
w 0.5
q 0.25
w 0.25
w 0.25
q 0.75
w 0.5
q 0.25
w 0.25
w 0.25
e 0.75
h 1.5
h 0.5
q 0.5
q 0.25
q 0.25
q 0.5
h 0.5
j 0.75
g 0.25
g 0.5
g 0.5
q 0.25
h 0.5
q 0.25
h 0.5
q 0.25
h 0.25
h 2
e 0.25
h 0.5
e 0.25
h 0.5
e 0.5
w 0.25
e 0.25
h 0.5
q 0.5
w 0.5
e 0.25
h 0.5
e 0.25
w 0.5
e 0.5
q 0.25
t 0.25
e 0.5
w 0.5
q 0.5
e 0.25
h 0.5
e 0.25
h 0.5
e 0.5
w 0.25
e 0.25
h 0.5
q 0.5
w 0.5
e 0.25
h 0.5
e 0.25
w 0.25
e 0.25
h 0.5
e 0.25
h 0.5
e 0.25
w 0.5
h 0.5
e 0.25
h 0.5
e 0.25
h 0.5
e 0.5
w 0.25
e 0.25
h 0.5
q 0.5
w 0.5
e 0.25
h 0.5
e 0.25
w 0.5
e 0.5
q 0.25
t 0.25
e 0.5
w 0.5
q 0.5
e 0.25
h 0.5
e 0.25
h 0.5
e 0.5
w 0.25
e 0.25
h 0.5
q 0.5
w 0.5
e 0.25
h 0.5
e 0.25
w 0.25
e 0.25
h 0.5
e 0.25
h 0.5
e 0.25
w 0.5
h 0.5
h 0.25
j 0.25
q 0.25
j 0.25
h 0.25
g 0.25
g 0.5
g 1.5
a 0.25
s 0.25
d 0.5
g 0.25
d 0.25
d 0.25
g 0.75
d 2
h 0.25
j 0.25
q 0.25
j 0.25
h 0.25
g 0.25
g 0.5
g 1.5
a 0.25
s 0.25
d 0.75
g 0.25
g 0.5
h 0.5
h 2
h 0.25
j 0.25
q 0.25
j 0.25
h 0.25
g 0.25
g 0.5
g 1.5
a 0.25
s 0.25
d 0.5
g 0.25
d 0.25
d 0.25
g 0.75
d 2
h 1.5
e 0.5
d 1
g 1
d 4
p 1
h 0.5
h 0.5
j 0.25
j 0.25
j 0.25
j 0.5
g 0.75
q 0.5
j 0.25
h 0.25
h 0.25
g 0.75
d 2
p 1
h 0.5
h 0.5
j 0.25
j 0.25
j 0.25
j 0.5
g 0.75
q 0.5
j 0.25
q 0.25
q 0.25
w 0.75
e 2
p 0.5
t 0.5
e 0.5
w 0.5
w 0.5
q 0.25
w 0.25
w 0.25
q 0.75
w 0.5
q 0.25
w 0.25
w 0.25
e 0.75
h 1.5
h 0.5
q 0.5
q 0.25
q 0.25
q 0.5
h 0.5
j 0.75
g 0.25
g 0.5
g 0.5
q 0.25
h 0.5
q 0.25
h 0.5
q 0.25
h 0.25
h 2
e 0.25
h 0.5
e 0.25
h 0.5
e 0.5
w 0.25
e 0.25
h 0.5
q 0.5
w 0.5
e 0.25
h 0.5
e 0.25
w 0.5
e 0.5
q 0.25
t 0.25
e 0.5
w 0.5
q 0.5
e 0.25
h 0.5
e 0.25
h 0.5
e 0.5
w 0.25
e 0.25
h 0.5
q 0.5
w 0.5
e 0.25
h 0.5
e 0.25
w 0.25
e 0.25
h 0.5
e 0.25
h 0.5
e 0.25
w 0.5
h 0.5
e 0.25
h 0.5
e 0.25
h 0.5
e 0.5
w 0.25
e 0.25
h 0.5
q 0.5
w 0.5
e 0.25
h 0.5
e 0.25
w 0.5
e 0.5
q 0.25
t 0.25
e 0.5
w 0.5
q 0.5
e 0.25
h 0.5
e 0.25
h 0.5
e 0.5
w 0.25
e 0.25
h 0.5
q 0.5
w 0.5
e 0.25
h 0.5
e 0.25
w 0.25
e 0.25
h 0.5
e 0.25
h 0.5
e 0.25
w 0.5
h 0.5
h 0.25
j 0.25
q 0.25
j 0.25
h 0.25
g 0.25
g 0.5
g 1.5
a 0.25
s 0.25
d 0.5
g 0.25
d 0.25
d 0.25
g 0.75
d 2
h 0.25
j 0.25
q 0.25
j 0.25
h 0.25
g 0.25
g 0.5
g 1.5
a 0.25
s 0.25
d 0.75
g 0.25
g 0.5
h 0.5
h 2
h 0.25
j 0.25
q 0.25
j 0.25
h 0.25
g 0.25
g 0.5
g 1.5
a 0.25
s 0.25
d 0.5
g 0.25
d 0.25
d 0.25
g 0.75
d 2
h 1.5
e 0.5
d 1
g 1
d 4
