# 由21键曲谱播放器从 【鸣潮】 爱弥斯主题曲 《远航星的告别》Voyaging Star's Farewell.mid 转换
# 格式：按键 拍数；p 表示休止，同时按键写在一起
# 录制基准：500 ms/拍
p 5.5
n 0.125
m 0.125
azv 0.125
d 1.125
a 1.125
dm 1.625
ad 2.25
aszb 1.25
a 1.125
sbm 3.75
b 0.125
zn 0.125
m 1.125
a 1.125
cbm 1.5
s 1.125
g 0.375
d 0.375
b 0.375
zcbn 1.125
a 1.125
zxnm 1.5
g 2
n 0.125
m 0.125
azv 0.125
d 1.125
a 1.125
dvm 1.5
ad 2.25
aszb 1.125
a 1.125
sbm 2.25
x 1.25
b 0.125
n 0.125
zcm 1.125
a 1.125
cbm 1.5
d 1.125
g 0.375
d 0.375
b 0.375
zcbnm 1
a 1
b 0.125
az 0.125
sc 1.625
d 2
z 0.25
dz 0.125
h 0.125
e 2
w 0.375
e 1.625
w 0.25
e 0.75
t 0.75
qwgz 1.125
x 1.125
qasgb 2.375
t 0.75
t 0.75
sgjz 1.125
z 1.125
qasgb 2
q 0.375
w 0.75
w 0.75
qdgz 1
a 1.125
b 0.75
az 0.75
s 0.375
gb 0.75
a 0.375
z 0.75
egz 1.125
z 1.125
wbn 0.375
e 1.5
w 0.375
e 0.75
y 0.75
wgz 1
x 0.375
wg 0.75
tnm 0.5
w 1.375
q 0.375
jb 0.75
q 0.75
sgjz 1.125
z 1.125
qagb 0.75
w 0.75
w 0.375
w 0.5
bm 0.25
w 1
dg 0.125
qzb 1.5
sgj 1.5
a 0.125
g 0.125
h 2.75
d 0.125
h 0.25
ez 0.75
z 0.375
v 0.75
b 0.375
w 0.375
e 0.375
n 1.125
w 0.375
ea 0.75
t 0.75
wgz 1
x 1.125
b 0.375
w 1.625
q 0.375
jx 0.75
q 0.75
gjz 1
z 0.375
dgj 0.75
qb 0.75
wag 1.5
b 0.75
w 0.75
qhz 0.375
gj 0.25
c 0.375
qh 0.375
agj 0.625
qhb 0.375
gj 0.375
z 0.375
qh 0.375
gjx 0.75
wb 0.75
wz 0.5
g 0.125
h 0.125
ez 1.125
z 1.125
wgbn 0.5
e 1.375
w 0.375
ev 0.75
y 0.75
wgz 1.125
x 0.375
w 0.75
tgnm 0.5
w 1.375
qg 0.375
jb 0.625
qx 0.75
dgjzc 1.125
z 1.125
agjb 0.75
qh 1.125
wj 0.375
c 0.625
e 0.75
wgzb 1
q 1.125
b 0.5
q 0.125
e 0.125
ua 1.625
wub 0.625
z 0.625
e 0.125
y 0.125
uz 0.75
z 0.375
b 0.75
n 0.375
a 0.25
d 0.5
eyuh 0.625
wu 0.375
wu 0.375
n 0.375
qu 0.375
b 0.5
h 0.125
w 0.125
yz 0.75
x 0.375
n 0.75
m 0.375
s 0.25
g 0.375
e 0.125
yuh 0.75
wu 0.375
wu 0.375
g 0.375
qu 0.375
s 0.5
g 0.125
q 0.125
tz 0.75
z 0.375
b 0.25
yh 0.75
edm 0.375
tg 0.375
s 1.375
wub 0.625
qux 0.625
j 0.125
e 0.125
uz 0.75
c 0.375
b 0.375
a 0.375
b 0.375
quc 0.375
b 0.375
qeuz 0.375
c 0.375
b 0.375
a 0.375
b 0.375
c 0.375
z 0.375
b 0.125
e 0.125
y 0.125
uz 0.75
z 0.375
v 0.75
b 0.375
n 0.375
a 0.25
e 0.125
y 0.125
ud 0.625
wu 0.375
wu 0.375
a 0.375
qu 0.25
n 0.375
wyh 0.375
z 0.625
x 0.375
m 0.75
n 0.375
b 0.25
e 0.375
yux 0.75
wu 0.375
wu 0.375
z 0.375
qu 0.625
qtg 0.375
z 0.75
z 0.375
c 0.75
b 0.375
wtgm 0.75
uaj 1.125
eu 0.375
m 0.75
wu 0.75
wuz 0.75
c 0.25
eu 0.375
a 0.25
b 0.375
c 0.125
wu 0.75
wtuz 0.75
c 0.25
b 0.375
wujm 0.75
b 0.5
dh 0.25
ez 1.125
z 1.125
wbn 0.375
e 1.625
w 0.375
ev 0.75
t 0.75
wgz 1
x 1.125
qgbn 2.375
tb 0.625
tz 0.75
gjzc 1.125
z 1.125
qagb 1.875
q 0.375
wc 0.625
w 0.75
qgzb 1
b 0.375
sgj 0.75
c 0.75
qszb 1.125
b 0.375
wsg 0.75
c 0.5
d 0.125
h 0.125
ej 0.125
z 1.125
z 1.125
wbn 0.375
e 1.5
w 0.375
ev 0.75
qy 0.75
qyz 0.75
wux 0.75
n 0.75
tjnm 1.5
x 0.5
g 0.125
w 0.125
eb 0.375
w 0.375
qz 0.75
gjzc 1
z 1
asgb 1.5
z 0.625
wg 0.25
ec 0.375
w 0.375
q 0.75
qgzb 1.125
b 0.375
wg 0.75
z 0.625
gz 0.125
q 0.125
e 1.375
tj 0.75
qy 0.75
uv 0.75
uh 0.75
yf 0.75
uh 0.75
yf 0.75
ud 0.75
uh 0.75
td 0.75
yhb 0.75
ug 0.75
uj 0.75
es 0.75
rj 0.75
wh 0.75
sj 0.625
qn 0.75
wc 0.75
j 0.75
qm 0.75
dh 0.75
j 0.75
dg 0.75
hm 0.75
f 0.75
gn 0.75
d 0.75
f 0.75
s 0.5
z 0.125
qr 0.125
ub 1.625
wuz 1.375
z 0.125
e 0.125
yz 0.125
u 0.875
z 0.75
v 0.375
b 0.375
n 0.25
a 0.375
e 0.125
yuf 0.75
wu 0.375
wu 0.375
a 0.375
qu 0.375
n 0.5
h 0.125
w 0.125
yz 0.75
x 0.375
n 0.75
m 0.375
s 0.5
e 0.125
yg 0.125
u 0.625
wu 0.375
wu 0.375
s 0.375
qu 0.375
m 0.5
g 0.125
q 0.125
tz 0.75
z 0.375
b 0.375
yh 0.75
edm 0.375
tg 0.375
s 0.625
m 0.75
wub 0.75
qux 0.75
eujz 0.75
c 0.375
a 0.75
b 0.375
quc 0.75
qeuz 0.75
c 0.375
b 0.375
wum 0.75
b 0.5
e 0.125
y 0.125
uz 0.75
z 0.375
v 0.75
b 0.375
n 0.375
a 0.375
eyud 0.75
wu 0.375
wu 0.375
a 0.375
qu 0.375
n 0.5
h 0.125
w 0.125
eyz 0.75
x 0.375
n 0.75
m 0.375
s 0.5
e 0.125
yug 0.75
wu 0.375
wu 0.375
s 0.375
qu 0.875
g 0.125
qw 0.125
tz 0.625
z 0.375
b 0.75
m 0.25
wtg 0.75
wuaj 1.125
wuj 0.375
m 0.625
wu 0.75
wujz 0.625
c 0.375
qetua 0.75
b 0.375
ujc 0.75
wtuzb 1.25
j 0.125
wz 0.125
uz 1.25
e 0.125
yz 0.125
u 0.75
z 0.375
v 0.75
b 0.25
yhn 0.75
v 0.625
eyu 0.375
a 0.375
eyu 0.375
f 0.375
eyug 0.625
eyuz 0.625
x 0.25
tun 0.625
m 0.25
qus 0.75
wtuz 0.75
x 0.25
n 0.375
m 0.25
s 0.375
gz 0.75
wtuzc 0.75
z 0.375
b 0.75
c 0.375
tgz 0.625
z 0.625
wtuz 0.375
b 0.375
wtu 0.375
c 0.375
wtub 0.625
wtuz 0.375
qu 0.25
c 0.25
uaj 0.625
qu 0.125
b 0.375
c 0.5
qetuz 0.625
c 0.25
a 0.25
qeyu 0.375
b 0.25
c 0.625
eyuz 0.625
z 0.375
n 0.625
v 0.375
yhz 0.75
z 0.625
eyuz 0.375
n 0.375
eyu 0.375
v 0.25
eyuz 0.625
wtuz 0.625
qux 0.375
ujm 0.625
b 0.375
wtux 0.625
wtuz 0.625
x 0.375
m 0.625
b 0.375
x 0.75
qetuz 0.375
wuz 0.625
wub 0.75
wuc 0.625
wuz 0.375
z 0.25
z 0.375
c 0.25
b 0.375
yh 0.625
quc 0.625
qetuzn 1
qu 0.375
n 0.625
qudgn 0.375
qudgn 0.375
wudgn 0.25
qugn 0.625
qeydgn 0.75
tg 1.125
eyuz 1
adn 0.125
v 0.75
yadhvn 0.75
zv 0.75
eyu 0.25
advn 0.375
eyu 0.625
eyuadvn 0.75
wuzb 0.625
qu 0.375
usjbm 1
wusbm 0.75
wtuzb 1
sm 1
sbm 0.5
w 0.125
tz 0.125
uc 1
scm 1
tsgcm 0.75
zc 0.625
wtu 0.25
scm 0.375
wtu 0.625
wtuscm 0.625
wtuzn 0.375
qu 0.625
uajcn 0.875
quacn 0.75
qeuzn 1
acn 0.375
qeyu 0.75
acn 0.75
ryuzv 1
advn 1
yadhvn 0.625
zv 0.625
eu 0.375
advn 0.375
ru 0.625
euadvn 0.75
wuzb 0.375
qu 0.625
sbm 0.125
uj 0.875
wusbm 0.625
wtuzb 1
sbm 1
sbm 0.75
qetuzc 1
scm 1
usjcm 0.625
zc 0.625
qu 0.375
scm 0.375
wu 0.375
wu 0.25
scm 0.625
eyhzn 1
uj 0.25
zn 0.75
qtu 0.75
wuz 0.625
eyuz 0.625
ryuz 0.625
eyuz 0.75
yz 1
z 1
v 0.625
b 0.625
n 0.75
d 0.625
n 0.75
az 1
x 1
n 0.75
s 2.625
b 0.125
zm 1
z 1.125
b 0.75
s 0.625
c 0.625
b 0.75
m 0.75
az 1.125
c 1.125
b 0.625
z 0.125
a 0.125
s 2.75
m 0.125
z 0.25
a 0.25
s 0.125
h 0.25
j 1
v 0.75
b 0.625
n 0.75
jm 0.875
u 0.75
z 0.75
x 0.375
n 0.625
m 0.375
d 0.75
j 1.375
m 1.375
zm 0.25
a 0.25
d 0.125
h 0.25
j 1.25
hc 0.375
d 0.5
sb 1.625
m 1.75
dz 0.625
hc 0.5
jb 0.5
w 0.625
ea 0.875
ys 0.875
ud 1.125
h 1.25
j 1.5
e 1.875
u 6.375
