# 曲名：东风破
# 推荐节拍：476 ms/拍
# 来源版本：周杰伦《东风破》完整 B 站转载音频（BV1iL411j7BU / av464977718）
# 制谱说明：完整音频经 Basic Pitch 转 MIDI，再做单旋律聚类与 21 键自然音阶映射；候选需游戏内试听复核。
p 1
b 0.5
h 0.5
j 0.5
d 0.5
h 0.5
j 0.5
s 0.5
h 0.5
j 0.5
d 0.5
h 0.5
j 1
s 0.5
h 0.5
j 0.5
d 0.5
m 0.5
s 0.5
h 0.5
m 0.5
d 0.5
h 0.5
j 0.5
f 0.5
h 0.5
j 0.5
h 0.5
s 0.5
h 0.5
j 0.5
d 0.5
m 0.5
h 0.5
m 0.5
d 0.5
x 2.5
b 0.5
h 0.5
j 0.5
m 1
x 0.5
h 0.5
j 0.5
d 1
f 2
s 0.5
d 0.5
g 0.5
b 1
n 0.5
b 0.5
n 0.5
m 0.5
g 0.5
n 1
b 0.5
w 0.5
s 0.5
b 1
p 0.5
s 0.5
c 0.5
s 0.5
w 0.5
b 0.5
g 0.5
h 0.5
g 0.5
h 0.5
a 0.5
d 0.5
p 0.5
b 2
n 0.5
p 0.5
g 0.5
n 0.5
b 2
n 0.5
d 0.5
g 0.5
h 0.5
w 0.5
c 0.5
x 1
b 0.5
h 0.5
n 0.5
x 0.5
n 0.5
s 0.5
d 0.5
p 0.5
s 2
m 1
j 0.5
p 0.5
m 0.5
a 0.5
j 0.5
a 0.5
s 0.5
g 0.5
h 0.5
a 2
g 0.5
a 2.5
s 0.5
d 0.5
h 0.5
p 0.5
n 0.5
m 0.5
n 0.5
m 0.5
d 0.5
g 0.5
h 0.5
b 0.5
c 0.5
b 0.5
d 1
h 0.5
b 0.5
d 0.5
s 1.5
g 0.5
s 1
b 1
p 2
b 0.5
p 2
b 0.5
n 0.5
b 1
w 0.5
p 0.5
n 0.5
b 0.5
h 0.5
c 1
p 0.5
b 0.5
n 1
g 1
b 1
a 0.5
d 0.5
c 0.5
p 0.5
b 0.5
n 0.5
p 0.5
n 0.5
m 0.5
g 0.5
h 0.5
b 1
p 1
n 0.5
g 0.5
n 0.5
w 0.5
s 0.5
m 0.5
s 1
h 0.5
s 0.5
m 0.5
x 0.5
p 1.5
s 2.5
d 0.5
s 0.5
p 1.5
a 1
s 1
a 1.5
p 1
a 1
p 0.5
b 0.5
a 1.5
p 1.5
n 0.5
b 1
x 1.5
a 1
x 0.5
c 0.5
p 0.5
d 0.5
b 0.5
p 0.5
n 0.5
b 1
s 0.5
v 0.5
s 0.5
x 1
b 1
e 0.5
j 0.5
h 0.5
j 0.5
g 0.5
h 0.5
d 0.5
s 0.5
d 0.5
g 0.5
h 0.5
b 0.5
w 0.5
p 0.5
n 0.5
p 1
b 1
s 1
b 0.5
d 0.5
f 0.5
p 0.5
d 0.5
s 1
m 1
p 0.5
s 0.5
n 1
d 0.5
n 1
d 0.5
b 0.5
d 0.5
g 0.5
h 0.5
a 0.5
p 0.5
s 0.5
b 0.5
d 0.5
s 0.5
h 0.5
m 0.5
p 1.5
b 0.5
h 0.5
p 0.5
d 0.5
p 0.5
h 0.5
b 0.5
m 2.5
p 0.5
s 0.5
x 0.5
g 0.5
d 0.5
f 0.5
p 0.5
n 0.5
f 0.5
n 0.5
d 0.5
n 0.5
s 0.5
n 0.5
p 0.5
m 0.5
s 1
h 0.5
g 0.5
m 0.5
b 1
n 0.5
p 0.5
g 1
h 0.5
b 0.5
d 0.5
g 0.5
h 0.5
a 0.5
b 2
n 0.5
p 1
n 1
p 0.5
m 0.5
s 0.5
h 0.5
s 0.5
d 0.5
s 0.5
b 0.5
p 0.5
m 0.5
d 0.5
g 0.5
m 0.5
s 0.5
p 0.5
b 0.5
p 0.5
s 1
p 0.5
s 1.5
b 0.5
s 0.5
d 0.5
b 0.5
s 0.5
d 0.5
s 1.5
b 0.5
m 1
d 0.5
n 1
b 0.5
n 1
d 1
b 0.5
h 0.5
a 0.5
p 0.5
g 0.5
s 0.5
b 0.5
s 0.5
h 0.5
s 0.5
b 0.5
n 0.5
p 0.5
b 1
h 0.5
n 1
h 0.5
n 0.5
p 0.5
m 2.5
p 0.5
g 0.5
x 0.5
g 0.5
d 0.5
f 0.5
h 0.5
v 0.5
b 0.5
n 0.5
s 1
n 0.5
h 0.5
p 0.5
f 0.5
s 0.5
h 0.5
g 0.5
d 0.5
s 0.5
m 0.5
p 0.5
m 0.5
g 0.5
s 1.5
g 0.5
d 0.5
g 0.5
h 0.5
s 0.5
b 0.5
d 0.5
b 0.5
s 0.5
h 0.5
p 0.5
m 0.5
p 0.5
s 0.5
m 0.5
n 1
s 0.5
d 0.5
h 0.5
b 0.5
g 0.5
b 0.5
s 0.5
m 0.5
p 0.5
n 0.5
p 0.5
b 1
p 0.5
h 0.5
j 1
m 1
j 1.5
