# 曲名：小幸运
# 推荐节拍：768 ms/拍
# 来源版本：田馥甄（社区镜像条目标注：田馥甄的小迷妹）；community mirror; exact-title full-length recording
# 制谱说明：完整本地音频经 Basic Pitch 转 MIDI，再做单旋律聚类与21键自然音阶映射；候选需游戏内试听复核。
v 0.5
a 0.5
h 0.5
v 0.5
p 0.5
a 1.5
b 0.5
m 0.5
f 0.5
b 0.5
m 2
p 0.5
c 0.5
n 1
c 1.5
p 0.5
v 0.5
b 0.5
n 0.5
a 0.5
v 0.5
n 1
p 0.5
v 0.5
a 0.5
n 0.5
v 0.5
a 0.5
f 1
d 1
s 0.5
f 0.5
a 0.5
m 0.5
b 1
p 1
c 0.5
s 0.5
d 0.5
n 0.5
p 0.5
h 0.5
d 1
a 2.5
c 1
x 0.5
n 0.5
f 0.5
n 0.5
a 0.5
f 1.5
p 0.5
s 0.5
a 0.5
p 0.5
m 1
s 0.5
d 0.5
p 0.5
s 0.5
d 0.5
g 0.5
h 0.5
g 0.5
f 1
v 0.5
a 0.5
h 0.5
v 0.5
a 0.5
n 0.5
h 1
p 0.5
b 0.5
n 0.5
a 0.5
p 0.5
f 0.5
d 1
s 0.5
g 0.5
j 0.5
a 0.5
s 1.5
p 1
s 0.5
d 1
p 0.5
h 0.5
d 1
v 0.5
n 0.5
p 0.5
a 1
c 0.5
d 0.5
f 1
n 0.5
a 1
f 2
x 0.5
f 0.5
s 0.5
m 0.5
s 0.5
f 1
p 0.5
s 0.5
d 0.5
g 0.5
d 0.5
g 0.5
f 2
h 0.5
a 0.5
g 0.5
f 0.5
p 0.5
d 0.5
s 1
p 0.5
s 0.5
f 0.5
h 0.5
q 0.5
g 1
d 0.5
b 0.5
d 0.5
b 0.5
d 0.5
p 0.5
s 0.5
a 1.5
n 0.5
d 0.5
g 0.5
t 0.5
f 0.5
a 0.5
f 0.5
n 0.5
f 1
a 1
p 0.5
n 1.5
s 1.5
a 0.5
s 1.5
m 0.5
f 0.5
s 0.5
m 0.5
h 0.5
s 0.5
a 0.5
f 1.5
h 0.5
f 0.5
g 0.5
d 1.5
a 0.5
p 0.5
h 0.5
g 0.5
f 0.5
g 0.5
h 0.5
a 0.5
g 0.5
f 0.5
q 0.5
f 0.5
n 0.5
y 0.5
n 0.5
q 0.5
g 0.5
h 1
g 0.5
d 1
n 0.5
s 0.5
f 0.5
q 0.5
f 0.5
s 0.5
r 0.5
h 0.5
q 0.5
d 0.5
h 0.5
q 0.5
h 0.5
f 0.5
d 0.5
s 0.5
h 0.5
n 0.5
h 0.5
s 0.5
h 0.5
q 0.5
h 0.5
p 0.5
h 1
q 1
h 0.5
f 0.5
p 0.5
m 0.5
g 0.5
j 1
m 0.5
g 0.5
f 0.5
g 0.5
h 0.5
r 0.5
g 0.5
d 0.5
h 0.5
r 0.5
g 0.5
a 0.5
f 0.5
h 1
f 0.5
g 0.5
n 0.5
g 0.5
h 0.5
d 0.5
t 0.5
q 0.5
g 0.5
h 0.5
q 0.5
g 0.5
f 0.5
s 0.5
n 0.5
s 0.5
f 0.5
n 0.5
s 0.5
d 0.5
q 0.5
p 0.5
d 0.5
h 0.5
a 0.5
h 0.5
f 0.5
h 0.5
s 0.5
h 1
w 0.5
s 0.5
q 0.5
h 1
a 0.5
h 1
r 0.5
p 0.5
h 1
f 0.5
m 0.5
g 1
m 0.5
x 0.5
m 0.5
g 0.5
x 0.5
m 0.5
g 0.5
n 0.5
f 0.5
h 0.5
p 0.5
g 0.5
f 2
v 0.5
h 0.5
q 0.5
a 0.5
v 0.5
q 0.5
t 0.5
j 1
g 0.5
w 0.5
j 0.5
e 0.5
f 0.5
h 0.5
g 0.5
h 0.5
t 0.5
h 0.5
t 0.5
h 2
w 0.5
e 0.5
b 0.5
v 1
c 0.5
e 0.5
b 0.5
v 0.5
f 0.5
n 0.5
a 0.5
f 0.5
d 0.5
s 0.5
m 0.5
g 0.5
b 0.5
m 0.5
b 0.5
s 1.5
d 1
h 1
d 1
h 0.5
n 0.5
q 0.5
n 0.5
s 0.5
a 0.5
c 0.5
p 0.5
f 1
p 0.5
f 0.5
n 0.5
f 0.5
g 0.5
d 0.5
f 0.5
n 0.5
g 0.5
s 0.5
j 0.5
s 0.5
b 0.5
f 0.5
m 0.5
s 0.5
d 0.5
g 0.5
h 0.5
d 0.5
g 0.5
f 0.5
g 0.5
h 0.5
q 0.5
v 0.5
t 0.5
h 0.5
y 0.5
q 0.5
f 0.5
d 0.5
s 0.5
v 0.5
h 0.5
g 1
p 0.5
b 0.5
d 0.5
c 0.5
h 0.5
d 0.5
s 0.5
h 0.5
a 1
n 0.5
a 0.5
p 0.5
g 0.5
f 2
h 0.5
f 0.5
n 0.5
a 0.5
f 0.5
h 0.5
v 0.5
n 0.5
h 0.5
b 0.5
s 0.5
n 0.5
s 0.5
h 1
s 0.5
a 0.5
f 0.5
m 0.5
j 0.5
s 0.5
m 0.5
s 0.5
j 0.5
g 0.5
f 0.5
m 0.5
s 0.5
f 1.5
g 0.5
n 0.5
g 0.5
h 1
a 0.5
f 0.5
g 0.5
f 0.5
h 0.5
g 0.5
y 0.5
h 0.5
a 0.5
g 0.5
f 0.5
h 0.5
a 0.5
f 0.5
h 0.5
d 0.5
g 0.5
h 0.5
b 0.5
h 0.5
g 0.5
q 0.5
d 0.5
f 0.5
n 0.5
f 1
q 0.5
t 0.5
f 0.5
h 0.5
f 0.5
q 0.5
d 0.5
h 0.5
q 0.5
r 0.5
f 0.5
s 0.5
n 0.5
h 0.5
s 0.5
v 0.5
s 0.5
q 0.5
h 0.5
s 0.5
h 1
q 0.5
f 0.5
a 0.5
v 0.5
h 0.5
f 0.5
n 0.5
m 0.5
g 1
j 0.5
g 0.5
j 0.5
h 1
g 0.5
f 0.5
h 0.5
x 0.5
h 0.5
g 0.5
f 0.5
h 0.5
f 0.5
g 0.5
n 0.5
a 0.5
g 0.5
r 0.5
h 0.5
d 0.5
h 0.5
e 0.5
h 0.5
q 0.5
f 0.5
w 0.5
f 0.5
n 0.5
f 1
b 0.5
f 0.5
b 0.5
f 0.5
d 0.5
h 0.5
q 0.5
n 0.5
h 0.5
d 0.5
j 0.5
s 0.5
h 1
v 0.5
s 0.5
v 1
h 1
a 0.5
h 1
a 0.5
h 1.5
f 0.5
m 0.5
g 0.5
j 0.5
b 0.5
g 0.5
x 0.5
b 0.5
h 0.5
f 1.5
h 0.5
f 0.5
w 0.5
h 0.5
f 0.5
q 0.5
h 0.5
f 0.5
g 0.5
f 0.5
h 0.5
a 0.5
h 0.5
v 0.5
a 0.5
f 0.5
b 0.5
m 0.5
f 0.5
b 0.5
m 0.5
p 1
c 0.5
n 1
s 1
c 0.5
n 1
p 0.5
f 0.5
a 6.5
p 3
