# 曲名：童话
# 推荐节拍：896 ms/拍
# 来源版本：光良；NetEase duplicate catalog entry credited to original artist
# 制谱说明：完整本地音频经 Basic Pitch 转 MIDI，再做单旋律聚类与21键自然音阶映射；候选需游戏内试听复核。
p 1
y 1.5
n 1
p 0.5
q 0.5
h 0.5
t 0.5
r 1
v 1
a 0.5
h 0.5
e 0.5
g 0.5
d 0.5
b 0.5
s 1
f 0.5
s 0.5
f 0.5
v 0.5
a 0.5
v 0.5
a 0.5
c 0.5
x 0.5
v 0.5
c 0.5
n 0.5
v 0.5
n 0.5
p 1
a 0.5
v 2.5
p 0.5
x 0.5
v 0.5
c 0.5
s 0.5
v 0.5
p 0.5
v 0.5
x 0.5
v 0.5
x 0.5
v 0.5
x 0.5
n 0.5
v 0.5
f 0.5
b 0.5
d 0.5
v 1
p 0.5
b 0.5
a 0.5
p 1
v 0.5
n 0.5
b 0.5
a 0.5
b 0.5
v 1
b 0.5
v 0.5
a 0.5
v 0.5
x 0.5
v 0.5
x 0.5
p 0.5
v 0.5
a 0.5
s 0.5
a 2
d 0.5
b 0.5
n 0.5
a 0.5
n 0.5
b 0.5
n 0.5
s 0.5
n 0.5
x 1
b 0.5
v 1
a 0.5
v 2
n 1
p 0.5
x 0.5
a 0.5
n 1
b 0.5
v 0.5
f 1
d 0.5
p 0.5
b 1
n 1.5
b 0.5
n 1.5
d 1
s 0.5
c 0.5
d 0.5
x 0.5
s 0.5
f 0.5
b 0.5
v 0.5
s 0.5
v 0.5
s 0.5
a 0.5
p 0.5
f 0.5
a 2
b 0.5
d 0.5
b 0.5
a 0.5
n 0.5
b 0.5
n 0.5
a 0.5
f 0.5
n 0.5
c 0.5
n 1
f 0.5
n 1
b 0.5
v 1
n 0.5
a 0.5
s 1
v 0.5
s 0.5
n 0.5
f 0.5
b 0.5
d 0.5
n 0.5
b 0.5
n 0.5
a 0.5
v 0.5
n 0.5
v 0.5
n 0.5
a 0.5
s 0.5
v 0.5
s 0.5
a 0.5
b 1
n 1.5
b 0.5
v 0.5
a 0.5
d 0.5
n 0.5
x 0.5
v 0.5
x 0.5
v 1
c 0.5
p 0.5
s 0.5
v 2
n 0.5
f 0.5
n 1
b 0.5
v 1
n 1
f 0.5
p 0.5
v 0.5
f 0.5
s 0.5
a 0.5
v 0.5
a 0.5
n 0.5
v 0.5
h 0.5
f 0.5
n 0.5
f 0.5
b 0.5
p 0.5
n 2
p 1
n 0.5
c 0.5
b 1
v 0.5
a 0.5
v 0.5
a 0.5
v 0.5
c 0.5
n 1
a 0.5
v 0.5
a 0.5
n 0.5
w 0.5
a 0.5
n 0.5
b 0.5
v 0.5
f 0.5
b 0.5
d 0.5
b 0.5
n 0.5
a 0.5
n 1
b 0.5
n 1
b 0.5
d 0.5
s 1
d 1
p 0.5
f 0.5
b 0.5
v 0.5
s 0.5
n 0.5
v 0.5
s 0.5
a 1.5
v 1.5
a 0.5
d 1
a 0.5
n 1
p 0.5
f 0.5
n 0.5
p 0.5
a 0.5
n 1.5
p 0.5
n 0.5
b 0.5
v 0.5
f 0.5
v 0.5
n 0.5
a 0.5
s 1
p 0.5
v 0.5
b 1
n 1.5
f 0.5
n 0.5
a 1
n 0.5
a 0.5
s 0.5
v 0.5
s 0.5
a 0.5
v 0.5
d 0.5
b 0.5
n 1.5
b 0.5
a 0.5
v 1
n 0.5
x 0.5
v 0.5
x 0.5
v 0.5
f 0.5
v 0.5
c 1
b 0.5
a 0.5
n 0.5
v 0.5
a 0.5
f 0.5
v 0.5
x 1
s 0.5
m 1
s 1
a 0.5
m 0.5
p 0.5
m 0.5
n 0.5
b 1
m 0.5
s 0.5
d 0.5
b 0.5
d 0.5
s 0.5
n 0.5
v 0.5
n 0.5
m 1
p 0.5
m 0.5
b 1
m 0.5
s 0.5
d 1.5
p 0.5
s 0.5
n 0.5
s 0.5
a 0.5
m 0.5
a 0.5
m 0.5
n 0.5
b 0.5
m 0.5
s 0.5
m 0.5
c 0.5
d 0.5
c 0.5
b 1
p 0.5
v 0.5
b 0.5
p 0.5
m 0.5
p 1
x 0.5
d 0.5
p 0.5
a 0.5
h 0.5
a 0.5
p 0.5
a 0.5
d 0.5
a 0.5
p 0.5
h 0.5
s 0.5
h 0.5
n 0.5
z 0.5
n 0.5
p 0.5
d 0.5
f 0.5
n 0.5
f 0.5
p 0.5
d 0.5
p 0.5
d 0.5
a 2.5
n 0.5
a 0.5
d 0.5
f 0.5
n 0.5
f 1
g 0.5
m 0.5
d 0.5
s 0.5
a 0.5
d 0.5
c 0.5
a 0.5
m 0.5
n 0.5
h 0.5
q 0.5
a 0.5
v 1
n 1
p 0.5
b 0.5
p 0.5
n 1.5
e 0.5
a 0.5
n 1.5
p 0.5
d 0.5
n 0.5
p 0.5
h 0.5
n 0.5
d 0.5
v 0.5
s 0.5
p 0.5
v 0.5
n 1.5
p 0.5
b 1
n 0.5
p 0.5
n 0.5
a 0.5
n 5
d 0.5
a 1
h 0.5
p 2
e 0.5
c 0.5
p 3
