# 推荐节拍：627 ms/拍
p 6.5
c 0.5
t 0.5
p 0.5
t 1.5
p 1
t 1
p 4
e 3
c 0.5
t 2.5
p 0.5
w 0.5
t 0.5
p 0.5
w 1
a 1
g 1
h 0.5
g 1.5
h 1
j 0.5
c 0.5
d 1
j 2
w 1
e 1
w 1
p 2.5
n 0.5
b 0.5
n 1
d 1.5
p 0.5
m 1
b 0.5
a 0.5
p 0.5
b 0.5
n 0.5
p 0.5
a 0.5
p 0.5
a 0.5
s 0.5
g 0.5
h 0.5
d 1.5
p 0.5
n 1
d 2
g 1
n 1
b 1
p 1
v 2
c 1
b 1
m 1
n 0.5
p 0.5
d 2
m 0.5
p 0.5
b 0.5
a 0.5
m 0.5
b 0.5
p 0.5
x 0.5
a 1.5
s 0.5
g 0.5
h 0.5
g 1
p 1
n 1
b 1
d 1
g 1
b 0.5
m 0.5
b 1.5
p 0.5
c 0.5
b 0.5
p 0.5
m 0.5
b 0.5
p 0.5
c 2.5
p 0.5
e 1
t 1
v 1
d 1
t 0.5
p 0.5
t 0.5
x 0.5
b 1
w 1
e 0.5
x 0.5
m 1
j 1.5
z 0.5
b 1
q 0.5
w 0.5
e 0.5
x 0.5
a 0.5
e 0.5
w 0.5
e 1
w 0.5
x 0.5
b 1
q 0.5
w 0.5
e 0.5
z 0.5
n 0.5
p 0.5
t 1.5
x 0.5
b 1
d 0.5
p 0.5
v 0.5
z 0.5
n 1.5
p 0.5
t 0.5
x 0.5
b 1
d 0.5
m 0.5
e 0.5
x 0.5
m 1
b 1
p 0.5
z 0.5
b 2
p 0.5
x 0.5
v 0.5
s 1.5
p 0.5
x 0.5
d 1
t 0.5
p 1
z 0.5
d 1.5
p 0.5
b 0.5
x 0.5
d 0.5
x 0.5
m 1
p 0.5
z 0.5
n 1
p 1
b 0.5
x 0.5
m 0.5
b 0.5
d 0.5
p 0.5
n 0.5
b 0.5
a 0.5
b 0.5
s 0.5
z 0.5
a 2
p 2
h 1
g 1
h 0.5
z 0.5
n 0.5
h 0.5
p 0.5
e 0.5
p 0.5
j 0.5
x 0.5
b 0.5
j 0.5
g 0.5
h 1.5
j 1
w 0.5
p 1
d 0.5
t 1.5
p 0.5
h 1.5
e 1
t 0.5
x 0.5
n 0.5
j 1
g 0.5
p 0.5
h 3
c 0.5
x 0.5
b 0.5
x 0.5
e 0.5
j 0.5
h 1
n 0.5
h 1
e 0.5
j 1
b 0.5
s 0.5
q 0.5
g 0.5
h 0.5
x 0.5
h 0.5
j 1
w 0.5
t 0.5
z 0.5
m 0.5
t 0.5
m 0.5
p 0.5
h 0.5
v 0.5
n 0.5
h 0.5
e 0.5
q 0.5
t 0.5
x 0.5
b 0.5
j 0.5
g 1
h 0.5
c 0.5
s 0.5
g 0.5
j 1
h 0.5
c 0.5
h 3
e 1
t 1
n 0.5
z 0.5
n 2
t 0.5
x 0.5
b 0.5
t 0.5
w 1
e 0.5
x 0.5
b 0.5
x 0.5
m 1
p 0.5
q 1
a 0.5
q 0.5
w 0.5
e 2
w 0.5
e 0.5
w 0.5
x 0.5
b 1
q 0.5
w 0.5
e 0.5
z 0.5
n 0.5
z 0.5
n 1
t 1
w 0.5
b 1.5
v 1
b 1
n 1
b 0.5
x 0.5
b 1
w 1
p 0.5
e 0.5
t 0.5
x 0.5
m 0.5
p 1
z 0.5
a 1
s 0.5
a 0.5
b 0.5
x 0.5
p 0.5
a 0.5
v 1
p 0.5
c 0.5
x 0.5
b 1
n 1
v 0.5
z 0.5
b 0.5
z 0.5
n 1
c 0.5
t 0.5
b 1
d 0.5
p 1
z 0.5
d 1
p 0.5
q 0.5
s 0.5
x 0.5
d 1
e 1
p 0.5
z 0.5
b 0.5
a 0.5
s 0.5
z 1
p 0.5
b 2
f 2
p 1
g 2
p 0.5
g 0.5
h 3
p 2
h 4
p 6
