# 曲名：盗将行
# 推荐节拍：625 ms/拍
# 身份：花粥/马雨阳《盗将行》常见发行版（网易云音乐歌曲 ID 574566207，专辑《粥请客（二）》）。
# 制谱说明：完整发行音频经 Basic Pitch 转 MIDI，再做单旋律聚类与21键自然音阶映射；候选需游戏内试听复核。
p 4.5
v 0.5
d 0.5
n 0.5
a 0.5
p 0.5
b 0.5
m 0.5
d 1
c 0.5
m 0.5
b 0.5
t 0.5
s 0.5
m 0.5
p 0.5
c 0.5
a 1
v 1
n 0.5
d 1
b 0.5
s 0.5
m 0.5
s 0.5
d 0.5
x 0.5
d 0.5
c 0.5
n 0.5
m 0.5
d 1.5
m 0.5
n 1
c 1
n 0.5
m 0.5
d 0.5
m 2
v 1.5
a 0.5
p 1
c 0.5
x 0.5
s 0.5
p 0.5
x 1
s 1
p 1
c 0.5
p 1
m 0.5
v 1
p 0.5
x 1
b 0.5
m 0.5
s 1
p 0.5
c 1
s 1
b 0.5
c 1
d 0.5
m 0.5
p 0.5
n 1
a 0.5
d 0.5
b 1
m 0.5
d 0.5
p 0.5
a 0.5
c 0.5
b 1
m 0.5
p 0.5
c 1
a 1
n 1.5
d 1
a 0.5
m 0.5
p 0.5
s 0.5
a 0.5
c 0.5
b 0.5
d 1.5
n 0.5
c 0.5
p 1
m 1.5
c 0.5
b 0.5
n 1.5
c 0.5
n 0.5
c 0.5
p 0.5
m 1
b 1
p 0.5
b 0.5
x 0.5
c 0.5
x 0.5
c 1.5
x 0.5
p 0.5
h 1
d 0.5
a 0.5
b 1
m 0.5
t 0.5
c 0.5
b 0.5
c 0.5
b 0.5
d 1
p 0.5
x 0.5
p 0.5
d 0.5
g 0.5
h 0.5
n 0.5
p 0.5
d 0.5
h 0.5
g 0.5
m 1.5
g 0.5
h 0.5
g 1
p 0.5
h 0.5
d 0.5
c 0.5
a 1
s 0.5
d 0.5
n 0.5
a 1
s 0.5
m 1
b 0.5
c 0.5
j 0.5
m 0.5
b 0.5
s 0.5
m 0.5
p 1
c 0.5
m 2
d 0.5
s 0.5
m 0.5
p 0.5
h 0.5
n 1
h 0.5
p 0.5
b 0.5
m 1.5
s 0.5
p 0.5
g 0.5
s 0.5
b 0.5
d 0.5
c 1
n 0.5
m 0.5
d 0.5
v 0.5
n 0.5
a 0.5
p 0.5
d 0.5
m 1.5
p 0.5
d 0.5
j 1.5
m 0.5
j 0.5
m 3.5
n 0.5
a 0.5
m 0.5
s 1
p 0.5
a 0.5
s 1
b 1
m 0.5
n 0.5
c 0.5
a 1
n 1.5
a 0.5
s 0.5
d 0.5
p 0.5
m 0.5
s 1
a 0.5
s 1
a 0.5
g 0.5
d 0.5
c 1.5
x 0.5
v 0.5
n 1
p 0.5
c 0.5
b 0.5
m 0.5
d 1.5
c 0.5
x 0.5
p 0.5
s 0.5
b 0.5
p 0.5
c 0.5
p 1.5
v 0.5
n 0.5
d 0.5
p 0.5
c 0.5
p 0.5
m 0.5
x 0.5
d 1
c 0.5
x 0.5
b 0.5
d 1
p 0.5
c 0.5
m 2.5
s 0.5
c 0.5
n 0.5
p 0.5
c 0.5
n 0.5
d 1
p 1
d 0.5
b 0.5
n 0.5
p 1
d 0.5
n 0.5
g 0.5
b 0.5
j 1
b 0.5
n 0.5
b 0.5
p 0.5
d 0.5
x 0.5
p 1.5
c 0.5
m 0.5
a 0.5
p 0.5
n 0.5
a 0.5
d 0.5
s 0.5
b 0.5
p 1
c 0.5
p 1
g 0.5
p 0.5
a 0.5
s 0.5
x 0.5
c 0.5
p 0.5
b 0.5
n 0.5
p 1
d 0.5
h 0.5
g 0.5
p 0.5
d 0.5
p 0.5
b 0.5
n 0.5
b 0.5
g 0.5
h 0.5
d 0.5
p 1
c 0.5
x 0.5
p 1.5
a 0.5
x 0.5
c 0.5
p 0.5
b 0.5
m 1
b 1
p 1
g 0.5
s 0.5
p 0.5
x 0.5
c 0.5
b 0.5
n 1
c 1
p 0.5
c 0.5
b 1
m 0.5
b 0.5
n 0.5
b 0.5
n 1
x 0.5
c 0.5
p 1
s 0.5
a 0.5
p 0.5
n 0.5
a 0.5
s 0.5
p 1
m 0.5
x 0.5
p 3
a 0.5
x 0.5
m 0.5
c 0.5
m 0.5
b 0.5
n 0.5
p 0.5
c 0.5
n 0.5
b 2.5
n 0.5
p 0.5
b 0.5
c 0.5
b 0.5
p 0.5
c 0.5
p 0.5
c 0.5
x 0.5
b 0.5
n 0.5
p 0.5
a 0.5
x 0.5
c 0.5
b 0.5
m 0.5
p 0.5
c 0.5
p 1
b 0.5
s 0.5
m 0.5
n 1
m 1.5
a 0.5
p 1.5
m 0.5
p 1
n 2
p 1.5
c 0.5
b 0.5
p 0.5
n 1
c 0.5
p 0.5
n 0.5
b 0.5
m 1.5
p 0.5
b 0.5
n 0.5
b 1
c 0.5
b 0.5
p 0.5
c 0.5
a 1
g 0.5
d 0.5
x 0.5
v 0.5
a 0.5
n 0.5
a 0.5
p 0.5
x 0.5
b 1
s 1
p 1
b 0.5
p 0.5
m 1
d 1
s 1.5
m 0.5
p 1
n 0.5
c 0.5
n 0.5
m 1
d 0.5
m 1
s 1
m 1
d 0.5
c 0.5
m 0.5
d 3.5
c 3
n 2.5
p 5.5
c 1.5
p 3.5
