# 曲名：是风动
# 推荐节拍：857 ms/拍
# 身份：银临/河图《是风动》常见合唱发行版（网易云音乐歌曲 ID 504686859，专辑《蚍蜉渡海》）。
# 制谱说明：完整发行音频经 Basic Pitch 转 MIDI，再做单旋律聚类与21键自然音阶映射；候选需游戏内试听复核。
p 0.5
n 0.5
c 0.5
a 0.5
n 0.5
c 0.5
n 0.5
r 0.5
c 0.5
a 0.5
n 0.5
c 0.5
a 0.5
f 0.5
n 0.5
x 0.5
c 0.5
d 0.5
a 0.5
f 0.5
a 0.5
c 0.5
a 0.5
n 0.5
a 0.5
c 0.5
a 0.5
n 0.5
x 0.5
c 0.5
f 0.5
a 0.5
n 0.5
d 0.5
n 0.5
a 0.5
v 0.5
s 0.5
a 1
d 0.5
a 0.5
f 0.5
n 0.5
a 0.5
x 0.5
n 0.5
a 0.5
n 0.5
a 0.5
s 0.5
v 0.5
s 0.5
a 0.5
s 0.5
f 0.5
d 0.5
a 0.5
v 0.5
f 0.5
v 0.5
a 0.5
x 1
n 0.5
w 0.5
v 0.5
s 0.5
a 0.5
s 0.5
q 0.5
c 0.5
a 0.5
f 0.5
n 0.5
a 0.5
n 0.5
c 0.5
a 0.5
v 0.5
a 0.5
v 0.5
a 1
d 0.5
c 0.5
a 0.5
x 0.5
a 0.5
d 0.5
x 1
v 0.5
n 0.5
s 0.5
a 0.5
s 0.5
a 0.5
n 0.5
q 0.5
e 0.5
h 0.5
s 0.5
v 0.5
n 0.5
s 0.5
a 1.5
d 0.5
n 0.5
q 0.5
r 0.5
s 0.5
v 0.5
n 0.5
s 0.5
a 1
d 0.5
s 0.5
p 0.5
s 0.5
d 1
f 1
q 0.5
f 0.5
s 1
a 0.5
c 0.5
a 0.5
s 1.5
p 2
n 0.5
s 0.5
a 0.5
s 0.5
a 1
p 2
c 1
p 1
n 0.5
p 0.5
a 0.5
s 0.5
a 0.5
d 1
p 0.5
n 0.5
p 0.5
c 0.5
p 1.5
n 0.5
s 0.5
a 0.5
s 0.5
p 0.5
d 0.5
p 0.5
f 0.5
x 0.5
h 0.5
f 0.5
s 0.5
p 1
f 0.5
s 0.5
a 0.5
s 0.5
v 1
a 0.5
s 0.5
p 0.5
c 1
p 0.5
d 1.5
a 0.5
f 0.5
v 0.5
f 0.5
s 0.5
d 0.5
a 0.5
n 0.5
p 0.5
a 0.5
h 0.5
n 0.5
a 0.5
s 0.5
a 0.5
s 0.5
d 1
a 0.5
n 0.5
v 0.5
n 0.5
v 1
n 0.5
v 0.5
s 1
n 0.5
d 0.5
n 0.5
d 0.5
f 0.5
g 0.5
h 0.5
f 0.5
h 0.5
f 0.5
s 0.5
d 0.5
f 0.5
v 0.5
s 0.5
d 0.5
f 1
s 0.5
h 0.5
g 0.5
s 0.5
h 0.5
n 0.5
a 0.5
s 0.5
h 0.5
a 0.5
s 0.5
p 0.5
a 1
s 0.5
a 0.5
h 1
f 1
a 0.5
s 1
a 0.5
p 0.5
n 0.5
b 0.5
v 0.5
d 0.5
b 0.5
a 0.5
n 0.5
x 0.5
n 0.5
s 1
p 0.5
a 0.5
s 0.5
p 0.5
a 1.5
s 0.5
h 1
p 0.5
h 0.5
p 1.5
h 0.5
g 0.5
a 0.5
q 0.5
a 1
x 0.5
s 1
d 0.5
w 0.5
s 1.5
d 0.5
f 1
q 0.5
h 1
p 0.5
h 0.5
f 1
d 0.5
s 1.5
d 1
p 0.5
f 0.5
h 0.5
p 0.5
v 0.5
x 0.5
v 0.5
x 0.5
n 0.5
s 1.5
d 0.5
f 1
h 0.5
v 0.5
f 0.5
r 0.5
f 1
r 0.5
e 0.5
n 0.5
p 0.5
q 0.5
d 0.5
q 0.5
d 0.5
s 0.5
a 1
x 1.5
p 0.5
g 0.5
n 0.5
p 0.5
a 0.5
s 0.5
g 0.5
p 0.5
g 0.5
b 0.5
x 0.5
p 1
x 0.5
p 1
n 0.5
s 1
g 0.5
a 0.5
d 1.5
p 1
n 0.5
x 0.5
a 0.5
c 0.5
n 0.5
s 1
p 0.5
h 1
d 0.5
f 0.5
x 0.5
h 0.5
f 0.5
s 0.5
p 1
f 0.5
s 0.5
h 0.5
s 0.5
q 0.5
p 0.5
a 0.5
s 1
p 0.5
c 0.5
p 1
f 1
d 0.5
h 0.5
p 0.5
f 0.5
s 0.5
d 0.5
a 0.5
n 0.5
p 0.5
a 0.5
n 0.5
a 1
s 1
v 0.5
d 0.5
f 0.5
d 0.5
a 0.5
n 0.5
v 0.5
n 1
v 1
n 0.5
v 0.5
s 1
n 1
a 0.5
f 0.5
g 0.5
h 0.5
f 1
s 0.5
d 0.5
f 0.5
v 0.5
d 0.5
f 1
s 0.5
h 0.5
b 0.5
g 0.5
s 0.5
g 0.5
h 0.5
n 0.5
a 0.5
s 0.5
q 0.5
s 0.5
a 0.5
s 0.5
a 0.5
s 0.5
a 0.5
h 1
f 0.5
n 0.5
a 0.5
s 0.5
h 0.5
a 1
n 0.5
b 0.5
f 0.5
b 0.5
p 0.5
n 0.5
a 0.5
n 0.5
x 0.5
n 0.5
s 0.5
f 0.5
p 1.5
a 1.5
p 0.5
q 0.5
h 0.5
p 0.5
h 0.5
p 0.5
h 0.5
p 0.5
h 0.5
g 0.5
a 1.5
x 0.5
s 0.5
w 0.5
s 0.5
w 0.5
a 1
s 0.5
p 0.5
a 0.5
s 0.5
p 0.5
a 0.5
s 0.5
g 0.5
a 0.5
q 0.5
s 0.5
h 0.5
g 0.5
h 0.5
r 0.5
n 0.5
a 0.5
s 0.5
h 0.5
s 0.5
a 0.5
b 0.5
n 0.5
b 0.5
s 0.5
b 0.5
a 0.5
n 1
a 0.5
s 0.5
a 2
s 0.5
a 0.5
s 0.5
h 1.5
p 0.5
s 0.5
b 0.5
h 0.5
g 0.5
a 1.5
s 0.5
x 0.5
s 0.5
x 0.5
n 0.5
a 0.5
s 0.5
q 0.5
s 0.5
a 0.5
s 0.5
p 0.5
a 0.5
f 0.5
a 1
s 0.5
h 1
n 0.5
a 0.5
s 0.5
a 0.5
n 0.5
b 0.5
v 0.5
b 1
n 0.5
a 0.5
n 0.5
x 0.5
n 1
a 0.5
s 0.5
v 0.5
a 0.5
s 0.5
a 0.5
s 0.5
a 0.5
s 0.5
x 0.5
h 1
x 0.5
h 0.5
g 0.5
f 0.5
s 0.5
h 0.5
g 0.5
a 1
s 1.5
p 0.5
w 0.5
p 0.5
n 0.5
f 0.5
h 0.5
f 0.5
a 0.5
h 0.5
r 0.5
h 0.5
r 0.5
h 0.5
s 0.5
h 0.5
q 0.5
t 0.5
r 0.5
n 0.5
h 0.5
f 0.5
a 0.5
e 0.5
r 0.5
s 0.5
h 0.5
r 1
e 1
p 0.5
h 1
p 2.5
