# 曲名：鸟之诗
# 推荐节拍：487 ms/拍
# 身份：Lia《鳥の詩》完整 6:09 版本；B 站完整音频候选，BV1gs411f73s（aid 640957）。
# 制谱说明：完整音频经 Basic Pitch 转 MIDI，再做单旋律聚类与21键自然音阶映射；候选需游戏内试听复核。
p 1
u 1
p 0.5
h 0.5
s 1
n 2
s 2
b 0.5
a 0.5
p 0.5
b 0.5
p 6
f 0.5
p 0.5
s 0.5
f 0.5
g 0.5
s 0.5
p 1
v 0.5
p 0.5
s 0.5
n 0.5
f 0.5
p 1.5
b 1.5
p 0.5
b 0.5
g 1
p 0.5
f 1
p 1.5
s 0.5
p 0.5
w 0.5
s 1
p 0.5
f 0.5
q 0.5
p 0.5
h 3.5
p 1.5
h 0.5
q 0.5
p 0.5
d 0.5
p 1
d 0.5
p 5
a 0.5
s 0.5
n 0.5
p 0.5
q 0.5
g 0.5
h 0.5
p 0.5
v 0.5
h 1
p 0.5
h 0.5
p 1.5
h 0.5
q 0.5
p 0.5
q 0.5
r 0.5
e 0.5
p 0.5
w 0.5
h 0.5
p 1.5
g 0.5
p 1
q 0.5
w 1.5
e 0.5
p 0.5
g 0.5
h 1
p 0.5
h 2
p 1.5
h 0.5
q 0.5
g 0.5
p 1.5
d 0.5
p 5.5
d 1
p 2.5
h 1.5
p 1.5
g 0.5
h 0.5
p 1.5
q 0.5
r 0.5
w 0.5
q 1
n 0.5
e 1
w 3
s 0.5
p 0.5
w 0.5
b 0.5
e 0.5
n 1
s 1
n 1
p 0.5
w 4
p 2
j 0.5
p 0.5
j 1.5
h 1
p 1.5
j 0.5
q 1.5
p 0.5
j 0.5
p 0.5
f 0.5
p 0.5
f 0.5
s 0.5
p 1.5
d 0.5
s 1
p 2
j 0.5
p 0.5
j 2
p 0.5
h 1
p 0.5
f 0.5
p 0.5
h 0.5
p 0.5
j 0.5
q 1
w 3
p 0.5
s 0.5
p 3
b 0.5
p 0.5
j 0.5
p 1
j 1
p 0.5
h 0.5
p 1
j 1
p 1.5
q 0.5
j 1
p 1.5
f 0.5
p 3
v 0.5
p 3.5
f 0.5
p 0.5
d 0.5
p 1
h 0.5
