# 曲名：年轮
# 推荐节拍：418 ms/拍
# 身份：张碧晨《年轮》完整 4:35 版本；B 站完整音频候选，BV1F341197ER（aid 436015554）。
# 制谱说明：完整音频经 Basic Pitch 转 MIDI，再做单旋律聚类与21键自然音阶映射；候选需游戏内试听复核。
p 1
q 0.5
s 0.5
d 0.5
q 0.5
w 0.5
q 0.5
h 0.5
q 0.5
t 0.5
e 0.5
w 0.5
e 0.5
w 0.5
q 0.5
p 1
a 2
n 0.5
s 0.5
d 1
s 0.5
m 0.5
t 0.5
p 0.5
s 2
t 1
s 1
m 0.5
s 1
p 1
a 0.5
w 0.5
a 0.5
w 0.5
q 0.5
p 0.5
a 0.5
q 0.5
h 2
g 0.5
z 1
v 0.5
g 1.5
f 1.5
g 1
b 0.5
g 1
a 1.5
b 0.5
x 1
b 1.5
a 0.5
x 0.5
m 4.5
b 0.5
p 1
n 0.5
a 1
p 0.5
s 1
d 0.5
n 0.5
p 0.5
a 0.5
p 1.5
d 0.5
b 1
p 0.5
a 0.5
c 1
m 0.5
d 0.5
b 1
m 0.5
a 0.5
p 1
b 1
n 0.5
p 0.5
a 1
s 1
d 0.5
n 1
a 0.5
s 0.5
b 1
a 0.5
p 1
f 0.5
g 0.5
p 1
d 1.5
s 1
b 1
d 0.5
b 1.5
p 0.5
n 0.5
a 1
p 0.5
s 0.5
d 0.5
n 1.5
a 0.5
b 1
p 0.5
d 0.5
b 0.5
p 0.5
a 0.5
s 0.5
p 1
s 0.5
d 0.5
b 1
m 1.5
p 0.5
b 1
d 0.5
n 0.5
a 1
s 0.5
n 0.5
d 0.5
p 0.5
n 1
a 0.5
h 0.5
x 0.5
p 0.5
b 0.5
p 0.5
a 0.5
s 0.5
p 1
a 0.5
p 0.5
a 1.5
z 0.5
p 0.5
s 1
b 0.5
p 0.5
n 0.5
p 0.5
z 1
a 0.5
s 0.5
n 0.5
d 0.5
n 0.5
p 0.5
a 0.5
s 0.5
m 1
d 0.5
m 1
p 1
s 1.5
d 0.5
b 0.5
p 0.5
m 2
b 0.5
p 0.5
a 0.5
n 0.5
a 0.5
p 1
s 1
d 0.5
n 1
a 2.5
p 0.5
d 0.5
g 0.5
p 1
d 0.5
p 0.5
d 1
p 0.5
g 1
b 1.5
p 0.5
c 0.5
n 0.5
a 0.5
p 0.5
s 1
d 0.5
p 0.5
n 1
s 0.5
x 1
n 0.5
d 0.5
m 1
p 0.5
s 2
d 0.5
b 1
p 1
d 1
b 0.5
p 0.5
n 0.5
p 0.5
a 1
s 1
d 1
n 1
a 0.5
s 0.5
v 0.5
p 0.5
v 0.5
a 0.5
s 0.5
p 0.5
a 0.5
z 1.5
a 0.5
b 0.5
s 0.5
a 0.5
p 0.5
s 1
d 0.5
p 1
h 0.5
d 1
p 0.5
g 0.5
n 0.5
p 0.5
n 0.5
p 0.5
d 0.5
g 1.5
p 0.5
g 0.5
m 0.5
p 0.5
d 0.5
p 0.5
g 0.5
p 1
h 1
p 0.5
d 0.5
p 0.5
s 0.5
p 1
b 2
p 0.5
n 0.5
d 0.5
p 0.5
d 0.5
p 1.5
s 1
p 0.5
d 0.5
p 0.5
v 0.5
g 0.5
d 1
q 0.5
p 0.5
z 0.5
c 0.5
p 1.5
s 1
d 0.5
g 0.5
p 0.5
d 1
p 0.5
g 0.5
p 1
n 0.5
p 0.5
d 0.5
p 0.5
g 0.5
m 0.5
g 0.5
s 1
p 0.5
d 0.5
p 0.5
g 2
h 0.5
p 0.5
d 0.5
s 0.5
p 3.5
n 1
p 0.5
d 1.5
b 0.5
p 0.5
n 0.5
p 0.5
d 0.5
s 0.5
d 0.5
q 0.5
p 0.5
n 0.5
p 0.5
a 0.5
s 0.5
d 1
a 2
s 0.5
h 1.5
q 1
t 1
m 0.5
h 0.5
s 1
e 1
w 1
d 0.5
q 0.5
d 0.5
g 0.5
d 0.5
a 1
n 0.5
h 0.5
a 0.5
v 1.5
n 0.5
g 0.5
x 0.5
r 0.5
q 0.5
f 0.5
s 1
c 1
q 1.5
p 0.5
q 1.5
p 0.5
b 0.5
p 1
n 0.5
a 1
p 0.5
s 0.5
d 0.5
n 0.5
p 0.5
a 0.5
s 0.5
d 1
p 0.5
d 0.5
b 1
a 0.5
s 1
p 0.5
s 0.5
p 0.5
b 1
m 1
p 1
b 1
n 1
a 1
s 1
d 0.5
v 1
a 0.5
s 0.5
p 0.5
v 0.5
a 1
v 0.5
g 0.5
f 0.5
p 0.5
d 3.5
p 0.5
d 0.5
p 0.5
b 1
n 0.5
p 0.5
a 0.5
p 0.5
s 0.5
z 0.5
d 0.5
n 0.5
a 1.5
d 1
s 0.5
d 0.5
b 1
a 0.5
p 0.5
s 1
p 0.5
d 0.5
b 1
m 0.5
p 1.5
b 2
a 1
p 0.5
s 0.5
d 0.5
p 0.5
b 0.5
a 0.5
s 0.5
p 1
b 1
p 0.5
a 0.5
s 0.5
p 0.5
a 0.5
p 0.5
b 1
s 0.5
p 1
c 0.5
z 1
b 0.5
p 1
n 0.5
p 1
a 0.5
s 0.5
d 0.5
p 0.5
n 0.5
p 0.5
a 0.5
s 1
p 0.5
d 0.5
b 1
p 0.5
a 0.5
s 1
p 0.5
d 0.5
b 0.5
c 0.5
n 0.5
p 1.5
z 1
b 0.5
n 0.5
a 0.5
p 0.5
a 0.5
s 0.5
d 0.5
p 0.5
n 0.5
v 1
p 1
a 0.5
p 1
g 0.5
p 1
d 3.5
p 0.5
n 0.5
p 0.5
g 0.5
z 0.5
n 0.5
d 0.5
a 0.5
p 0.5
a 0.5
s 0.5
d 0.5
p 0.5
n 0.5
p 0.5
a 0.5
m 1
p 0.5
d 0.5
m 1.5
p 1
s 0.5
d 1
m 0.5
g 0.5
a 0.5
p 3
n 0.5
d 1
s 0.5
p 0.5
d 0.5
p 0.5
n 0.5
p 1.5
v 1
b 0.5
a 0.5
s 0.5
a 1.5
p 0.5
a 1
c 1
d 0.5
p 0.5
z 0.5
s 1
p 0.5
g 0.5
p 0.5
d 1
g 1.5
p 1
a 0.5
d 0.5
g 1
x 0.5
p 0.5
g 0.5
m 1
d 0.5
p 0.5
g 0.5
p 0.5
g 0.5
h 0.5
p 0.5
s 0.5
d 0.5
s 1
a 0.5
p 1.5
b 1
n 1
d 0.5
p 0.5
d 0.5
p 1.5
s 1
p 0.5
d 0.5
a 0.5
g 0.5
p 1
d 1
p 0.5
c 1
p 1.5
s 0.5
d 0.5
p 0.5
g 0.5
p 1
d 0.5
p 0.5
g 0.5
p 1
n 0.5
d 1
p 0.5
g 0.5
m 0.5
p 0.5
m 1
d 0.5
p 1
g 0.5
p 0.5
g 0.5
p 1.5
d 0.5
s 0.5
p 3.5
n 0.5
p 2
d 0.5
p 1
n 0.5
p 0.5
d 0.5
s 0.5
p 2.5
a 0.5
p 0.5
a 3.5
w 0.5
p 0.5
q 0.5
g 1
p 0.5
n 1
p 0.5
n 1
p 3
s 1
g 0.5
p 0.5
g 0.5
p 0.5
g 0.5
b 1
g 0.5
p 1.5
g 1
p 0.5
f 0.5
p 0.5
f 0.5
p 0.5
m 0.5
d 0.5
p 0.5
m 1
d 0.5
c 0.5
m 0.5
b 0.5
p 0.5
z 0.5
d 0.5
p 3.5
a 1
p 0.5
s 0.5
p 1.5
a 0.5
p 0.5
f 0.5
g 0.5
p 3
s 0.5
h 0.5
p 2
b 1.5
p 1
v 0.5
s 0.5
p 0.5
a 0.5
p 0.5
a 1
v 0.5
p 0.5
s 0.5
g 0.5
q 0.5
g 0.5
w 0.5
p 0.5
w 1
p 0.5
w 1.5
p 2.5
g 0.5
p 0.5
d 1
g 1.5
h 0.5
p 0.5
d 1
g 1.5
p 0.5
e 0.5
p 0.5
d 0.5
g 1.5
c 0.5
g 2
d 0.5
s 0.5
p 1
a 0.5
s 0.5
q 0.5
d 0.5
p 0.5
b 0.5
n 0.5
d 0.5
a 0.5
d 0.5
n 1
p 0.5
s 1
d 1
p 0.5
g 0.5
d 1
s 0.5
d 1.5
p 0.5
a 0.5
p 0.5
s 1
d 0.5
p 0.5
g 0.5
p 0.5
d 1
g 1.5
a 1
d 0.5
p 0.5
g 0.5
m 0.5
p 1.5
m 0.5
d 0.5
p 0.5
g 2
p 0.5
h 0.5
p 0.5
d 0.5
s 1
a 0.5
p 0.5
x 0.5
p 0.5
b 0.5
a 0.5
n 0.5
p 0.5
d 0.5
p 0.5
d 0.5
b 1
n 1
p 0.5
d 0.5
