# 曲名：云与海（YueYue）
# 推荐节拍：1000 ms/拍
# 身份：YueYue《云与海》公开 Cover 完整音频（网易云音乐歌曲 ID 3406250057，时长约3:59）。
# 制谱说明：完整公开音频经 Basic Pitch 转 MIDI，再做单旋律聚类与21键自然音阶映射；候选需游戏内试听复核。
p 2
q 0.5
w 0.5
d 0.5
n 0.5
e 0.5
y 0.5
e 0.5
s 0.5
n 0.5
x 0.5
y 1
e 0.5
y 0.5
e 0.5
y 0.5
d 0.5
n 0.5
e 0.5
t 0.5
m 0.5
x 1
e 0.5
y 2
c 1
w 0.5
n 1
a 1
n 0.5
m 0.5
b 0.5
c 0.5
b 0.5
m 0.5
g 1
q 0.5
g 0.5
a 0.5
n 1
a 1
s 0.5
a 0.5
s 0.5
a 0.5
b 0.5
n 0.5
b 0.5
j 0.5
s 0.5
b 0.5
m 0.5
b 0.5
n 0.5
d 0.5
n 0.5
a 0.5
s 0.5
j 0.5
s 0.5
j 0.5
h 0.5
b 0.5
a 0.5
s 1
d 0.5
a 1
j 0.5
t 0.5
a 0.5
n 0.5
s 0.5
q 0.5
s 1
m 1
n 0.5
t 0.5
n 0.5
t 0.5
w 0.5
q 0.5
d 0.5
b 0.5
n 0.5
d 0.5
b 0.5
n 0.5
s 0.5
d 0.5
s 0.5
a 0.5
s 0.5
a 0.5
s 0.5
b 0.5
s 0.5
b 0.5
a 0.5
s 0.5
a 0.5
b 0.5
a 0.5
d 0.5
b 0.5
n 0.5
d 0.5
b 0.5
n 0.5
d 0.5
s 0.5
b 0.5
f 0.5
g 0.5
d 1
g 0.5
d 0.5
g 0.5
m 0.5
h 0.5
f 0.5
n 0.5
d 0.5
b 0.5
n 0.5
d 0.5
b 0.5
n 0.5
s 0.5
d 0.5
s 1
g 0.5
s 0.5
j 0.5
s 0.5
a 1
s 0.5
d 0.5
f 0.5
n 0.5
d 0.5
f 0.5
a 0.5
f 0.5
n 0.5
j 0.5
g 0.5
m 0.5
g 0.5
m 0.5
n 1
a 0.5
j 0.5
h 0.5
n 0.5
a 0.5
s 0.5
d 0.5
h 0.5
g 0.5
d 0.5
h 0.5
g 0.5
d 0.5
h 0.5
g 0.5
d 0.5
x 0.5
d 0.5
h 0.5
g 0.5
d 0.5
h 0.5
g 0.5
s 0.5
a 0.5
d 0.5
h 0.5
g 0.5
a 0.5
d 0.5
h 0.5
g 0.5
a 0.5
x 0.5
s 0.5
x 0.5
g 1
h 0.5
g 1
h 0.5
n 0.5
a 0.5
s 0.5
d 0.5
h 0.5
g 0.5
d 0.5
h 0.5
g 0.5
d 0.5
h 0.5
g 0.5
s 0.5
j 0.5
d 0.5
j 0.5
g 0.5
j 0.5
h 0.5
s 0.5
d 0.5
n 0.5
a 0.5
g 0.5
m 0.5
g 0.5
t 0.5
c 0.5
m 0.5
a 0.5
n 1
x 0.5
m 0.5
a 0.5
n 0.5
a 0.5
n 1
e 0.5
d 0.5
n 0.5
b 0.5
d 0.5
b 0.5
x 0.5
n 0.5
c 0.5
a 0.5
n 0.5
c 0.5
b 0.5
t 1
a 1
s 0.5
d 0.5
b 0.5
d 0.5
n 0.5
s 0.5
d 0.5
s 0.5
x 0.5
s 0.5
b 0.5
s 0.5
c 0.5
b 0.5
a 0.5
s 0.5
a 0.5
d 0.5
b 0.5
n 0.5
d 0.5
b 0.5
n 0.5
x 0.5
d 0.5
s 0.5
f 0.5
g 0.5
d 2
h 0.5
d 0.5
f 0.5
d 0.5
b 0.5
n 0.5
d 0.5
b 0.5
n 0.5
s 0.5
d 0.5
s 0.5
b 0.5
j 0.5
f 0.5
m 0.5
g 0.5
c 0.5
s 0.5
a 0.5
s 0.5
d 0.5
n 0.5
x 0.5
f 0.5
n 0.5
b 0.5
g 0.5
m 0.5
n 1.5
a 0.5
s 0.5
d 0.5
h 0.5
g 0.5
d 0.5
h 0.5
g 0.5
d 0.5
g 0.5
d 1
h 0.5
g 0.5
d 0.5
h 0.5
g 0.5
d 0.5
c 0.5
a 0.5
s 0.5
a 0.5
d 0.5
h 0.5
g 0.5
d 0.5
h 0.5
g 0.5
s 1.5
j 0.5
g 0.5
b 0.5
h 0.5
g 0.5
q 0.5
g 1
a 0.5
s 0.5
d 0.5
h 0.5
g 0.5
d 0.5
h 0.5
g 0.5
d 0.5
h 0.5
g 0.5
s 0.5
d 0.5
j 0.5
g 1
j 0.5
h 0.5
s 1
d 0.5
n 0.5
f 0.5
a 0.5
h 0.5
g 0.5
m 0.5
a 0.5
n 1
s 0.5
b 0.5
g 0.5
b 0.5
a 0.5
s 0.5
c 0.5
g 0.5
b 0.5
a 0.5
c 0.5
v 1
s 0.5
f 0.5
m 0.5
a 0.5
s 0.5
f 0.5
h 0.5
g 0.5
f 0.5
h 0.5
g 0.5
f 0.5
h 0.5
g 0.5
f 1
h 0.5
g 0.5
f 0.5
h 0.5
g 0.5
f 1
s 0.5
a 0.5
f 0.5
h 0.5
g 0.5
f 0.5
h 0.5
g 0.5
s 1
h 0.5
q 0.5
g 1
h 0.5
g 0.5
a 0.5
s 0.5
f 0.5
h 0.5
g 0.5
f 0.5
h 0.5
g 0.5
f 0.5
h 0.5
g 0.5
s 1
f 0.5
j 0.5
q 0.5
g 0.5
q 0.5
h 0.5
n 0.5
h 0.5
n 1
s 0.5
f 0.5
n 1
x 0.5
g 0.5
w 0.5
a 2
n 1
t 0.5
s 0.5
n 0.5
v 0.5
b 0.5
f 0.5
v 0.5
y 0.5
t 0.5
r 0.5
