# 曲名：生僻字
# 推荐节拍：500 ms/拍
# 身份：陈柯宇《生僻字》完整音频候选；B站视频 BV1yeSnBWEsZ，时长 213.669 秒，下载为 Bilibili AAC 音频。
# 完整B站音频经 Basic Pitch 转 MIDI，再做单旋律聚类与21键自然音阶映射；候选需游戏内试听复核。
p 0.5
a 0.5
s 0.5
p 4.5
n 0.5
p 0.5
a 1
g 0.5
p 7.5
e 0.5
p 2
n 0.5
p 0.5
n 0.5
h 1
q 0.5
h 0.5
s 0.5
p 0.5
s 0.5
p 0.5
d 0.5
g 1
p 0.5
h 0.5
n 1
p 3.5
n 0.5
p 1
n 0.5
p 0.5
b 1
p 1.5
n 0.5
p 1.5
n 0.5
p 0.5
n 0.5
p 2.5
h 0.5
p 2.5
n 2
p 1
m 0.5
p 1
n 0.5
b 1
n 0.5
p 0.5
n 2
p 0.5
n 0.5
p 0.5
n 0.5
p 1
a 0.5
n 1
b 0.5
p 0.5
a 0.5
b 1.5
d 0.5
b 0.5
d 0.5
b 0.5
p 0.5
d 0.5
a 0.5
x 1
c 0.5
a 0.5
c 0.5
a 0.5
c 0.5
n 0.5
v 0.5
n 0.5
a 0.5
v 0.5
n 0.5
a 0.5
d 0.5
p 0.5
z 1.5
x 0.5
c 0.5
b 2
c 0.5
p 0.5
x 2.5
z 1.5
p 0.5
z 1
p 0.5
z 0.5
m 0.5
a 0.5
z 2
x 0.5
p 0.5
c 0.5
b 2
c 0.5
z 0.5
x 2
p 0.5
z 0.5
p 0.5
z 0.5
p 0.5
f 0.5
p 0.5
z 1
n 0.5
z 0.5
n 0.5
p 0.5
z 0.5
c 1
a 0.5
z 0.5
b 0.5
c 0.5
b 1
p 2.5
m 1
z 0.5
n 0.5
z 2.5
p 0.5
z 0.5
p 0.5
v 0.5
n 0.5
h 0.5
a 0.5
c 0.5
z 0.5
b 0.5
c 0.5
b 1
z 0.5
p 0.5
x 1
p 0.5
x 1
p 0.5
x 2
p 1.5
z 1
p 0.5
z 1.5
p 1
z 1
p 0.5
x 0.5
z 0.5
p 0.5
x 0.5
p 0.5
x 0.5
p 1
z 0.5
f 0.5
p 2
z 0.5
p 1
n 1
p 0.5
n 0.5
p 1
b 2
c 0.5
p 0.5
z 1
p 1.5
x 1
p 2
z 0.5
x 0.5
p 1
z 0.5
p 0.5
z 1
p 2.5
a 0.5
p 0.5
x 0.5
p 1
x 0.5
p 0.5
x 0.5
p 0.5
z 0.5
p 1.5
z 0.5
p 1
z 1
p 0.5
n 0.5
p 0.5
b 0.5
n 0.5
a 1
p 3.5
b 0.5
p 1
x 1.5
p 1.5
z 0.5
p 1
z 0.5
p 0.5
n 1
p 0.5
a 0.5
n 0.5
p 1.5
n 0.5
p 2
b 0.5
n 1
p 0.5
a 0.5
p 2
c 0.5
p 2.5
n 0.5
p 1
a 0.5
p 0.5
a 0.5
p 0.5
m 0.5
p 0.5
n 1
b 0.5
p 1
n 4
p 1
m 0.5
p 1
n 0.5
p 0.5
b 0.5
a 0.5
n 0.5
z 0.5
b 0.5
n 0.5
p 1
n 0.5
b 0.5
m 0.5
p 1.5
n 0.5
p 0.5
b 0.5
a 0.5
p 0.5
b 0.5
x 0.5
c 0.5
g 0.5
z 0.5
b 0.5
p 0.5
n 0.5
p 1
a 1
p 0.5
a 1
n 1
b 0.5
p 1.5
n 4
p 1
b 0.5
n 0.5
b 0.5
c 4
a 0.5
p 7
h 0.5
g 1
h 1.5
p 0.5
q 1
w 0.5
p 0.5
w 0.5
p 5
q 0.5
p 0.5
t 0.5
p 1
r 0.5
w 1
p 0.5
w 1
p 0.5
d 1
e 1.5
p 0.5
q 0.5
a 0.5
p 2
z 2.5
p 2
z 0.5
x 0.5
c 0.5
p 0.5
x 2
p 0.5
z 0.5
p 1
z 0.5
p 1.5
z 0.5
p 0.5
n 1
b 0.5
n 0.5
b 0.5
p 0.5
b 2
p 0.5
c 0.5
p 0.5
z 0.5
p 1.5
x 1
p 1.5
z 1
x 0.5
z 0.5
p 0.5
z 3
p 1.5
z 0.5
p 0.5
a 0.5
z 0.5
p 0.5
x 0.5
p 5
z 0.5
p 1
n 0.5
p 0.5
n 0.5
a 1.5
p 1.5
b 0.5
p 0.5
c 0.5
z 0.5
b 1
p 0.5
x 2
p 1
z 0.5
p 1
z 0.5
p 1
n 0.5
p 0.5
a 0.5
p 1
b 0.5
p 1.5
n 0.5
p 1
b 0.5
n 1
p 0.5
n 0.5
p 1
z 0.5
p 0.5
c 0.5
p 0.5
d 0.5
c 0.5
p 1
n 0.5
p 1
a 0.5
n 0.5
p 0.5
a 1
p 0.5
n 1
p 0.5
b 0.5
n 2.5
p 0.5
n 2
p 0.5
b 0.5
p 1
n 0.5
p 0.5
b 0.5
a 0.5
n 0.5
p 0.5
z 0.5
b 0.5
n 0.5
p 0.5
n 0.5
b 0.5
p 0.5
a 0.5
m 0.5
p 0.5
n 1
p 1
a 0.5
p 0.5
x 0.5
c 0.5
z 0.5
b 0.5
p 1
n 0.5
p 1
a 0.5
n 0.5
a 0.5
m 1
p 0.5
n 1
b 0.5
p 0.5
n 3.5
p 0.5
n 0.5
p 1
a 0.5
s 0.5
p 0.5
d 0.5
s 0.5
a 0.5
s 0.5
a 1
b 1.5
p 0.5
n 1
a 2
p 0.5
a 1
z 0.5
a 1.5
p 0.5
a 0.5
s 0.5
p 0.5
d 0.5
p 0.5
s 0.5
a 0.5
p 0.5
a 0.5
p 0.5
g 0.5
n 0.5
b 0.5
d 0.5
p 0.5
s 1
v 0.5
m 5.5
p 20.5
