# 曲名：左手指月
# 推荐节拍：650 ms/拍
# 身份：萨顶顶《香蜜沉沉烬如霜》主题曲；Bilibili 完整版公开音频。
# 制谱说明：完整公开音频经 Basic Pitch 转 MIDI，再做单旋律聚类与21键自然音阶映射；候选需游戏内试听复核。
p 0.5
c 0.5
p 0.5
c 1
d 0.5
p 0.5
c 1
d 1.5
p 0.5
c 0.5
p 1
c 1.5
d 0.5
g 0.5
j 0.5
d 0.5
g 0.5
d 0.5
n 0.5
h 0.5
d 0.5
h 0.5
d 0.5
h 0.5
p 1
c 2.5
p 1
c 0.5
d 0.5
p 2
c 1.5
g 0.5
c 0.5
g 0.5
c 2.5
n 0.5
a 0.5
c 1
p 1
c 0.5
p 0.5
c 1.5
g 1
c 0.5
g 1
p 2.5
c 0.5
p 0.5
n 0.5
m 0.5
p 0.5
s 0.5
d 0.5
p 0.5
d 1
s 0.5
m 0.5
p 0.5
m 0.5
p 3.5
n 0.5
m 0.5
p 0.5
a 0.5
s 0.5
d 0.5
p 0.5
s 0.5
d 0.5
g 1.5
d 3
p 0.5
g 0.5
h 0.5
a 0.5
c 0.5
h 0.5
a 0.5
d 0.5
a 0.5
d 0.5
j 0.5
a 0.5
d 0.5
f 0.5
m 0.5
f 0.5
p 0.5
c 0.5
m 1
d 0.5
g 0.5
h 0.5
a 0.5
p 0.5
d 0.5
h 0.5
a 0.5
d 0.5
a 0.5
g 0.5
h 0.5
q 0.5
d 0.5
j 0.5
m 1
p 0.5
j 1
p 1
d 0.5
c 0.5
h 0.5
j 0.5
p 0.5
w 0.5
e 1
p 0.5
e 0.5
w 0.5
j 0.5
w 0.5
p 0.5
b 0.5
g 0.5
p 1
w 0.5
p 0.5
h 1
p 0.5
j 1
w 0.5
h 1
w 0.5
e 0.5
p 0.5
r 1
d 0.5
e 0.5
p 1
j 0.5
e 0.5
t 1
y 0.5
q 1
y 0.5
h 0.5
c 0.5
y 1
d 1
t 0.5
p 0.5
r 1
b 0.5
p 0.5
m 0.5
d 0.5
m 0.5
e 0.5
m 0.5
t 0.5
m 0.5
t 0.5
y 0.5
d 0.5
a 0.5
c 0.5
a 0.5
d 0.5
a 0.5
y 0.5
d 0.5
t 0.5
y 0.5
d 0.5
u 0.5
m 0.5
u 0.5
p 1
n 0.5
m 0.5
p 1
s 0.5
d 0.5
s 0.5
d 1
s 0.5
a 1
m 3
p 1
n 0.5
m 0.5
a 0.5
e 0.5
s 0.5
d 0.5
e 0.5
d 0.5
p 0.5
g 0.5
f 0.5
d 2.5
v 0.5
d 0.5
g 1
h 0.5
a 0.5
h 0.5
g 0.5
p 0.5
e 0.5
m 0.5
h 0.5
j 0.5
h 0.5
d 0.5
g 0.5
f 0.5
g 1.5
d 1
p 0.5
g 0.5
h 0.5
p 1
d 0.5
h 0.5
d 0.5
h 0.5
a 0.5
h 0.5
q 1.5
d 0.5
w 0.5
j 0.5
r 1.5
m 0.5
r 0.5
y 1
p 0.5
u 1
m 1
d 1.5
p 0.5
d 0.5
f 0.5
d 0.5
q 0.5
d 0.5
a 0.5
d 2
c 0.5
a 0.5
d 0.5
w 0.5
p 0.5
a 1
d 0.5
p 0.5
a 0.5
d 0.5
m 0.5
p 1
s 0.5
m 0.5
p 1
b 0.5
p 1
m 0.5
p 1
m 0.5
d 2
s 0.5
p 1
s 0.5
p 0.5
s 0.5
p 1
s 1
p 0.5
n 0.5
m 0.5
a 1
s 0.5
d 0.5
p 0.5
d 1
g 0.5
p 0.5
f 0.5
m 1.5
p 0.5
m 0.5
d 1
g 1
h 2
p 0.5
j 0.5
h 0.5
j 0.5
h 0.5
d 0.5
g 2
p 0.5
g 0.5
d 1
g 1
p 1
d 1
h 1
d 0.5
h 0.5
q 0.5
p 0.5
j 0.5
p 0.5
u 0.5
b 0.5
p 0.5
j 0.5
p 2
d 0.5
p 0.5
j 0.5
p 0.5
w 0.5
e 0.5
c 0.5
e 0.5
p 2.5
j 1.5
p 0.5
b 0.5
p 2.5
q 0.5
w 1
p 0.5
w 0.5
t 0.5
p 0.5
s 0.5
m 0.5
p 1.5
r 0.5
p 1
e 0.5
t 0.5
p 0.5
y 2
p 1
j 0.5
y 0.5
u 0.5
y 0.5
t 0.5
p 0.5
c 0.5
t 0.5
p 1
d 0.5
e 0.5
t 1
p 0.5
y 2
p 0.5
h 0.5
a 0.5
d 0.5
h 0.5
u 2.5
d 0.5
j 0.5
u 0.5
m 0.5
p 1.5
u 3
p 1
c 1
p 1
j 3
c 0.5
p 4
