# 曲名：无羁
# 推荐节拍：750 ms/拍
# 身份：肖战/王一博《陈情令》主题曲；完整公开 Bilibili 音频。
# 制谱说明：完整公开音频经 Basic Pitch 转 MIDI，再做单旋律聚类与21键自然音阶映射；候选需游戏内试听复核。
p 9.5
w 0.5
p 9.5
f 0.5
p 3.5
a 0.5
p 0.5
a 0.5
p 3.5
c 0.5
p 0.5
s 0.5
p 2
v 0.5
p 7
x 0.5
p 0.5
n 0.5
s 0.5
p 1
a 0.5
p 1
s 0.5
n 0.5
s 0.5
f 0.5
p 1
s 3
b 0.5
d 0.5
p 1
v 0.5
p 0.5
x 0.5
c 1
z 1
p 1
a 0.5
n 1
x 0.5
c 0.5
d 0.5
b 0.5
d 0.5
z 1
x 1.5
p 1.5
b 0.5
n 0.5
p 1
v 0.5
x 1
c 0.5
p 0.5
x 0.5
z 1
p 0.5
z 1
x 0.5
n 0.5
x 0.5
v 1
c 0.5
v 0.5
c 1.5
a 0.5
v 0.5
p 0.5
b 1
p 0.5
b 0.5
v 0.5
p 0.5
v 0.5
x 0.5
p 0.5
a 0.5
s 0.5
a 1.5
p 0.5
v 0.5
b 0.5
n 1
p 0.5
b 1
n 1.5
p 0.5
b 0.5
n 1
a 0.5
v 0.5
s 0.5
p 0.5
c 1
p 0.5
b 0.5
t 0.5
s 0.5
p 1
a 0.5
n 0.5
v 0.5
p 0.5
b 0.5
a 0.5
b 0.5
n 0.5
a 0.5
p 0.5
s 0.5
w 1
b 0.5
n 0.5
p 1
f 0.5
p 1
s 0.5
p 0.5
f 0.5
p 1
b 0.5
a 0.5
p 0.5
n 0.5
z 0.5
p 0.5
x 1
p 0.5
c 0.5
p 0.5
s 0.5
p 0.5
n 1
p 1
n 0.5
p 0.5
a 0.5
f 0.5
p 0.5
d 0.5
f 0.5
g 0.5
a 0.5
f 0.5
d 0.5
b 0.5
n 0.5
s 0.5
p 1
s 0.5
a 0.5
s 1
p 0.5
d 0.5
b 0.5
a 1
s 1
x 0.5
p 0.5
s 1
a 0.5
s 0.5
f 1
h 0.5
p 0.5
h 1
s 0.5
p 2
s 0.5
g 0.5
s 0.5
h 0.5
s 0.5
q 0.5
s 0.5
h 0.5
s 0.5
a 0.5
p 1.5
a 1
p 1.5
v 0.5
p 0.5
s 0.5
n 0.5
s 0.5
p 0.5
a 1
p 2.5
h 0.5
x 0.5
p 0.5
x 0.5
p 0.5
h 0.5
p 5.5
d 0.5
p 0.5
m 0.5
p 0.5
c 0.5
m 0.5
j 0.5
d 0.5
b 0.5
p 1
n 0.5
p 0.5
a 0.5
p 2.5
b 0.5
p 6.5
h 1
p 5
n 1
p 1
v 0.5
p 0.5
x 0.5
p 0.5
c 0.5
z 1.5
p 1.5
x 1
c 1
b 0.5
p 0.5
z 1
x 2
p 1
b 0.5
n 0.5
p 0.5
v 1
x 1.5
c 0.5
x 0.5
z 0.5
p 1
z 0.5
p 1.5
x 0.5
b 0.5
c 2
x 0.5
p 0.5
c 0.5
v 0.5
b 1
n 0.5
p 0.5
b 0.5
v 0.5
c 0.5
v 0.5
x 0.5
c 0.5
a 0.5
s 0.5
a 1.5
p 0.5
b 0.5
p 0.5
x 0.5
a 0.5
p 0.5
b 1
n 0.5
p 0.5
v 0.5
n 0.5
b 0.5
n 1
a 0.5
v 1
a 0.5
c 0.5
p 0.5
b 0.5
p 0.5
x 0.5
s 0.5
v 0.5
z 0.5
a 0.5
n 0.5
v 0.5
p 0.5
b 0.5
n 0.5
b 0.5
n 0.5
a 0.5
s 0.5
n 0.5
s 0.5
p 0.5
b 0.5
n 0.5
a 0.5
p 0.5
f 0.5
d 0.5
p 0.5
s 0.5
a 0.5
p 0.5
n 0.5
p 1.5
n 0.5
p 1
z 0.5
x 0.5
c 0.5
v 0.5
x 0.5
c 0.5
p 0.5
a 0.5
n 0.5
z 0.5
p 0.5
n 1
p 0.5
a 0.5
f 0.5
p 1
s 0.5
a 1
p 1.5
d 0.5
s 1
p 1
s 0.5
a 0.5
s 0.5
p 0.5
d 0.5
a 1.5
s 0.5
w 0.5
p 0.5
s 0.5
b 0.5
n 0.5
p 0.5
f 0.5
d 0.5
b 0.5
s 0.5
a 0.5
p 1.5
b 0.5
p 0.5
n 0.5
p 1.5
x 0.5
c 0.5
v 0.5
x 0.5
c 0.5
p 0.5
a 0.5
n 1.5
p 1
n 0.5
a 0.5
f 0.5
p 0.5
b 0.5
x 0.5
a 1
p 0.5
n 0.5
p 1
d 0.5
x 0.5
p 1
s 0.5
a 0.5
p 0.5
s 0.5
p 0.5
a 1.5
p 0.5
s 2
w 0.5
p 1.5
h 0.5
s 0.5
a 0.5
s 1.5
d 0.5
p 1.5
a 2
p 1
a 0.5
p 0.5
s 1
h 0.5
x 0.5
n 0.5
s 2.5
w 0.5
b 0.5
s 1
p 0.5
x 0.5
s 0.5
p 13.5
