# 曲名：达拉崩吧
# 推荐节拍：511 ms/拍
# 身份：ilem 作词作曲；洛天依、言和原唱；Bilibili 原作者完整视频。
# 制谱说明：完整公开音频经 Basic Pitch 转 MIDI，再做单旋律聚类与21键自然音阶映射；候选需游戏内试听复核。
p 4.5
g 0.5
x 0.5
p 0.5
a 0.5
p 0.5
x 0.5
a 0.5
p 0.5
g 0.5
x 0.5
p 0.5
s 0.5
d 0.5
p 0.5
g 0.5
p 0.5
g 0.5
x 0.5
p 0.5
a 0.5
x 0.5
p 0.5
a 0.5
p 0.5
g 0.5
x 0.5
p 0.5
c 0.5
d 0.5
p 0.5
g 1
p 0.5
s 1
p 0.5
f 0.5
p 0.5
h 0.5
p 1
s 0.5
p 0.5
d 0.5
p 0.5
f 1
p 0.5
h 0.5
s 0.5
d 0.5
p 1
h 0.5
p 3.5
h 0.5
p 1
s 0.5
p 1
f 0.5
p 0.5
h 0.5
p 1
s 1
p 5
g 0.5
p 1
g 0.5
p 0.5
d 0.5
p 1
g 0.5
h 1
p 1
s 0.5
d 0.5
p 1
h 0.5
p 4.5
s 0.5
p 0.5
d 0.5
f 0.5
g 0.5
h 0.5
p 0.5
g 0.5
p 1
d 0.5
q 0.5
h 0.5
p 1.5
s 0.5
d 0.5
p 3
s 0.5
p 1.5
d 0.5
p 1.5
s 0.5
x 1
p 4.5
h 0.5
p 1
g 0.5
p 0.5
g 0.5
h 0.5
f 0.5
x 0.5
p 1.5
f 1
p 0.5
q 0.5
p 2.5
h 0.5
f 0.5
x 0.5
p 2
f 1
p 0.5
z 0.5
w 0.5
p 1
x 0.5
p 1.5
q 0.5
p 2
f 0.5
p 0.5
q 1
w 0.5
p 1
h 0.5
p 1
f 0.5
p 2.5
w 0.5
p 1
f 0.5
g 0.5
x 0.5
f 0.5
g 0.5
h 0.5
p 1
w 0.5
h 0.5
p 0.5
g 0.5
h 0.5
g 0.5
p 0.5
g 0.5
p 1
x 0.5
p 0.5
x 1
p 0.5
g 0.5
w 0.5
p 0.5
g 0.5
p 0.5
g 0.5
p 1.5
g 0.5
p 0.5
x 0.5
w 1
p 1
f 0.5
p 0.5
f 1
g 0.5
p 0.5
z 0.5
p 0.5
h 0.5
x 1
p 1
h 0.5
p 1.5
h 0.5
p 1
f 1.5
z 0.5
w 0.5
p 1
s 0.5
d 0.5
x 0.5
p 0.5
h 0.5
p 1
s 1
p 0.5
f 0.5
p 0.5
f 0.5
p 1
s 0.5
p 2
h 0.5
p 3
g 0.5
p 1.5
x 0.5
d 0.5
p 0.5
f 0.5
p 2
s 0.5
p 3.5
x 0.5
p 1.5
h 0.5
p 0.5
g 0.5
p 1
d 1
p 0.5
s 0.5
p 1
s 1
p 0.5
g 0.5
p 0.5
h 0.5
p 0.5
h 0.5
p 4
s 0.5
p 2.5
g 0.5
p 1
d 0.5
q 0.5
g 0.5
r 0.5
p 3
g 0.5
h 0.5
p 5.5
x 0.5
p 1.5
h 0.5
p 0.5
q 0.5
g 0.5
p 0.5
d 0.5
e 0.5
g 0.5
p 1.5
h 0.5
p 1
f 0.5
p 0.5
d 0.5
h 0.5
p 2.5
z 0.5
p 2
g 0.5
x 0.5
p 1.5
h 0.5
p 0.5
h 0.5
r 0.5
p 1
q 0.5
p 1
g 0.5
p 0.5
g 0.5
p 1.5
h 0.5
p 1
f 0.5
h 0.5
q 0.5
p 2.5
g 0.5
p 0.5
f 0.5
p 1
h 0.5
p 1
w 1
f 0.5
h 0.5
f 0.5
g 0.5
x 0.5
p 0.5
g 0.5
p 1
g 0.5
p 1
g 0.5
p 0.5
g 0.5
n 0.5
d 0.5
f 0.5
p 1.5
g 0.5
p 0.5
x 0.5
q 0.5
f 2
g 0.5
p 1
z 0.5
f 0.5
p 0.5
x 0.5
p 0.5
g 0.5
p 0.5
h 0.5
g 0.5
p 2
g 0.5
n 0.5
p 3
g 0.5
x 0.5
p 0.5
q 0.5
f 2
g 1.5
z 0.5
p 0.5
g 0.5
p 1.5
h 0.5
f 0.5
p 2
f 0.5
p 0.5
q 1
p 3
x 0.5
p 1
h 0.5
p 1
f 0.5
p 0.5
g 0.5
p 2.5
g 0.5
p 3
h 0.5
f 0.5
p 0.5
h 0.5
q 0.5
p 2
x 0.5
v 0.5
p 2.5
r 1
p 0.5
g 0.5
w 1
p 0.5
w 0.5
q 0.5
w 0.5
h 0.5
w 0.5
p 1
h 0.5
w 0.5
q 1
p 3
q 0.5
p 1
x 0.5
p 0.5
w 0.5
p 1.5
q 0.5
p 0.5
q 0.5
p 1
q 0.5
w 0.5
q 0.5
p 1
h 0.5
p 2
g 0.5
p 0.5
q 1
w 0.5
p 0.5
w 0.5
h 0.5
w 0.5
g 0.5
w 0.5
q 0.5
h 0.5
q 0.5
p 0.5
w 0.5
p 0.5
h 0.5
q 0.5
p 1
g 0.5
p 1
x 0.5
p 2.5
f 1
p 1
q 0.5
p 1
x 0.5
p 0.5
h 0.5
p 1.5
h 0.5
p 1
f 0.5
p 0.5
g 0.5
p 0.5
h 0.5
x 0.5
q 0.5
w 0.5
q 0.5
p 1.5
h 0.5
p 2.5
q 1
p 1
g 0.5
p 1.5
f 0.5
h 0.5
p 2.5
e 0.5
h 0.5
p 0.5
w 0.5
p 0.5
w 1.5
p 0.5
w 0.5
q 0.5
r 0.5
p 0.5
w 0.5
p 0.5
q 0.5
p 0.5
w 0.5
p 0.5
w 0.5
p 0.5
w 0.5
q 0.5
w 0.5
p 0.5
w 0.5
q 1.5
w 0.5
q 1
p 1
w 2
q 0.5
w 1
p 0.5
w 0.5
p 0.5
w 0.5
q 1.5
w 0.5
p 0.5
w 0.5
p 0.5
w 0.5
q 0.5
w 0.5
p 0.5
w 1.5
p 0.5
q 0.5
w 1.5
p 1
g 0.5
p 1
g 0.5
d 0.5
p 0.5
g 0.5
p 8
