# 曲名：勾指起誓
# 推荐节拍：500 ms/拍
# 来源：https://www.bilibili.com/video/BV1Jb411U7u2/
# 制谱说明：完整B站音频经 Basic Pitch 转 MIDI，再做单旋律聚类与21键自然音阶映射；候选需游戏内试听复核。
p 0.5
c 0.5
a 0.5
h 0.5
t 0.5
f 0.5
v 0.5
z 0.5
f 0.5
q 0.5
t 1
p 0.5
x 0.5
b 0.5
q 0.5
t 0.5
p 0.5
z 0.5
b 0.5
d 0.5
q 0.5
a 1
c 0.5
a 0.5
h 0.5
a 0.5
v 1
z 1.5
p 0.5
a 0.5
x 0.5
b 0.5
a 0.5
x 0.5
j 0.5
m 0.5
g 0.5
b 0.5
s 0.5
b 0.5
x 0.5
m 0.5
b 0.5
a 0.5
c 0.5
a 0.5
h 0.5
a 0.5
v 0.5
z 0.5
f 0.5
q 0.5
t 0.5
x 0.5
b 0.5
q 0.5
t 1
a 0.5
b 0.5
d 0.5
q 0.5
d 0.5
a 0.5
z 0.5
c 0.5
h 0.5
a 0.5
q 0.5
n 0.5
z 0.5
v 0.5
z 0.5
x 0.5
a 0.5
x 0.5
b 0.5
g 0.5
e 0.5
w 0.5
q 0.5
e 0.5
q 0.5
g 0.5
b 0.5
s 0.5
a 0.5
s 0.5
c 0.5
a 1.5
d 0.5
a 2
s 0.5
p 2
a 0.5
d 0.5
p 0.5
b 1
a 1
s 0.5
a 1.5
s 1
p 0.5
a 0.5
p 0.5
a 1
s 1
p 0.5
s 0.5
a 1.5
p 0.5
b 0.5
p 0.5
a 0.5
p 0.5
a 1.5
s 0.5
p 1
a 1.5
p 0.5
a 0.5
p 0.5
b 0.5
p 1
a 0.5
d 0.5
p 1
b 0.5
a 1
s 0.5
a 1.5
p 0.5
s 0.5
p 0.5
a 1.5
p 0.5
s 0.5
w 0.5
s 1
a 2
p 0.5
a 1
g 0.5
p 0.5
a 1
p 0.5
g 0.5
s 0.5
a 2
p 0.5
g 0.5
a 1
p 1
d 0.5
p 0.5
b 0.5
a 0.5
p 0.5
g 1
a 2
p 0.5
a 2
q 0.5
p 0.5
a 1.5
p 1
a 1
p 1
a 0.5
g 0.5
p 0.5
a 1.5
g 0.5
p 1
a 0.5
p 2
a 0.5
p 0.5
a 0.5
p 0.5
d 1
p 1.5
a 0.5
p 0.5
a 2
g 0.5
s 0.5
a 1.5
q 0.5
p 1
a 1.5
p 0.5
a 1.5
p 0.5
q 0.5
p 0.5
q 0.5
a 0.5
p 0.5
a 0.5
w 0.5
v 0.5
p 0.5
t 1.5
w 0.5
q 0.5
w 0.5
q 1
w 0.5
q 0.5
d 0.5
g 0.5
a 1
g 0.5
q 0.5
p 0.5
w 0.5
p 0.5
w 0.5
q 0.5
a 1.5
j 0.5
g 0.5
p 1
e 0.5
p 0.5
w 0.5
s 0.5
a 0.5
s 0.5
q 0.5
e 0.5
q 1
h 0.5
