# 曲名：权御天下
# 推荐节拍：500 ms/拍
# 来源：https://www.bilibili.com/video/BV1fx411A7hz/
# 制谱说明：完整B站音频经 Basic Pitch 转 MIDI，再做单旋律聚类与21键自然音阶映射；候选需游戏内试听复核。
p 9
s 0.5
p 0.5
h 0.5
t 0.5
f 0.5
v 0.5
p 0.5
h 0.5
t 0.5
f 0.5
b 0.5
p 0.5
b 0.5
p 1
n 0.5
p 0.5
n 2
p 1
t 0.5
f 0.5
n 0.5
v 0.5
p 0.5
h 0.5
f 0.5
p 0.5
b 0.5
a 0.5
h 0.5
p 0.5
b 0.5
p 1
n 0.5
p 1
s 0.5
p 1
n 1
s 0.5
p 0.5
y 0.5
v 0.5
p 0.5
v 0.5
b 0.5
p 1.5
b 0.5
p 1
n 1
p 0.5
s 0.5
p 0.5
n 1.5
p 3
b 1
p 1
b 0.5
p 3.5
g 1
p 1
h 0.5
s 0.5
p 1
d 0.5
p 0.5
f 1
p 1
f 0.5
g 0.5
p 2
h 0.5
p 3.5
f 0.5
p 1.5
f 0.5
p 0.5
f 0.5
p 0.5
s 0.5
a 0.5
p 2
g 0.5
p 0.5
f 0.5
p 1
a 0.5
p 0.5
f 0.5
p 0.5
s 0.5
f 0.5
p 2
g 0.5
p 2.5
g 0.5
p 1.5
a 0.5
p 1
f 0.5
a 0.5
f 1
p 1
f 0.5
s 0.5
p 1
s 0.5
p 1
n 1.5
s 0.5
v 0.5
p 3
b 1
p 0.5
n 2.5
s 0.5
p 0.5
n 1
w 0.5
v 0.5
p 1
v 1
p 4
n 1.5
p 0.5
h 0.5
g 0.5
p 0.5
g 0.5
p 3
s 0.5
f 0.5
p 1.5
f 0.5
g 0.5
p 2.5
g 0.5
p 1.5
s 0.5
p 1
f 0.5
p 0.5
f 0.5
p 1.5
f 0.5
p 1
a 0.5
p 1.5
g 1
p 0.5
g 0.5
p 1.5
f 0.5
p 0.5
a 0.5
f 0.5
p 2
g 1
p 2
g 1
p 1.5
s 0.5
a 0.5
p 1.5
f 1
p 1
f 0.5
p 0.5
a 0.5
p 1.5
f 0.5
d 0.5
s 0.5
p 0.5
a 1.5
p 0.5
a 3
p 0.5
a 0.5
s 0.5
p 1.5
g 0.5
p 0.5
g 1
f 1
p 1.5
f 0.5
p 1
g 0.5
p 0.5
f 0.5
p 3.5
f 0.5
p 0.5
f 1
p 1.5
f 0.5
p 0.5
g 0.5
f 0.5
g 0.5
p 0.5
f 0.5
p 1
h 0.5
p 1
g 0.5
f 0.5
p 1
f 1
p 2
g 1
p 0.5
g 0.5
p 4
f 0.5
p 1
f 0.5
p 2.5
g 0.5
p 0.5
f 0.5
g 0.5
f 0.5
p 3.5
f 0.5
p 2.5
w 0.5
p 1.5
n 2
s 0.5
p 0.5
y 0.5
v 0.5
p 0.5
b 0.5
p 1.5
b 0.5
p 1
n 1.5
s 0.5
p 0.5
n 1.5
s 0.5
p 0.5
y 0.5
p 1.5
b 0.5
p 0.5
b 0.5
p 0.5
b 0.5
p 2
n 0.5
p 0.5
h 0.5
p 0.5
g 0.5
f 0.5
p 0.5
h 0.5
p 0.5
a 0.5
p 1.5
s 0.5
f 0.5
s 1
f 0.5
g 1
p 1.5
h 0.5
g 1
p 1
h 0.5
s 0.5
p 0.5
f 0.5
p 0.5
s 0.5
p 0.5
f 0.5
p 1
f 0.5
s 0.5
p 0.5
s 0.5
p 2.5
f 0.5
h 0.5
p 0.5
s 0.5
p 0.5
f 0.5
a 0.5
p 0.5
f 1
p 1
f 0.5
g 1
p 1.5
h 0.5
g 0.5
p 1.5
s 0.5
p 1
f 0.5
a 0.5
p 0.5
f 0.5
p 0.5
s 0.5
f 0.5
p 1
a 0.5
p 2.5
f 0.5
p 0.5
h 0.5
p 1
s 0.5
f 0.5
p 0.5
