# 曲名：冠世一战
# 推荐节拍：541 ms/拍
# 身份：2019拜年祭单品；Bilibili完整公开音频。
# 制谱说明：完整公开音频经 Basic Pitch 转 MIDI，再做单旋律聚类与21键自然音阶映射；候选需游戏内试听复核。
p 4
d 0.5
h 0.5
w 0.5
e 0.5
w 0.5
h 1.5
w 0.5
t 0.5
j 1
v 0.5
s 0.5
q 0.5
g 0.5
q 0.5
j 0.5
a 0.5
j 0.5
h 0.5
d 0.5
w 1
h 0.5
g 0.5
j 0.5
p 0.5
j 0.5
p 0.5
w 0.5
t 0.5
e 0.5
j 0.5
e 2
p 1
d 0.5
h 0.5
p 0.5
h 1.5
p 0.5
h 0.5
j 0.5
p 0.5
w 0.5
j 0.5
p 0.5
q 0.5
g 0.5
w 0.5
j 0.5
h 0.5
q 0.5
h 1
q 0.5
v 1
h 0.5
v 0.5
p 1
j 0.5
p 0.5
w 0.5
e 0.5
p 0.5
y 0.5
p 3.5
b 0.5
p 2
n 1
p 3.5
h 0.5
p 6
s 0.5
d 0.5
b 0.5
s 0.5
m 0.5
p 0.5
v 0.5
p 0.5
b 1.5
p 1
u 1
p 0.5
u 0.5
p 0.5
b 0.5
p 1
q 0.5
b 0.5
p 0.5
v 0.5
d 1
p 0.5
b 1
p 1
d 0.5
b 0.5
p 0.5
n 1
p 0.5
n 0.5
p 1
g 0.5
p 0.5
m 0.5
y 1
a 0.5
p 0.5
b 2
p 0.5
u 1
n 0.5
u 0.5
t 0.5
p 1
e 0.5
q 0.5
b 0.5
n 0.5
v 0.5
a 0.5
d 0.5
s 0.5
b 0.5
j 0.5
p 0.5
b 0.5
p 1
n 0.5
p 3
w 0.5
p 0.5
b 0.5
h 0.5
p 0.5
y 0.5
s 1
j 0.5
d 0.5
g 0.5
d 0.5
s 0.5
m 1
d 1
p 0.5
d 1
q 0.5
d 0.5
p 0.5
s 0.5
p 0.5
s 0.5
d 0.5
p 0.5
g 0.5
a 0.5
d 0.5
g 0.5
s 0.5
p 0.5
s 0.5
d 2.5
w 0.5
t 0.5
p 1
d 1
p 1
b 2
a 0.5
m 0.5
p 2.5
w 0.5
p 1
g 0.5
n 0.5
s 0.5
p 0.5
d 0.5
p 0.5
m 0.5
d 1
p 0.5
b 0.5
g 0.5
w 0.5
g 0.5
n 0.5
p 1
n 0.5
p 0.5
b 0.5
n 0.5
g 0.5
h 1
p 1.5
v 0.5
d 0.5
h 0.5
p 1.5
s 0.5
p 0.5
d 0.5
p 0.5
n 0.5
p 1
s 0.5
p 0.5
w 0.5
q 0.5
p 0.5
a 0.5
b 0.5
p 0.5
d 0.5
p 2.5
h 0.5
p 2
h 0.5
p 0.5
e 0.5
w 0.5
h 0.5
v 0.5
y 0.5
b 0.5
p 1.5
w 0.5
p 0.5
g 0.5
p 1
j 0.5
n 0.5
p 1.5
n 0.5
p 1
n 0.5
q 0.5
g 0.5
q 0.5
p 0.5
w 0.5
b 0.5
e 1
p 0.5
w 0.5
p 0.5
b 0.5
e 1
y 0.5
p 0.5
v 0.5
p 0.5
h 0.5
p 1
e 0.5
w 0.5
b 1
p 1.5
g 0.5
p 0.5
j 0.5
p 0.5
q 0.5
p 1
q 0.5
w 0.5
e 0.5
d 0.5
p 1.5
q 0.5
p 0.5
