# 曲名：神的随波逐流
# 推荐节拍：447 ms/拍
# 身份：神のまにまに；初音ミク/鏡音リン/GUMI；Bilibili完整公开音频。
# 制谱说明：完整公开音频经 Basic Pitch 转 MIDI，再做单旋律聚类与21键自然音阶映射；候选需游戏内试听复核。
p 14.5
t 0.5
p 0.5
y 1
u 1
a 0.5
p 0.5
a 1
p 0.5
b 1.5
p 1
a 0.5
p 0.5
n 0.5
d 1
n 0.5
a 0.5
p 0.5
a 1
b 1.5
d 0.5
g 0.5
d 0.5
b 0.5
a 0.5
p 0.5
n 0.5
a 0.5
b 0.5
p 1
a 1
p 0.5
b 1
p 0.5
s 0.5
p 0.5
m 1
d 0.5
p 1
n 0.5
p 1
a 1
b 0.5
p 0.5
b 0.5
d 1
b 0.5
a 0.5
p 2
b 1
p 0.5
b 0.5
p 1
d 0.5
h 0.5
p 0.5
q 0.5
p 0.5
j 0.5
p 0.5
g 0.5
p 1.5
a 0.5
p 1
d 1
p 0.5
a 1
f 0.5
p 0.5
s 0.5
p 0.5
s 0.5
p 0.5
s 0.5
d 0.5
g 0.5
h 0.5
p 1
s 0.5
g 0.5
h 1
q 2
w 0.5
p 1
w 0.5
p 1
q 0.5
p 1
h 0.5
p 0.5
g 1
h 0.5
p 0.5
g 1
p 0.5
j 0.5
p 1
h 0.5
q 0.5
b 0.5
n 0.5
p 0.5
h 0.5
p 0.5
q 0.5
p 1.5
g 0.5
p 0.5
m 0.5
p 0.5
a 0.5
p 0.5
d 0.5
f 0.5
a 1
p 0.5
f 0.5
a 0.5
p 0.5
a 0.5
p 1.5
s 0.5
p 0.5
d 0.5
g 0.5
s 0.5
p 0.5
s 0.5
p 2
q 0.5
p 1
w 0.5
p 0.5
w 1.5
p 0.5
q 0.5
p 1
h 0.5
j 1.5
p 0.5
n 0.5
w 0.5
q 0.5
a 0.5
p 0.5
q 0.5
p 2.5
q 0.5
s 0.5
q 1.5
p 0.5
q 0.5
w 0.5
e 1
p 1.5
w 0.5
p 0.5
q 0.5
p 1
e 1
a 1
p 3.5
b 1
p 1
h 0.5
p 1
s 0.5
p 0.5
g 0.5
p 1
h 0.5
n 0.5
j 0.5
a 0.5
n 0.5
p 1
n 0.5
p 0.5
b 0.5
w 0.5
q 1.5
g 0.5
p 0.5
f 0.5
g 0.5
q 2
w 0.5
q 0.5
b 3.5
p 1.5
f 0.5
g 1
h 1
q 0.5
p 0.5
w 0.5
p 0.5
q 0.5
p 0.5
e 0.5
b 1
w 1
p 0.5
q 0.5
p 0.5
e 1
g 0.5
p 0.5
w 0.5
a 1
b 0.5
p 0.5
b 0.5
e 0.5
p 0.5
d 0.5
b 0.5
a 0.5
p 0.5
e 1
g 0.5
a 0.5
p 0.5
a 1
b 2
w 1
q 1
w 0.5
a 0.5
e 0.5
p 0.5
w 1
h 0.5
p 0.5
b 1.5
e 1.5
a 1
p 0.5
g 0.5
p 0.5
