# 曲名：LOSER
# 推荐节拍：505 ms/拍
# 身份：米津玄師《LOSER》；Bilibili完整公开音频。
# 制谱说明：完整公开音频经 Basic Pitch 转 MIDI，再做单旋律聚类与21键自然音阶映射；候选需游戏内试听复核。
p 3.5
n 1.5
p 0.5
g 0.5
p 0.5
g 0.5
p 0.5
r 0.5
g 0.5
r 3
s 0.5
r 1.5
f 1
s 0.5
p 0.5
f 2
p 0.5
f 0.5
p 0.5
d 0.5
r 0.5
s 0.5
p 3
h 0.5
p 0.5
h 0.5
p 1.5
g 0.5
p 1.5
h 0.5
p 3.5
h 0.5
p 0.5
s 0.5
p 0.5
g 0.5
p 0.5
q 0.5
p 6.5
g 0.5
q 0.5
p 5.5
s 0.5
p 0.5
g 0.5
p 1.5
e 0.5
p 2.5
h 0.5
p 0.5
h 0.5
p 1
f 0.5
g 1
p 1
h 0.5
p 2.5
f 0.5
p 0.5
f 0.5
p 4
a 0.5
p 1.5
f 0.5
p 1.5
s 0.5
p 1.5
f 0.5
g 0.5
h 0.5
g 0.5
p 8.5
f 0.5
p 0.5
f 1
p 3
f 0.5
g 0.5
p 1
h 0.5
p 1
f 0.5
p 2
g 0.5
f 0.5
p 1
s 0.5
p 3.5
f 0.5
p 0.5
f 0.5
d 0.5
f 0.5
p 6.5
s 0.5
p 0.5
f 0.5
p 2
h 0.5
p 0.5
h 0.5
p 1.5
f 0.5
p 0.5
f 0.5
p 5.5
a 0.5
j 0.5
p 1
h 0.5
p 2.5
w 0.5
p 0.5
h 0.5
p 0.5
h 0.5
p 2
s 0.5
p 2
s 0.5
p 1.5
g 0.5
f 0.5
p 1
s 0.5
p 1
q 0.5
h 0.5
j 0.5
p 1
h 0.5
p 0.5
w 0.5
p 2.5
q 0.5
w 0.5
p 1
h 0.5
w 0.5
p 2.5
f 0.5
p 3.5
q 0.5
p 15
g 0.5
p 4
a 0.5
p 3.5
s 0.5
p 2
g 0.5
h 0.5
a 0.5
p 8
a 0.5
p 3
d 0.5
a 0.5
p 2
g 0.5
h 0.5
p 3
a 0.5
s 1
a 0.5
s 0.5
g 0.5
p 0.5
s 0.5
p 0.5
f 1
g 0.5
s 0.5
a 1
p 1
s 0.5
a 1
p 1
s 1
p 0.5
f 0.5
g 1
h 1
p 1.5
h 0.5
p 0.5
g 0.5
p 0.5
h 0.5
p 1
g 0.5
h 1
p 0.5
g 0.5
f 0.5
p 3
f 0.5
p 1
g 1
h 1
p 3
g 0.5
p 7
h 0.5
p 2.5
a 0.5
p 0.5
a 0.5
d 0.5
p 4.5
s 0.5
p 1
s 0.5
p 1
s 0.5
p 9.5
r 0.5
p 0.5
s 0.5
g 0.5
p 2
s 0.5
r 0.5
p 2.5
f 0.5
r 0.5
p 0.5
f 0.5
d 0.5
p 1
f 0.5
g 0.5
p 4
r 0.5
p 1
g 0.5
p 1
d 0.5
p 0.5
r 0.5
h 1
p 2
f 0.5
p 6
a 1
j 0.5
p 1.5
j 0.5
q 0.5
p 0.5
h 0.5
p 0.5
w 0.5
p 0.5
h 0.5
p 3
s 0.5
p 1.5
a 0.5
s 0.5
j 0.5
p 1
g 0.5
f 0.5
p 1
w 0.5
j 0.5
p 1
j 0.5
p 3
e 0.5
p 2.5
w 0.5
p 4.5
f 0.5
p 6.5
f 0.5
p 1
g 0.5
p 0.5
s 0.5
p 3
s 0.5
p 1.5
s 0.5
p 1
s 0.5
m 0.5
p 5
f 0.5
p 0.5
d 0.5
g 0.5
p 0.5
d 0.5
s 0.5
p 0.5
s 0.5
p 2.5
s 0.5
p 0.5
h 1
p 1
g 1
p 4.5
h 0.5
p 1
w 0.5
p 1.5
h 0.5
p 4
w 0.5
p 0.5
j 0.5
p 9.5
w 0.5
p 7
a 0.5
p 0.5
j 0.5
p 4
w 0.5
h 0.5
p 3
s 0.5
p 1
s 0.5
a 0.5
p 2
g 0.5
p 2
j 0.5
p 1.5
j 0.5
p 2
r 0.5
p 3
w 0.5
p 4.5
f 0.5
p 1
s 0.5
p 6.5
g 0.5
d 0.5
p 0.5
s 0.5
p 12.5
f 0.5
p 3
s 0.5
p 0.5
j 0.5
p 2
q 1
p 0.5
e 0.5
w 1
p 1.5
h 0.5
p 6.5
f 0.5
s 0.5
p 3
g 0.5
p 0.5
q 0.5
p 3
s 0.5
h 0.5
p 0.5
h 0.5
p 1
f 0.5
g 0.5
p 1
h 0.5
p 3.5
