# 曲名：撒野
# 推荐节拍：517 ms/拍
# 身份：奇然/沈谧仁官方主题曲；Bilibili完整公开音频。
# 制谱说明：完整公开音频经 Basic Pitch 转 MIDI，再做单旋律聚类与21键自然音阶映射；候选需游戏内试听复核。
p 6.5
a 0.5
p 0.5
f 0.5
g 0.5
p 0.5
g 0.5
a 1
p 5
a 0.5
f 0.5
g 0.5
p 1
a 2.5
p 3.5
a 0.5
p 1
n 0.5
m 3
b 0.5
a 0.5
s 0.5
a 3
p 0.5
s 0.5
d 0.5
p 2
d 1
p 1.5
b 0.5
p 0.5
a 0.5
p 5
a 1.5
b 0.5
a 0.5
p 1
a 1
p 3
m 0.5
b 1.5
p 1
b 0.5
n 0.5
p 0.5
b 0.5
p 2
u 0.5
p 0.5
a 1
p 0.5
a 1
p 1
m 0.5
p 0.5
a 0.5
p 0.5
a 0.5
p 0.5
a 0.5
p 0.5
s 0.5
p 0.5
a 1
g 0.5
a 2.5
p 3.5
a 0.5
m 1
a 1.5
b 0.5
a 0.5
p 1
a 1
p 0.5
m 2
p 0.5
a 2.5
b 1
p 1
b 1.5
p 1.5
a 1
b 0.5
m 1
b 1
p 0.5
a 1.5
f 0.5
g 0.5
p 0.5
a 1.5
p 1
f 0.5
g 3
p 2
b 0.5
d 0.5
p 0.5
d 0.5
f 0.5
s 1
p 2.5
b 0.5
p 1
b 0.5
p 0.5
a 0.5
p 0.5
q 0.5
h 0.5
j 0.5
g 1.5
a 1
p 0.5
a 1
g 1
b 1
s 0.5
d 2
p 0.5
b 0.5
a 0.5
m 0.5
p 0.5
m 1
p 0.5
a 0.5
m 1
b 0.5
p 0.5
q 0.5
h 0.5
j 0.5
g 2
p 0.5
q 0.5
p 0.5
h 0.5
j 0.5
g 2
b 0.5
q 0.5
h 0.5
j 1
h 0.5
j 0.5
h 0.5
g 2
p 1
d 0.5
s 0.5
p 1
q 0.5
h 0.5
j 0.5
g 1.5
p 1
a 1.5
p 0.5
b 0.5
a 1.5
d 0.5
p 0.5
s 0.5
d 1.5
g 1
t 0.5
p 0.5
q 0.5
w 0.5
b 1.5
a 0.5
p 0.5
q 0.5
p 0.5
j 0.5
p 0.5
q 0.5
p 0.5
j 0.5
g 1
p 0.5
g 1
p 1.5
s 0.5
a 4
p 0.5
m 0.5
g 0.5
m 0.5
b 1
p 0.5
s 1
p 1
a 0.5
p 1
a 0.5
m 0.5
p 1
a 0.5
p 0.5
a 0.5
p 1
b 0.5
p 0.5
b 1
s 2
b 0.5
p 3
n 1.5
s 0.5
d 0.5
a 0.5
p 0.5
a 0.5
d 0.5
a 1
d 1
a 1
p 0.5
d 0.5
a 0.5
d 0.5
s 0.5
f 0.5
d 0.5
a 1
d 3.5
p 0.5
d 1
s 0.5
p 1
d 1
a 0.5
p 0.5
n 0.5
d 0.5
s 0.5
d 1
a 2
d 0.5
s 0.5
f 0.5
p 0.5
d 0.5
a 0.5
b 0.5
d 1.5
p 1
g 1.5
p 0.5
a 0.5
p 2
n 0.5
p 1
a 0.5
p 0.5
a 0.5
p 0.5
m 0.5
a 0.5
p 0.5
a 0.5
p 1
a 0.5
p 0.5
b 0.5
v 0.5
b 1.5
n 0.5
b 1
p 2.5
b 0.5
p 1
b 0.5
p 0.5
n 0.5
p 1.5
m 0.5
a 0.5
p 0.5
a 0.5
s 0.5
a 0.5
p 0.5
a 0.5
s 0.5
a 1
p 0.5
g 0.5
a 1.5
g 0.5
p 1
a 0.5
p 2
b 0.5
p 1
a 0.5
p 1.5
a 1
p 0.5
b 0.5
a 0.5
p 0.5
m 0.5
a 0.5
p 0.5
a 0.5
p 0.5
s 0.5
a 1
p 0.5
a 0.5
b 0.5
p 1
n 0.5
v 0.5
b 0.5
p 0.5
b 0.5
p 5.5
a 1
p 1
g 0.5
a 2
p 1
g 3.5
p 2
d 0.5
p 0.5
d 0.5
p 1
s 1
a 0.5
p 1.5
n 0.5
b 0.5
p 2.5
a 0.5
h 0.5
j 0.5
p 0.5
g 1
p 0.5
a 2
p 0.5
b 0.5
n 0.5
b 0.5
p 0.5
b 0.5
p 1
d 0.5
p 0.5
d 0.5
p 0.5
m 0.5
p 0.5
m 2.5
p 1
n 0.5
p 0.5
q 0.5
p 0.5
a 0.5
g 0.5
p 1.5
a 0.5
q 0.5
a 0.5
j 0.5
p 0.5
g 1
p 1
q 0.5
p 1
q 0.5
p 0.5
h 0.5
j 0.5
h 0.5
g 0.5
p 0.5
d 0.5
g 0.5
f 1
s 0.5
p 1
q 1
a 0.5
p 1
g 0.5
p 0.5
a 1.5
p 0.5
a 0.5
p 0.5
a 0.5
n 0.5
b 0.5
s 0.5
d 0.5
s 0.5
d 0.5
p 0.5
a 0.5
f 0.5
g 1
p 1
q 0.5
w 1
q 0.5
b 0.5
n 0.5
p 0.5
q 0.5
j 1
p 0.5
q 0.5
j 0.5
g 1
p 1
g 0.5
b 0.5
a 0.5
b 0.5
p 0.5
s 0.5
a 2
p 0.5
a 0.5
p 0.5
m 0.5
p 0.5
m 1
p 5
a 0.5
p 0.5
a 1.5
p 2.5
b 1
p 3.5
m 1
p 0.5
m 1
p 1.5
m 1.5
p 0.5
b 1
s 0.5
m 0.5
p 1
d 0.5
j 0.5
g 0.5
w 0.5
j 1.5
e 0.5
u 1
t 1
e 1
p 0.5
u 0.5
e 1
p 0.5
t 0.5
g 2.5
b 0.5
s 0.5
d 0.5
q 0.5
g 0.5
e 1
j 2.5
e 1
q 0.5
p 2
g 0.5
p 3.5
