# 由21键曲谱播放器从 【Animenz】unravel 钢琴版（原神适配）.mid 转换
# 格式：按键 拍数；p 表示休止，同时按键写在一起
# 录制基准：1000 ms/拍
p 1
q 0.25
wn 0.5
q 0.5
j 0.25
h 0.25
a 0.25
w 0.25
v 0.25
q 0.5
j 0.5
h 0.25
n 0.25
h 0.25
gb 0.75
f 0.25
f 0.25
g 0.25
m 0.25
d 0.25
n 1.75
dc 0.25
adx 0.25
n 0.25
d 0.25
adx 0.25
n 0.25
ed 0.25
qedh 0.25
a 0.25
zv 0.25
as 0.25
dn 0.25
v 0.25
as 0.25
dn 0.25
v 0.25
qa 0.25
sjc 0.25
m 0.25
jb 0.25
sjc 0.25
m 0.25
qad 0.25
qah 0.25
m 0.25
zv 0.25
aj 0.25
qv 0.25
v 0.25
aj 0.25
qv 0.25
v 0.25
qa 0.25
wx 0.25
sn 0.25
qdf 0.25
ax 0.25
jnm 0.25
ahv 0.25
x 0.25
wn 0.25
sv 0.25
qad 0.25
ah 0.25
jv 0.25
a 0.25
h 0.25
v 0.25
ah 0.25
gcm 0.25
aj 0.25
g 0.25
fc 0.25
fm 0.25
b 0.25
ag 0.25
c 0.25
dbm 0.25
zv 0.25
aj 0.25
qn 0.25
v 0.25
aj 0.25
qn 0.25
v 0.25
ad 0.25
adx 0.25
n 0.25
d 0.25
adx 0.25
n 0.25
edf 0.25
qedx 0.25
n 0.25
gzv 0.25
wa 0.25
en 0.25
gv 0.25
wa 0.25
en 0.25
gv 0.25
qa 0.25
sjc 0.25
m 0.25
jb 0.25
sjc 0.25
m 0.25
qag 0.25
qac 0.25
c 0.25
dhv 0.25
v 0.25
dh 0.25
v 0.25
dh 0.25
v 0.25
dh 0.25
v 0.25
dh 0.25
v 0.25
v 0.25
ea 0.25
dn 0.25
hm 0.25
wa 0.25
dn 0.25
hm 0.25
qa 0.25
dn 0.25
ea 0.25
dn 0.25
hm 0.25
wa 0.25
dn 0.25
hm 0.25
qa 0.25
adhcnm 0.25
cn 0.25
adhm 0.25
cn 0.25
adhm 0.25
cn 0.25
adhm 0.25
cn 0.25
dcn 0.25
qa 0.25
n 0.25
ad 0.25
h 0.25
d 0.25
an 0.25
b 0.25
qed 0.25
sb 0.25
qw 0.25
sb 0.25
qed 0.25
b 0.25
dzv 0.25
qa 0.25
n 0.25
ad 0.25
h 0.25
d 0.25
av 0.25
n 0.25
c 0.25
dcbm 0.25
qad 0.25
cm 0.25
dj 0.25
c 0.25
dn 0.25
qa 0.25
n 0.25
ad 0.25
h 0.25
d 0.25
an 0.25
b 0.25
qed 0.25
sb 0.25
qw 0.25
sb 0.25
qed 0.25
b 0.25
dzv 0.25
qa 0.25
n 0.25
ad 0.25
h 0.25
d 0.25
av 0.25
n 0.25
c 0.25
dcbm 0.25
qad 0.25
cm 0.25
dj 0.25
c 0.25
qdhzv 0.25
qhv 0.25
qwv 0.25
qhv 0.25
qhv 0.25
asfjv 0.25
qadgv 0.25
q 0.25
qadg 0.75
f 0.25
qh 0.25
e 0.25
esdfhxn 0.25
w 0.25
qwfh 0.5
s 0.25
fh 0.25
q 0.25
wsgcm 0.25
q 0.25
sgjn 0.5
gc 0.25
jn 0.5
d 0.25
qgjn 0.75
qgj 0.75
b 0.25
j 0.25
qadv 0.25
q 0.25
q 0.25
adb 0.5
qv 0.25
qn 0.25
e 0.25
esdfhxn 0.25
w 0.25
qwfh 0.5
qs 0.25
fh 0.5
edgc 0.5
w 0.25
qwjb 0.5
c 0.25
jb 0.25
q 0.25
qen 0.75
q 0.25
j 0.5
b 0.25
g 0.25
gcn 0.25
n 0.25
db 0.25
n 0.25
c 0.25
b 0.25
djn 0.25
m 0.25
qas 0.25
n 0.25
djb 0.25
djn 0.25
c 0.25
n 0.25
gb 0.25
n 0.25
gc 0.25
n 0.25
db 0.25
n 0.25
c 0.25
b 0.25
djn 0.25
m 0.25
qas 0.25
n 0.25
djb 0.25
jn 0.25
c 0.25
n 0.25
gb 0.25
n 0.25
gc 0.25
n 0.25
db 0.25
dn 0.25
c 0.25
b 0.25
edgjn 0.25
m 0.25
qwasg 0.5
edgjn 0.25
edgjn 1.25
dn 0.25
g 0.25
qea 0.5
wsgjb 0.5
qedhzv 0.25
v 0.25
wasfh 0.25
v 0.25
wasfh 0.25
wsfh 0.25
a 0.25
n 0.25
qafhv 0.25
z 0.25
v 0.25
sgj 0.25
xb 0.25
qadgb 0.25
x 0.25
b 0.25
sgjx 0.25
b 0.25
x 0.25
sgm 0.25
b 0.25
x 0.25
b 0.25
qedhcn 0.25
n 0.25
wsdghj 0.25
n 0.25
wsdghj 0.25
h 0.25
d 0.25
qah 0.25
n 0.25
c 0.25
n 0.25
qa 0.25
dgjc 0.25
c 0.25
qadgm 0.25
c 0.25
etdgjm 0.25
d 0.25
m 0.25
dgjb 0.25
c 0.25
m 0.25
c 0.25
qa 0.25
qryhzv 0.25
v 0.25
qetafg 0.25
v 0.25
qeadfg 0.25
f 0.25
a 0.25
qdgn 0.25
v 0.25
z 0.25
v 0.25
qa 0.25
qasgxb 0.25
b 0.25
x 0.25
j 0.25
b 0.25
sghx 0.25
g 0.25
s 0.25
jm 0.25
b 0.25
x 0.25
b 0.25
qadh 0.25
cn 0.25
n 0.25
dh 0.25
n 0.25
dh 0.25
y 0.25
e 0.25
q 0.25
h 0.25
d 0.25
n 0.25
q 0.25
jc 0.25
g 0.25
dc 0.25
qm 0.25
g 0.25
dc 0.25
jm 0.25
g 0.25
d 0.25
m 0.25
gb 0.25
c 0.25
m 0.25
b 0.25
dc 0.25
qedhv 0.25
f 0.25
was 0.25
fhv 0.25
v 0.25
was 0.25
f 0.25
wshv 0.25
f 0.25
qa 0.25
fhv 0.25
v 0.25
qa 0.25
f 0.25
sgjb 0.25
x 0.25
qab 0.25
b 0.25
sgj 0.25
b 0.25
b 0.25
sg 0.25
b 0.25
b 0.25
dx 0.25
b 0.25
qedhn 0.25
wsd 0.25
wsgjn 0.25
n 0.25
wsd 0.25
h 0.25
wsgjn 0.25
h 0.25
qad 0.25
hn 0.25
n 0.25
qad 0.25
n 0.25
dgjc 0.25
m 0.25
qac 0.25
c 0.25
etgjm 0.25
d 0.25
c 0.25
d 0.25
gjm 0.25
c 0.25
c 0.25
qam 0.25
d 0.25
qryhzv 0.25
f 0.25
v 0.25
qetfg 0.25
z 0.25
v 0.25
ead 0.25
f 0.25
qadgh 0.25
f 0.25
a 0.25
v 0.25
qa 0.25
qasgxb 0.5
j 0.25
sghm 0.5
j 0.25
b 0.25
qadh 0.25
v 0.25
d 0.25
h 0.25
dv 0.25
h 0.25
d 0.25
hv 0.25
d 0.25
ean 0.25
d 0.25
h 0.25
q 0.25
d 0.25
h 0.25
q 0.25
d 0.25
ecn 0.25
d 0.25
g 0.25
qn 0.25
d 0.25
g 0.25
qn 0.25
d 0.25
ea 0.25
d 0.25
g 0.25
q 0.25
d 0.25
g 0.25
q 0.25
d 0.25
wxb 0.25
s 0.25
g 0.25
qb 0.25
s 0.25
g 0.25
qb 0.25
s 0.25
wm 0.25
s 0.25
g 0.25
q 0.25
s 0.25
g 0.25
qa 0.25
ecn 0.25
g 0.25
d 0.25
wn 0.25
g 0.25
d 0.25
wn 0.25
g 0.25
ad 0.25
g 0.25
j 0.25
g 0.25
d 0.25
g 0.25
q 0.25
h 0.25
dzv 0.25
h 0.25
d 0.25
hv 0.25
d 0.25
h 0.25
dv 0.25
h 0.25
ea 0.25
d 0.25
h 0.25
q 0.25
d 0.25
h 0.25
q 0.25
d 0.25
ecn 0.25
d 0.25
g 0.25
qn 0.25
d 0.25
g 0.25
qn 0.25
d 0.25
ea 0.25
d 0.25
g 0.25
q 0.25
d 0.25
g 0.25
q 0.25
d 0.25
wxb 0.25
s 0.25
g 0.25
qb 0.25
s 0.25
g 0.25
qb 0.25
s 0.25
wj 0.25
s 0.25
g 0.25
q 0.25
s 0.25
g 0.25
q 0.25
s 0.25
jcn 0.25
d 0.25
a 0.25
dn 0.25
a 0.25
d 0.25
an 0.25
d 0.25
qv 0.25
b 0.25
n 0.25
q 0.25
f 0.25
qa 0.25
wsx 0.25
d 0.25
qas 0.25
wd 0.25
n 0.25
f 0.25
qag 0.25
h 0.25
wsc 0.25
a 0.25
qm 0.25
was 0.25
h 0.25
qag 0.25
n 0.25
jv 0.25
c 0.25
aj 0.25
jc 0.25
n 0.25
v 0.25
jb 0.25
n 0.25
jc 0.25
a 0.25
jm 0.25
aj 0.25
v 0.25
n 0.25
qab 0.25
n 0.25
wsc 0.25
d 0.25
qaj 0.25
wsd 0.25
n 0.25
c 0.25
qan 0.25
j 0.25
wsd 0.25
m 0.25
qan 0.25
wsj 0.25
c 0.25
n 0.25
qab 0.25
n 0.25
jv 0.25
c 0.25
aj 0.25
jc 0.25
n 0.25
v 0.25
jb 0.25
n 0.25
jc 0.25
a 0.25
jm 0.25
aj 0.25
v 0.25
n 0.25
qb 0.25
n 0.25
wsfhv 0.25
f 0.25
qan 0.25
wsfhv 0.25
v 0.25
qan 0.25
f 0.25
wshv 0.25
f 0.25
qan 0.25
wsfhv 0.25
v 0.25
qan 0.25
f 0.25
wsgn 0.25
h 0.25
qad 0.25
wsgn 0.25
n 0.25
qad 0.25
h 0.25
wsgn 0.25
h 0.25
qad 0.25
wsgn 0.25
n 0.25
qad 0.25
h 0.25
wsgb 0.25
qasm 0.25
g 0.25
wsb 0.25
g 0.25
sm 0.25
qab 0.25
b 0.25
wsgm 0.25
n 0.25
h 0.25
qad 0.25
n 0.5
qeyadhjn 0.25
qeyadhjn 0.25
qeyadhjn 0.25
zv 0.25
c 0.25
n 0.25
m 0.25
a 0.25
d 0.25
hv 0.25
j 0.25
q 0.25
ezvn 0.25
c 0.25
h 0.25
j 0.25
q 0.25
ev 0.25
y 0.25
u 0.25
q 0.25
w 0.25
q 0.25
t 0.25
wb 0.25
q 0.25
w 0.25
qb 0.25
t 0.25
w 0.25
sjbm 0.25
g 0.25
s 0.25
a 0.25
jb 0.25
g 0.25
s 0.25
a 0.25
m 0.25
qedhcn 0.25
c 0.25
n 0.25
m 0.25
a 0.25
d 0.25
hn 0.25
j 0.25
q 0.25
eacn 0.25
d 0.25
h 0.25
j 0.25
an 0.25
d 0.25
h 0.25
j 0.25
q 0.25
en 0.25
y 0.25
u 0.25
wc 0.25
e 0.25
w 0.25
q 0.25
t 0.25
w 0.25
e 0.25
w 0.25
q 0.25
g 0.25
wcbm 0.25
q 0.25
j 0.25
g 0.25
sc 0.25
a 0.25
m 0.25
b 0.25
x 0.25
qeyhjzv 0.25
c 0.25
n 0.25
m 0.25
a 0.25
d 0.25
hv 0.25
j 0.25
q 0.25
ezvn 0.25
c 0.25
h 0.25
j 0.25
q 0.25
ev 0.25
y 0.25
u 0.25
q 0.25
w 0.25
q 0.25
t 0.25
wb 0.25
q 0.25
w 0.25
qb 0.25
t 0.25
w 0.25
sjbm 0.25
g 0.25
s 0.25
a 0.25
jb 0.25
g 0.25
s 0.25
a 0.25
m 0.25
qedhcn 0.25
c 0.25
n 0.25
m 0.25
a 0.25
d 0.25
hn 0.25
j 0.25
q 0.25
adcn 0.25
n 0.25
m 0.25
an 0.25
d 0.25
h 0.25
j 0.25
a 0.25
dn 0.25
h 0.25
j 0.25
wc 0.25
e 0.25
w 0.25
q 0.25
gc 0.25
s 0.25
d 0.25
sc 0.25
a 0.25
b 0.25
scm 0.25
a 0.25
m 0.25
b 0.25
sc 0.25
a 0.25
m 0.25
b 0.25
sc 0.25
ezv 0.25
ah 0.25
d 0.25
qh 0.25
v 0.25
dn 0.25
ah 0.25
d 0.25
ev 0.25
ah 0.25
d 0.25
qh 0.25
v 0.25
dn 0.25
ah 0.25
d 0.25
wxb 0.25
sg 0.25
jm 0.25
gb 0.25
sm 0.25
ag 0.25
s 0.25
wb 0.25
sg 0.25
jm 0.25
gb 0.25
sm 0.25
ag 0.25
s 0.25
qcn 0.25
d 0.25
am 0.25
q 0.25
dn 0.25
a 0.25
qs 0.25
ac 0.25
qn 0.25
dc 0.25
am 0.25
j 0.25
dn 0.25
a 0.25
sg 0.25
ac 0.25
d 0.25
b 0.25
c 0.25
db 0.25
c 0.25
dm 0.25
c 0.25
d 0.25
b 0.25
c 0.25
sb 0.25
c 0.25
d 0.25
adzv 0.25
q 0.25
adv 0.25
q 0.25
adv 0.25
q 0.25
qadv 0.25
qv 0.25
f 0.25
ad 0.25
f 0.25
d 0.25
a 0.25
v 0.25
c 0.25
z 0.25
v 0.25
c 0.25
z 0.25
adxb 0.25
q 0.25
adb 0.25
q 0.25
ad 0.25
b 0.25
q 0.25
ad 0.25
b 0.25
q 0.25
ad 0.25
qfb 0.25
d 0.25
a 0.25
df 0.25
a 0.25
v 0.25
zc 0.25
v 0.25
c 0.25
adzn 0.25
q 0.25
qadn 0.25
adn 0.25
q 0.25
adn 0.25
q 0.25
qn 0.25
f 0.25
d 0.25
a 0.25
f 0.25
d 0.25
a 0.25
v 0.25
c 0.25
z 0.25
cv 0.25
z 0.25
sg 0.25
w 0.25
sgc 0.25
w 0.25
wsgc 0.25
w 0.25
sgc 0.25
w 0.25
c 0.25
qg 0.25
s 0.25
a 0.25
xb 0.25
s 0.25
a 0.25
b 0.25
sx 0.25
a 0.25
b 0.25
x 0.25
gn 0.25
db 0.25
n 0.25
c 0.25
b 0.25
djn 0.25
m 0.25
qas 0.25
n 0.25
djb 0.25
n 0.25
c 0.25
n 0.25
gb 0.25
n 0.25
gzv 0.25
n 0.25
db 0.25
n 0.25
c 0.25
b 0.25
djn 0.25
m 0.25
qas 0.25
n 0.25
djb 0.25
n 0.25
c 0.25
n 0.25
gb 0.25
n 0.25
gxb 0.25
n 0.25
db 0.25
n 0.25
c 0.25
b 0.25
djn 0.25
m 0.25
qas 0.25
n 0.25
djb 0.25
n 0.25
n 0.25
gb 0.25
n 0.25
gc 0.25
n 0.25
db 0.25
n 0.25
c 0.25
b 0.25
djn 0.25
m 0.25
qas 0.25
n 0.25
djb 0.25
n 0.25
c 0.25
n 0.25
gb 0.25
n 0.25
edgc 0.25
jn 0.25
qad 0.25
g 0.25
n 0.25
m 0.25
ead 0.25
jn 0.25
qsm 0.25
gn 0.25
ad 0.25
en 0.25
jm 0.25
qad 0.25
n 0.25
edgzv 0.25
j 0.25
qad 0.25
g 0.25
n 0.25
m 0.25
ead 0.25
jn 0.25
qsm 0.25
gn 0.25
ad 0.25
en 0.25
jm 0.25
qad 0.25
n 0.25
edgxb 0.25
j 0.25
qad 0.25
g 0.25
n 0.25
m 0.25
ead 0.25
jn 0.25
qwad 0.25
g 0.25
n 0.25
qead 0.25
n 0.25
qegc 0.5
rf 0.25
ed 0.25
f 0.25
g 0.25
h 0.25
ead 0.5
ws 0.5
esxn 0.25
h 0.25
f 0.25
ws 0.25
h 0.25
f 0.25
ws 0.25
f 0.25
wsn 0.25
h 0.25
f 0.25
q 0.25
h 0.25
f 0.25
q 0.25
f 0.25
djc 0.25
g 0.25
s 0.25
qc 0.25
g 0.25
s 0.25
jc 0.25
s 0.25
dgj 0.25
s 0.25
g 0.25
s 0.25
s 0.25
g 0.25
j 0.25
eafv 0.25
h 0.25
d 0.25
wv 0.25
h 0.25
d 0.25
wv 0.25
d 0.25
wafh 0.25
d 0.25
q 0.25
h 0.25
d 0.25
q 0.25
d 0.25
ajb 0.25
g 0.25
d 0.25
qa 0.25
g 0.25
d 0.25
ta 0.25
d 0.25
ad 0.25
j 0.25
d 0.25
d 0.25
g 0.25
q 0.25
ysxn 0.25
q 0.25
