# 曲名：万神纪
# 推荐节拍：625 ms/拍
# 身份：网易云音乐公开条目 id=459831628；星尘/VOCALOID 原版完整音频。
# 制谱说明：完整公开音频经 Basic Pitch 转 MIDI，再做单旋律聚类与21键自然音阶映射；候选需游戏内试听复核。
a 0.5
p 4.5
c 0.5
p 1.5
b 1.5
q 0.5
p 0.5
n 0.5
c 0.5
p 0.5
n 0.5
q 0.5
m 2
c 1
p 1.5
b 0.5
p 2.5
d 0.5
p 0.5
y 0.5
c 1.5
m 0.5
p 12
c 0.5
p 0.5
d 0.5
h 0.5
p 1.5
c 0.5
p 1
c 0.5
d 0.5
b 0.5
p 4
d 0.5
e 0.5
y 0.5
t 1
e 1
w 1
e 1
p 0.5
v 0.5
h 1
a 0.5
j 0.5
e 0.5
j 1
p 0.5
q 0.5
p 0.5
d 0.5
w 0.5
u 0.5
q 0.5
g 0.5
a 0.5
n 0.5
a 0.5
g 0.5
r 0.5
h 0.5
f 0.5
w 0.5
h 0.5
w 0.5
h 0.5
p 2.5
g 0.5
b 0.5
p 2
d 0.5
p 1.5
b 0.5
p 1.5
h 0.5
d 0.5
p 1
c 0.5
g 0.5
m 0.5
p 2
d 0.5
p 4
c 0.5
u 0.5
p 3.5
d 0.5
q 0.5
v 0.5
p 0.5
j 0.5
p 1.5
h 0.5
p 1.5
q 0.5
p 0.5
t 0.5
u 0.5
p 2.5
b 0.5
p 2
t 0.5
h 0.5
q 0.5
e 0.5
u 0.5
p 2.5
n 1
p 0.5
d 1
s 0.5
a 0.5
b 0.5
p 0.5
n 1
p 0.5
s 0.5
d 1
s 0.5
a 0.5
p 1
n 1
d 1
s 0.5
a 0.5
e 0.5
b 0.5
j 0.5
f 0.5
q 0.5
s 0.5
d 0.5
g 0.5
w 0.5
d 0.5
s 0.5
p 1
d 1
p 0.5
d 0.5
p 0.5
a 0.5
p 1
n 1
p 0.5
s 0.5
p 0.5
d 0.5
s 0.5
a 0.5
p 1
n 1
d 0.5
p 0.5
d 0.5
s 0.5
a 0.5
y 1
p 0.5
g 0.5
d 0.5
p 1
c 0.5
d 0.5
g 0.5
p 1
q 0.5
e 0.5
s 0.5
a 1
d 0.5
p 0.5
q 0.5
j 0.5
p 0.5
q 0.5
p 0.5
g 0.5
p 0.5
d 0.5
p 1
a 0.5
v 0.5
n 0.5
v 0.5
q 0.5
s 0.5
d 0.5
p 1
d 0.5
p 0.5
h 0.5
p 0.5
g 0.5
c 0.5
p 1.5
h 1
p 0.5
w 0.5
p 0.5
d 0.5
p 0.5
q 0.5
a 0.5
q 0.5
p 1
h 0.5
p 0.5
e 0.5
w 0.5
p 0.5
c 0.5
h 1
p 0.5
w 0.5
p 1
h 0.5
d 0.5
q 0.5
p 0.5
h 0.5
p 1
e 0.5
h 0.5
t 0.5
e 0.5
w 0.5
e 0.5
h 1
p 1.5
h 0.5
g 0.5
q 0.5
p 0.5
q 0.5
p 1
w 0.5
h 0.5
p 0.5
w 0.5
p 0.5
j 0.5
g 0.5
h 1
w 0.5
t 0.5
p 0.5
e 1
p 0.5
t 0.5
q 0.5
y 0.5
w 0.5
s 0.5
p 0.5
e 0.5
w 1
t 0.5
h 1
p 2.5
b 0.5
p 0.5
h 1
p 2
u 1
c 0.5
p 0.5
c 0.5
p 2
b 0.5
e 0.5
p 0.5
q 0.5
y 0.5
u 0.5
p 0.5
t 0.5
u 0.5
p 0.5
u 0.5
p 1.5
n 1
p 0.5
d 0.5
s 0.5
d 0.5
s 0.5
a 0.5
b 0.5
n 1
p 0.5
s 0.5
d 0.5
g 0.5
d 0.5
s 0.5
a 0.5
p 0.5
n 1
d 0.5
p 0.5
d 0.5
s 0.5
w 0.5
t 0.5
g 0.5
h 0.5
y 0.5
s 0.5
q 0.5
d 0.5
g 0.5
e 0.5
g 0.5
s 0.5
p 1
n 0.5
d 1
s 0.5
a 0.5
q 0.5
w 0.5
p 0.5
n 1
t 0.5
s 0.5
w 0.5
q 0.5
s 0.5
a 0.5
g 0.5
n 1
d 0.5
b 0.5
p 0.5
a 0.5
p 0.5
b 0.5
p 1
s 0.5
d 0.5
c 0.5
p 1
d 0.5
g 0.5
p 1
q 0.5
e 0.5
p 0.5
t 0.5
p 0.5
d 0.5
p 1
c 0.5
p 0.5
h 0.5
j 0.5
p 1
d 0.5
p 1.5
h 0.5
p 1.5
b 0.5
d 0.5
p 1
s 0.5
g 0.5
d 0.5
h 0.5
t 0.5
d 0.5
j 0.5
p 1
h 1.5
p 1
d 0.5
p 0.5
q 0.5
a 0.5
p 0.5
q 0.5
p 0.5
h 0.5
p 0.5
e 0.5
p 0.5
m 0.5
g 0.5
p 1
h 0.5
p 2.5
q 1
h 0.5
p 1
n 0.5
c 0.5
e 1
p 1.5
h 1
p 1.5
h 0.5
d 0.5
q 0.5
g 0.5
q 0.5
h 0.5
s 1
c 0.5
w 0.5
p 0.5
c 0.5
g 0.5
h 1
t 1.5
e 0.5
p 0.5
e 0.5
a 0.5
q 0.5
h 0.5
w 0.5
p 0.5
t 0.5
p 0.5
c 0.5
p 4
c 0.5
p 1
c 0.5
p 1.5
e 0.5
p 3
e 0.5
p 2
e 0.5
p 1
c 0.5
t 0.5
p 2
t 0.5
p 1.5
e 0.5
w 0.5
q 0.5
h 1
j 0.5
b 0.5
q 0.5
d 0.5
g 0.5
c 1
q 0.5
h 1
e 0.5
c 0.5
e 0.5
w 0.5
e 0.5
q 0.5
r 0.5
t 1
r 0.5
t 0.5
y 0.5
t 0.5
v 0.5
p 0.5
c 1
p 5
h 1.5
p 0.5
n 0.5
p 2
d 0.5
p 1
a 0.5
p 1
n 0.5
d 0.5
p 0.5
a 0.5
t 0.5
p 0.5
d 0.5
q 1
h 0.5
p 0.5
j 0.5
d 0.5
u 1.5
p 0.5
a 0.5
w 0.5
e 0.5
y 0.5
t 1.5
g 0.5
p 0.5
w 0.5
g 0.5
e 0.5
h 0.5
g 0.5
w 0.5
u 0.5
p 0.5
g 0.5
h 0.5
p 1
w 0.5
q 0.5
h 0.5
p 0.5
q 0.5
j 0.5
q 0.5
p 1
q 1
e 0.5
w 0.5
p 0.5
g 0.5
p 0.5
h 0.5
p 1
w 0.5
h 0.5
p 0.5
q 0.5
p 1
h 0.5
p 0.5
w 0.5
e 0.5
p 2
g 0.5
h 0.5
p 2
d 0.5
g 0.5
q 0.5
j 0.5
q 0.5
s 0.5
w 0.5
h 0.5
q 0.5
e 0.5
w 0.5
c 0.5
p 1
h 0.5
p 0.5
t 0.5
p 1
g 0.5
q 0.5
p 0.5
h 1
p 0.5
s 0.5
n 0.5
c 0.5
s 0.5
d 0.5
p 1
h 1
w 1
p 1
g 0.5
q 0.5
g 0.5
q 0.5
h 0.5
w 0.5
n 0.5
s 0.5
e 0.5
w 0.5
c 1
g 0.5
h 0.5
p 1
t 0.5
e 0.5
p 0.5
e 0.5
b 0.5
q 0.5
s 0.5
p 0.5
w 0.5
h 0.5
t 0.5
e 0.5
p 0.5
e 1.5
p 1
e 0.5
p 0.5
y 2
p 3
y 0.5
p 3
c 0.5
p 5
y 0.5
q 0.5
p 1
u 0.5
c 0.5
u 1
t 1
p 1
u 0.5
p 0.5
