# 曲名：光年之外
# 推荐节拍：667 ms/拍
# 身份：Bilibili BV1ws411Y7wi（av7798404）G.E.M.邓紫棋官方MV完整音频；网易云 id=449818741 条目检索记录。
# 制谱说明：完整公开音频经 Basic Pitch 转 MIDI，再做单旋律聚类与21键自然音阶映射；候选需游戏内试听复核。
p 0.5
q 1
w 1
q 1
e 0.5
q 1.5
w 1
q 0.5
e 1.5
q 0.5
h 0.5
q 0.5
h 1.5
q 2
d 1
g 0.5
w 0.5
j 1
w 0.5
q 0.5
d 0.5
p 0.5
w 0.5
p 0.5
e 0.5
w 1
q 2
p 0.5
q 1.5
g 2
w 0.5
p 0.5
e 0.5
q 0.5
p 0.5
g 2
q 0.5
w 1
j 1.5
w 0.5
j 0.5
e 1
q 0.5
w 0.5
q 0.5
p 0.5
j 1
q 1
p 0.5
q 1.5
g 0.5
h 0.5
w 0.5
g 0.5
e 0.5
q 0.5
e 0.5
q 0.5
g 1
p 0.5
q 0.5
w 1
q 0.5
d 0.5
p 0.5
j 0.5
h 0.5
p 0.5
q 0.5
p 0.5
e 0.5
p 0.5
f 0.5
w 0.5
h 0.5
p 0.5
q 1
w 0.5
e 0.5
h 0.5
p 0.5
r 1
d 0.5
q 0.5
r 1
h 0.5
q 0.5
p 1
d 0.5
p 0.5
d 0.5
q 0.5
p 1
w 0.5
q 1.5
w 0.5
q 0.5
e 0.5
w 0.5
t 1
y 1
p 1.5
h 0.5
q 0.5
p 0.5
w 0.5
p 0.5
e 1
t 0.5
q 0.5
e 0.5
g 0.5
e 0.5
w 1.5
p 0.5
q 0.5
p 1
q 1
w 1
e 0.5
d 0.5
p 0.5
t 0.5
p 0.5
t 0.5
y 0.5
p 1.5
h 1
q 0.5
w 1
e 0.5
p 0.5
t 0.5
a 0.5
p 0.5
w 1.5
p 1
q 1.5
t 0.5
p 0.5
t 0.5
p 0.5
q 1
h 0.5
a 0.5
p 3.5
q 0.5
t 0.5
p 0.5
t 1
q 1
p 0.5
e 0.5
j 0.5
g 0.5
p 2.5
q 0.5
h 0.5
t 1.5
q 0.5
p 0.5
q 0.5
h 0.5
p 1.5
e 0.5
p 1
e 0.5
h 0.5
q 0.5
t 0.5
p 0.5
t 0.5
p 0.5
e 0.5
q 0.5
p 0.5
j 0.5
p 2.5
w 1.5
j 0.5
e 1
w 1
q 1
j 2
p 0.5
q 0.5
p 0.5
q 0.5
g 0.5
q 0.5
g 0.5
q 0.5
w 0.5
e 0.5
p 0.5
q 0.5
g 1
p 0.5
q 0.5
w 1.5
q 0.5
h 0.5
w 0.5
p 0.5
w 0.5
e 0.5
w 1
q 0.5
p 0.5
j 2
q 1
g 0.5
q 0.5
g 0.5
q 0.5
w 0.5
p 0.5
e 0.5
q 0.5
p 0.5
g 1.5
q 0.5
p 1.5
h 0.5
d 0.5
m 0.5
j 0.5
h 0.5
p 0.5
j 0.5
p 0.5
e 1
f 0.5
h 0.5
p 1
q 1
r 0.5
p 0.5
a 0.5
q 0.5
e 0.5
p 1
q 0.5
e 1
h 0.5
q 0.5
w 0.5
p 2
q 0.5
p 1
