# 曲名：演员
# 推荐节拍：800 ms/拍
# 来源：https://www.bilibili.com/video/BV1i14y117hX
# 制谱说明：完整B站音频经 Basic Pitch 转 MIDI，再做单旋律聚类与21键自然音阶映射；候选需游戏内试听复核。
p 2.5
c 0.5
b 0.5
f 0.5
b 1
d 0.5
s 1.5
a 0.5
p 0.5
m 0.5
s 0.5
p 0.5
b 0.5
f 0.5
b 1
d 0.5
s 0.5
b 0.5
s 0.5
a 0.5
p 0.5
m 0.5
s 0.5
p 1
g 0.5
f 0.5
n 0.5
f 1
s 0.5
d 0.5
s 1
b 0.5
s 0.5
a 0.5
c 0.5
f 0.5
p 0.5
b 0.5
d 0.5
s 1
c 0.5
s 0.5
p 1
v 0.5
c 0.5
m 0.5
c 0.5
s 0.5
m 1.5
b 1
x 0.5
a 0.5
b 0.5
p 0.5
m 2
a 2
c 1
p 0.5
v 1
p 1
v 2
p 0.5
a 0.5
p 0.5
b 0.5
s 1
p 1
b 1
m 1.5
s 0.5
b 0.5
m 0.5
s 0.5
p 0.5
b 0.5
p 0.5
v 2
p 0.5
b 0.5
p 0.5
c 0.5
p 1
c 0.5
v 0.5
b 0.5
p 0.5
m 1.5
p 0.5
a 1
s 1
x 0.5
p 0.5
v 1
p 0.5
v 1
n 0.5
c 0.5
v 0.5
c 0.5
a 0.5
p 1.5
s 0.5
p 2
m 0.5
a 1.5
p 0.5
c 0.5
b 0.5
g 1
f 1
p 0.5
g 0.5
n 1
m 0.5
p 0.5
m 0.5
p 0.5
m 0.5
p 0.5
m 0.5
g 0.5
f 0.5
d 0.5
f 0.5
g 0.5
m 0.5
s 0.5
a 0.5
s 0.5
a 0.5
d 1
f 0.5
d 0.5
p 0.5
d 0.5
f 0.5
p 1
a 0.5
v 0.5
a 1
p 0.5
a 0.5
s 0.5
a 0.5
p 0.5
a 0.5
s 0.5
a 0.5
p 0.5
a 1
s 0.5
p 0.5
d 0.5
p 0.5
g 0.5
d 1
p 1
n 1.5
m 0.5
n 0.5
m 1
b 0.5
g 1
f 0.5
d 0.5
p 1
m 0.5
s 0.5
j 0.5
p 0.5
a 0.5
p 1
d 1
f 0.5
d 0.5
p 1
n 0.5
a 0.5
v 0.5
a 0.5
m 1
p 1
m 0.5
b 0.5
a 1.5
p 0.5
a 1
b 0.5
s 2
p 0.5
c 1
m 0.5
c 0.5
b 0.5
p 1
b 0.5
a 1
p 0.5
x 0.5
b 1
p 1.5
b 0.5
a 1
b 0.5
a 1
b 0.5
c 1
p 0.5
v 0.5
p 1
n 0.5
c 1
v 0.5
p 0.5
a 0.5
p 1
c 0.5
p 0.5
b 0.5
p 1.5
s 0.5
a 0.5
b 0.5
a 0.5
s 0.5
p 0.5
g 0.5
p 0.5
f 0.5
p 0.5
f 0.5
g 0.5
n 1
p 0.5
m 0.5
n 0.5
m 0.5
b 0.5
p 0.5
m 0.5
g 0.5
f 0.5
d 0.5
j 0.5
g 0.5
b 0.5
s 1
a 1
p 1
d 0.5
f 0.5
a 0.5
d 1
v 0.5
n 0.5
h 0.5
v 0.5
a 0.5
m 0.5
p 1.5
s 0.5
a 1
p 1
s 1
a 0.5
s 0.5
a 0.5
p 0.5
s 0.5
g 0.5
p 0.5
d 0.5
q 0.5
p 0.5
n 1.5
m 0.5
a 0.5
m 1
p 0.5
g 1
f 0.5
d 0.5
p 0.5
b 0.5
m 0.5
s 0.5
b 0.5
p 0.5
a 0.5
p 1
d 0.5
p 0.5
d 0.5
f 0.5
d 0.5
v 0.5
n 1
v 0.5
a 0.5
m 0.5
v 0.5
g 0.5
m 0.5
n 0.5
b 0.5
s 0.5
a 1
b 0.5
d 0.5
s 0.5
q 0.5
t 0.5
w 0.5
b 1
a 1
s 0.5
p 0.5
n 0.5
p 0.5
g 0.5
n 0.5
s 1
b 0.5
m 0.5
p 0.5
m 1.5
p 0.5
s 0.5
b 0.5
a 0.5
s 0.5
b 0.5
a 1.5
p 0.5
a 1
s 0.5
d 0.5
p 0.5
a 0.5
d 0.5
s 0.5
n 0.5
s 1
p 0.5
b 0.5
s 1
p 0.5
s 1
d 1
a 1.5
p 1.5
d 1
p 0.5
d 0.5
g 0.5
n 1
p 0.5
n 0.5
s 1.5
p 1
m 1
p 1
b 0.5
s 1
p 0.5
s 0.5
a 1.5
p 1
a 0.5
s 0.5
d 0.5
p 1
a 0.5
p 0.5
s 1
m 0.5
b 0.5
p 1
s 0.5
m 0.5
a 0.5
s 0.5
a 2
s 0.5
p 1
g 0.5
p 0.5
f 1
g 0.5
n 1.5
m 1
s 0.5
m 0.5
p 1
m 0.5
f 0.5
d 0.5
f 0.5
b 0.5
m 0.5
s 0.5
b 0.5
a 0.5
w 0.5
a 0.5
p 0.5
d 1
p 0.5
f 0.5
d 0.5
n 1
a 0.5
v 0.5
a 1.5
q 0.5
a 0.5
f 0.5
a 0.5
p 0.5
a 0.5
p 1
q 0.5
s 0.5
a 0.5
s 0.5
a 0.5
s 0.5
q 0.5
w 0.5
q 0.5
d 0.5
p 0.5
n 1
p 0.5
n 0.5
m 0.5
n 0.5
m 0.5
b 0.5
p 0.5
g 0.5
v 0.5
g 0.5
f 0.5
d 0.5
w 0.5
b 0.5
m 0.5
s 0.5
b 0.5
a 1
p 1
d 1
p 1
n 1.5
a 0.5
v 0.5
m 1
p 1
h 0.5
a 3.5
b 0.5
s 1
p 0.5
s 0.5
d 0.5
b 1
d 1.5
a 0.5
p 1
d 0.5
c 2.5
a 0.5
p 0.5
a 0.5
p 4
