# 曲名：追梦赤子心
# 推荐节拍：433 ms/拍
# 来源：https://www.bilibili.com/video/BV1i14y1D74W
# 制谱说明：完整B站音频经 Basic Pitch 转 MIDI，再做单旋律聚类与21键自然音阶映射；候选需游戏内试听复核。
p 7
a 1.5
d 0.5
q 1.5
d 1
a 1
d 1
a 0.5
p 0.5
f 1
a 0.5
p 0.5
b 2.5
q 1
p 0.5
a 0.5
b 1.5
a 1
p 1
a 3.5
f 2
a 0.5
p 1.5
a 0.5
p 1
n 4
p 2.5
d 5
p 0.5
s 0.5
p 0.5
a 1
d 1
a 0.5
b 0.5
d 0.5
g 1
m 1
b 1
a 0.5
d 0.5
g 0.5
s 0.5
d 2.5
p 0.5
d 4.5
v 1
s 0.5
p 0.5
a 1
f 0.5
b 2
s 0.5
g 1
s 0.5
p 1
d 4
b 1
s 1
a 0.5
p 0.5
d 0.5
p 0.5
b 1
d 0.5
b 1.5
d 0.5
p 0.5
b 1
p 0.5
a 0.5
g 0.5
n 0.5
d 0.5
p 0.5
s 0.5
a 2
p 0.5
g 0.5
a 2
p 0.5
a 0.5
v 1
a 1.5
n 0.5
v 1.5
s 1
a 0.5
b 1
p 0.5
d 0.5
p 0.5
d 0.5
p 0.5
d 1
g 1
a 1
b 1
s 0.5
p 0.5
a 0.5
p 0.5
d 0.5
m 0.5
a 0.5
s 0.5
p 0.5
d 0.5
g 0.5
b 0.5
d 0.5
p 0.5
b 0.5
p 0.5
a 0.5
d 0.5
g 0.5
n 0.5
p 1
d 2.5
g 1
d 2.5
p 0.5
v 0.5
a 1.5
p 0.5
a 0.5
b 1.5
m 1
s 0.5
p 0.5
m 0.5
p 1
d 3.5
a 0.5
d 2
g 1
d 0.5
m 0.5
g 1
p 0.5
d 0.5
g 1
p 1
b 0.5
p 0.5
a 0.5
p 0.5
g 0.5
p 0.5
d 0.5
p 1
a 1.5
b 0.5
p 0.5
b 0.5
a 1
n 1
a 3
n 0.5
a 0.5
n 2
s 0.5
p 0.5
a 0.5
p 0.5
s 0.5
p 0.5
s 1.5
p 0.5
a 0.5
s 1
p 0.5
b 1
a 0.5
s 0.5
p 0.5
a 1
s 1.5
p 0.5
a 0.5
p 0.5
s 1
a 0.5
p 0.5
a 0.5
n 1
a 1
s 2
a 1
s 1
p 0.5
s 1
p 0.5
d 0.5
p 1
n 3.5
a 0.5
p 2.5
a 0.5
p 3
a 0.5
p 0.5
s 0.5
p 2.5
w 0.5
a 1
p 0.5
s 0.5
p 0.5
s 0.5
p 0.5
a 0.5
s 1
p 1.5
f 0.5
s 0.5
p 0.5
a 0.5
p 0.5
w 0.5
a 0.5
s 0.5
p 0.5
a 0.5
p 0.5
s 0.5
w 0.5
s 1
b 0.5
a 0.5
p 1
a 0.5
g 1
b 1
g 1
t 0.5
p 3
g 1
p 1
e 1.5
b 4
p 0.5
g 0.5
p 1.5
q 0.5
p 0.5
j 0.5
b 0.5
q 1
p 0.5
d 0.5
m 0.5
g 0.5
n 0.5
g 1
p 1.5
q 0.5
a 1
q 0.5
n 1.5
q 0.5
d 0.5
n 2
s 0.5
p 0.5
a 1.5
p 0.5
b 0.5
a 0.5
b 0.5
p 0.5
d 1
a 0.5
p 0.5
g 0.5
p 0.5
d 0.5
j 1.5
p 0.5
j 0.5
d 0.5
j 0.5
g 0.5
j 0.5
m 1
b 1
q 0.5
a 0.5
n 0.5
p 0.5
s 0.5
p 1
m 0.5
n 2
p 0.5
a 2.5
q 0.5
p 0.5
q 0.5
p 0.5
q 1.5
p 0.5
j 0.5
p 0.5
q 0.5
b 0.5
p 0.5
a 1
b 3
a 0.5
p 0.5
b 1.5
p 2
e 1
a 2
p 0.5
a 0.5
g 1
h 0.5
p 0.5
b 0.5
g 0.5
p 1.5
g 0.5
j 1.5
p 0.5
q 1
g 0.5
n 0.5
p 1
m 0.5
p 1
q 1
n 0.5
p 1
q 1
h 0.5
q 0.5
p 0.5
d 1.5
p 0.5
s 0.5
a 2.5
s 1
b 0.5
n 0.5
b 0.5
m 1
f 1
p 2
j 0.5
p 0.5
j 0.5
p 1
m 0.5
g 1
m 1
h 0.5
p 1
e 0.5
p 1
w 0.5
j 0.5
p 0.5
m 2
p 0.5
m 0.5
q 0.5
m 0.5
a 1
p 0.5
q 0.5
h 1
p 1
h 0.5
p 0.5
w 0.5
p 0.5
a 1.5
b 1
w 1.5
a 0.5
b 3
m 1
b 1
d 2
b 2
d 1.5
p 0.5
f 1.5
b 2
p 0.5
q 1.5
p 0.5
b 1.5
p 0.5
f 1
b 0.5
p 0.5
a 2.5
q 0.5
p 0.5
a 1.5
n 0.5
a 1
d 3.5
r 0.5
n 0.5
a 1
h 0.5
p 0.5
n 0.5
a 1.5
q 0.5
u 0.5
a 0.5
q 0.5
d 0.5
b 0.5
a 0.5
d 1
a 3
b 2
m 1
t 0.5
p 0.5
b 1.5
p 0.5
d 0.5
m 1
p 0.5
n 0.5
a 0.5
u 0.5
a 1
n 1
f 0.5
y 0.5
a 1.5
r 0.5
h 1
n 5.5
p 0.5
n 1.5
d 2
p 0.5
d 0.5
q 0.5
d 2
p 0.5
s 0.5
p 0.5
a 0.5
f 1
p 0.5
a 0.5
p 0.5
d 0.5
p 0.5
s 0.5
b 0.5
d 0.5
a 2
p 0.5
s 0.5
a 0.5
d 1.5
a 0.5
p 0.5
d 0.5
a 1
d 3
a 0.5
s 1.5
a 1
b 3
a 1
f 0.5
p 0.5
a 0.5
d 2.5
g 0.5
a 1
d 1
p 0.5
s 0.5
d 0.5
a 0.5
d 0.5
p 0.5
g 1
p 0.5
d 0.5
g 0.5
p 0.5
m 0.5
p 0.5
b 0.5
p 0.5
a 0.5
d 0.5
s 0.5
p 0.5
a 0.5
s 1
a 1.5
n 1.5
a 1
n 0.5
p 0.5
a 0.5
p 0.5
n 0.5
a 0.5
b 0.5
n 0.5
a 0.5
n 2
p 0.5
s 0.5
a 1
p 0.5
s 0.5
b 0.5
d 0.5
p 0.5
s 0.5
a 1
p 0.5
s 0.5
b 1
a 0.5
b 0.5
s 0.5
p 0.5
a 0.5
p 0.5
s 1.5
a 1
p 0.5
s 0.5
p 1
a 1
p 1
s 0.5
p 1.5
s 0.5
p 0.5
a 0.5
p 0.5
s 1
p 1
w 0.5
n 1
p 1.5
n 1
p 0.5
n 1.5
p 2
n 0.5
p 0.5
a 0.5
s 0.5
p 2.5
a 0.5
p 2.5
a 0.5
s 1
p 1.5
s 1.5
a 1
p 1.5
v 0.5
a 2.5
p 0.5
s 1.5
p 0.5
a 0.5
p 1
b 1
p 0.5
b 0.5
p 0.5
a 0.5
g 0.5
p 0.5
g 1
b 2.5
g 0.5
b 0.5
p 0.5
b 1.5
p 0.5
g 0.5
p 1
e 2.5
p 1.5
g 0.5
b 1
g 0.5
p 2.5
n 0.5
p 1
q 1
u 2
p 0.5
g 1
p 1
q 1
a 0.5
q 1
n 0.5
w 0.5
p 0.5
q 1
g 0.5
p 0.5
g 0.5
b 1
p 0.5
a 0.5
d 0.5
s 0.5
g 1
b 1.5
m 0.5
p 1.5
g 0.5
p 1
j 3.5
b 0.5
d 1
m 0.5
b 0.5
q 1
p 1
w 1
b 0.5
m 0.5
v 1
p 1.5
j 0.5
p 0.5
a 1
h 0.5
a 1
p 0.5
f 0.5
p 0.5
q 0.5
p 0.5
a 0.5
j 0.5
p 1
f 0.5
b 0.5
a 2
s 0.5
g 1
p 1.5
