# 曲名：世间美好与你环环相扣
# 推荐节拍：500 ms/拍
# 制谱说明：完整网易云原版音频经 Basic Pitch 转 MIDI，再做单旋律聚类与21键自然音阶映射；候选需游戏内试听复核。
p 2
a 1
d 1
g 3
e 1
w 2
s 0.5
g 1
w 0.5
g 0.5
r 1
w 1.5
q 2.5
h 1
q 0.5
p 0.5
e 0.5
w 1
q 1.5
m 1
d 1
g 0.5
j 3
d 0.5
j 1
h 2.5
r 2
f 0.5
h 1.5
p 0.5
m 0.5
s 1
g 1
j 2.5
s 1
g 1
q 1.5
d 1
q 0.5
a 0.5
p 0.5
q 1
g 1.5
m 0.5
j 4.5
g 1.5
p 0.5
g 1.5
q 0.5
g 0.5
f 0.5
s 0.5
d 0.5
s 0.5
p 0.5
j 1.5
s 0.5
d 1
p 0.5
q 0.5
f 0.5
g 0.5
d 0.5
s 1.5
j 0.5
s 1
p 0.5
h 0.5
a 1
q 0.5
p 0.5
d 0.5
s 0.5
d 0.5
s 0.5
j 0.5
s 0.5
a 0.5
s 1
d 0.5
p 0.5
d 0.5
q 0.5
p 0.5
g 0.5
j 0.5
s 0.5
g 0.5
j 1
g 0.5
p 0.5
g 1
p 1
f 1
p 0.5
s 1.5
j 1
a 0.5
s 0.5
p 0.5
d 0.5
g 0.5
p 0.5
g 0.5
d 0.5
p 0.5
s 0.5
a 0.5
p 0.5
q 1.5
p 1
f 0.5
a 0.5
q 1
d 1
p 0.5
s 1
j 0.5
s 0.5
m 0.5
s 0.5
d 1.5
g 3
q 0.5
f 1
p 0.5
j 0.5
s 0.5
g 0.5
j 1
g 0.5
s 1
p 2.5
d 1
p 0.5
d 0.5
p 0.5
f 0.5
p 0.5
g 0.5
s 1
p 0.5
j 0.5
g 0.5
m 0.5
a 3
p 0.5
m 1
p 1
d 0.5
j 1
p 2
h 0.5
a 0.5
g 1.5
d 0.5
p 0.5
g 1
d 3
s 0.5
g 0.5
j 0.5
s 1
p 1
g 0.5
p 1
d 0.5
p 0.5
f 0.5
d 0.5
m 0.5
g 1
d 0.5
p 0.5
g 0.5
j 0.5
a 0.5
g 0.5
a 0.5
p 0.5
d 0.5
a 1
p 0.5
m 0.5
p 1
g 1
d 0.5
j 0.5
p 0.5
f 0.5
a 0.5
s 0.5
p 1
g 1
s 1
g 1
s 0.5
a 0.5
f 0.5
a 0.5
d 0.5
a 1.5
j 0.5
w 1
d 1
j 1
d 0.5
a 2
s 0.5
d 0.5
p 1
m 0.5
p 1
m 0.5
p 1
a 2
p 0.5
m 0.5
p 0.5
a 0.5
s 0.5
j 0.5
s 1
p 0.5
a 2.5
s 0.5
d 0.5
p 0.5
m 0.5
p 0.5
j 0.5
m 0.5
p 1.5
f 0.5
a 0.5
f 0.5
p 1
r 1
h 0.5
p 0.5
g 0.5
f 1
d 0.5
s 1
j 1
g 0.5
p 0.5
g 0.5
p 0.5
s 0.5
p 1
n 0.5
d 1
p 0.5
d 0.5
p 0.5
f 1
p 0.5
s 1
p 0.5
s 0.5
a 0.5
m 0.5
a 1.5
p 0.5
a 1
p 0.5
m 1
d 0.5
m 0.5
d 0.5
m 0.5
j 0.5
a 2
h 0.5
p 1
g 0.5
d 1.5
g 0.5
s 0.5
d 3.5
s 0.5
a 0.5
p 0.5
s 0.5
p 2.5
d 1
p 0.5
f 0.5
p 0.5
a 0.5
s 0.5
d 0.5
p 0.5
j 0.5
s 0.5
a 1
p 0.5
a 0.5
p 0.5
d 0.5
a 0.5
p 0.5
d 0.5
m 0.5
g 0.5
p 0.5
g 0.5
d 0.5
j 0.5
f 0.5
p 0.5
a 0.5
p 0.5
s 0.5
p 0.5
a 0.5
g 0.5
s 0.5
g 0.5
s 1
g 0.5
s 0.5
a 0.5
d 1.5
a 1.5
p 0.5
d 1
p 1.5
d 1
p 0.5
d 0.5
f 0.5
g 0.5
d 0.5
a 0.5
s 0.5
w 0.5
s 0.5
j 0.5
t 0.5
a 0.5
p 0.5
a 0.5
q 0.5
h 1
a 0.5
p 0.5
m 0.5
d 0.5
m 0.5
p 0.5
w 0.5
s 0.5
g 0.5
f 0.5
a 0.5
h 0.5
f 0.5
a 0.5
p 0.5
f 0.5
e 0.5
j 0.5
d 1
g 1
d 3
s 1
p 0.5
g 0.5
p 0.5
g 0.5
w 0.5
j 0.5
p 1
d 0.5
p 0.5
g 0.5
f 0.5
q 0.5
p 0.5
t 0.5
w 0.5
j 0.5
t 0.5
d 0.5
m 0.5
a 1
p 0.5
d 0.5
a 1
p 0.5
m 0.5
j 0.5
p 1
w 0.5
j 0.5
g 0.5
r 0.5
h 0.5
p 0.5
f 0.5
h 0.5
a 0.5
f 0.5
g 0.5
t 0.5
g 0.5
s 0.5
p 0.5
s 0.5
a 0.5
p 0.5
a 2
q 1.5
d 0.5
p 0.5
g 1
p 0.5
a 2.5
s 0.5
d 0.5
p 0.5
m 1
p 0.5
j 0.5
m 0.5
p 0.5
a 2.5
p 0.5
m 1
a 0.5
p 0.5
j 1.5
a 2.5
p 0.5
s 0.5
d 0.5
m 1
p 0.5
j 1
p 1
a 2
p 0.5
n 0.5
j 0.5
g 1
m 0.5
p 0.5
s 0.5
h 0.5
p 0.5
s 0.5
g 0.5
f 0.5
a 0.5
p 1
a 1.5
q 0.5
a 0.5
g 1
q 2.5
g 1.5
d 0.5
a 0.5
d 0.5
p 12.5
q 1
p 0.5
q 1.5
p 2
q 1
p 1
q 1
p 1
q 0.5
p 4.5
