# 曲名：可惜没如果
# 推荐节拍：500 ms/拍
# 来源：https://www.bilibili.com/video/BV1sw411v7YQ/
# 演唱/作者：林俊杰
# 制谱说明：完整 B 站音频自动转谱候选，需游戏内试听
# 状态：requires_in_game_audition（自动转谱候选，未人工定稿）
# 由21键曲谱播放器生成
# 格式：按键 拍数；p 表示休止，同时按键写在一起
# 录制基准：500 ms/拍
p 4.5
qn 0.75
d 0.375
hn 0.375
qn 0.75
d 0.75
q 0.75
d 0.375
hn 0.375
qh 0.75
d 0.75
jb 0.75
s 0.375
g 0.375
tj 0.75
s 0.75
wsj 0.125
t 0.625
g 0.75
tgjb 1.5
qn 0.75
d 0.375
hn 0.375
qh 0.75
d 0.75
q 0.75
hn 0.375
qd 0.375
edn 0.75
eyhn 0.75
wtugb 0.75
tg 0.75
u 0.125
j 0.625
t 0.75
wug 0.5
b 1.125
y 1.375
qn 0.75
ud 0.375
uhn 0.375
q 0.75
d 0.75
q 0.75
ud 0.375
uhn 0.375
qn 0.75
d 0.75
jb 0.75
s 0.375
g 0.375
usj 0.75
g 0.75
wgjb 0.625
t 0.875
tgj 0.25
s 1.25
uh 0.75
e 0.375
yh 0.375
yu 0.25
e 0.5
e 0.75
uhn 0.75
e 0.375
yh 0.375
yu 0.75
yuh 0.75
ug 0.75
wtg 0.375
wtg 0.375
wtu 0.125
b 0.625
t 0.5
g 0.25
tu 0.5
b 0.75
w 1.25
b 0.5
qn 1.25
qd 0.5
q 0.5
q 0.75
q 0.75
qd 0.25
hn 0.375
q 1.125
w 0.25
b 0.125
j 0.125
wb 0.625
s 0.375
g 0.375
j 0.75
s 0.375
s 0.75
ws 0.5
ws 0.25
g 0.125
b 0.25
wsgj 0.5
q 0.125
s 0.125
q 0.625
qn 0.75
d 0.375
hn 0.375
q 0.875
q 0.25
q 0.625
q 0.5
q 0.125
n 0.25
h 0.125
q 0.25
q 0.75
d 0.375
j 0.375
jb 0.375
j 0.375
s 0.375
wsb 0.375
j 0.375
u 0.25
w 0.125
g 0.875
w 0.25
g 1.25
t 0.125
u 0.375
g 1.125
qn 0.875
n 0.125
d 0.125
q 0.375
q 0.75
qd 0.75
q 0.25
q 0.5
d 0.125
j 0.25
qhn 0.375
q 0.5
q 0.5
w 0.5
jb 0.375
w 0.375
s 0.125
j 0.25
g 0.375
j 0.75
s 0.5
ws 0.25
j 0.125
w 0.375
w 0.25
j 0.125
ws 0.25
g 0.375
wsgjb 0.625
w 0.125
g 0.25
e 0.5
e 0.125
z 0.125
e 0.5
g 0.375
q 0.375
e 0.125
a 0.625
g 0.875
w 0.125
g 0.25
e 0.375
wg 0.375
q 0.375
e 0.125
qg 0.625
g 0.125
w 0.125
e 0.5
wm 0.75
wg 0.5
t 0.125
wg 0.75
wtg 0.75
wtg 1
m 0.5
h 0.5
h 0.5
tg 0.125
j 0.625
qn 0.75
dhn 0.5
h 0.25
qh 0.125
u 0.5
d 0.75
qn 0.25
a 0.125
d 0.5
d 0.25
hn 0.25
d 0.125
q 0.125
d 0.25
d 0.25
h 0.25
q 0.5
jb 0.375
j 0.375
sj 0.375
g 0.25
tgj 0.5
s 0.375
s 0.625
b 0.375
b 0.25
j 0.25
s 0.125
j 0.25
tg 0.25
h 0.125
j 0.25
h 0.5
g 0.25
s 0.125
j 0.25
b 0.125
qav 0.25
qa 0.375
q 0.5
h 0.625
q 0.5
uf 0.75
qav 1.5
qa 0.875
q 0.25
w 0.375
ws 0.125
b 0.125
w 0.25
w 0.125
b 0.125
w 0.25
j 0.375
w 0.25
s 0.5
tuj 0.25
s 0.625
t 1
tg 0.875
em 0.5
wua 0.875
ez 0.25
d 0.125
e 0.25
g 0.375
qa 0.375
e 0.75
g 0.75
etad 0.125
z 0.125
e 0.125
d 0.25
wg 0.25
t 0.125
a 0.375
ed 0.25
t 0.375
q 0.125
g 0.5
j 0.25
eh 0.25
gz 0.5
gm 0.125
t 0.25
gm 0.125
t 0.125
eg 0.125
t 0.875
g 0.625
gm 0.25
e 0.375
g 0.125
w 0.25
m 0.375
em 0.75
g 0.125
m 0.125
j 0.375
hn 0.125
d 0.125
n 0.125
h 0.625
n 0.125
t 0.125
q 0.25
y 0.125
e 0.125
yd 0.625
h 0.5
n 0.375
dn 0.25
t 0.125
q 0.25
n 0.125
r 0.25
q 0.375
ed 0.375
e 0.375
h 0.375
r 0.375
d 0.125
rb 0.375
eud 0.625
j 0.375
e 0.625
j 0.125
g 0.875
db 0.25
ed 0.5
wgb 0.25
j 0.25
b 0.125
ed 0.125
b 0.25
j 0.25
egb 0.125
j 0.625
rav 0.125
fg 0.375
g 0.375
h 0.25
h 0.375
r 0.125
tv 0.5
y 0.875
t 0.125
s 0.125
b 0.125
t 0.5
r 0.25
tj 0.125
e 0.25
t 0.125
e 0.625
r 0.25
g 0.5
cm 0.25
t 0.625
d 0.25
g 0.25
et 0.375
t 0.375
t 0.125
g 0.75
qn 0.125
z 0.375
a 0.5
a 0.25
wd 0.125
z 0.125
qa 0.375
ed 0.5
w 0.375
e 0.25
ex 0.125
n 0.25
x 0.25
j 0.125
x 0.125
h 0.125
qx 0.25
q 0.375
e 0.25
w 0.25
h 0.375
qe 0.375
t 0.125
c 1
q 0.125
w 0.25
tc 0.125
q 0.375
e 0.375
w 0.75
t 0.125
rv 0.375
ru 0.625
qt 0.25
r 0.125
t 0.25
r 0.125
q 0.625
q 0.375
tb 0.75
b 0.375
qg 0.375
b 0.25
b 0.125
e 0.25
wuhb 0.375
q 0.25
e 0.125
z 0.125
b 0.125
e 0.25
e 0.25
ez 0.375
qa 0.375
e 0.75
ag 0.75
ead 0.25
ed 0.375
ag 0.125
w 0.375
ead 0.375
d 0.125
g 0.25
d 0.125
q 0.125
z 0.125
gj 0.375
h 0.125
u 0.25
jm 0.25
z 0.375
r 0.25
tg 0.25
m 0.125
tj 0.25
t 0.125
eu 0.125
u 0.625
g 0.125
z 0.375
m 0.375
em 0.5
e 0.25
g 0.125
w 0.375
e 0.375
em 0.125
gj 0.375
ujm 0.125
g 0.625
h 0.125
dn 0.125
h 0.75
y 0.25
q 0.375
eh 0.125
yd 0.625
h 0.75
rdn 0.25
t 0.625
edn 0.25
q 0.125
d 0.25
e 0.375
ed 0.25
qd 0.125
h 0.125
d 0.25
r 0.125
d 0.25
rb 0.375
e 0.125
u 0.125
e 0.375
j 0.375
e 0.125
uj 1
y 0.5
b 0.375
t 0.25
b 0.125
r 0.25
dj 0.375
b 0.125
ed 0.375
j 0.375
gb 0.125
j 0.625
rahv 0.375
h 0.375
h 0.625
h 0.25
r 0.5
y 0.25
f 0.625
rtsb 0.5
t 0.375
r 0.25
ej 0.375
et 0.125
q 0.625
rj 0.5
r 0.125
um 0.125
tc 0.875
d 0.375
g 0.25
t 0.25
tg 0.25
td 0.5
g 0.125
d 0.5
qn 0.125
z 0.625
an 0.125
q 0.25
wd 0.125
z 0.125
q 0.5
e 0.25
d 0.125
w 0.625
x 0.125
e 0.25
x 0.375
x 0.125
q 0.25
ws 0.375
e 0.375
e 0.375
h 0.25
w 0.5
etdcb 0.25
c 0.25
g 0.5
q 0.25
w 0.125
t 0.125
gc 0.25
t 0.125
e 0.5
w 0.625
tv 0.125
rf 0.375
u 0.625
q 0.375
rt 0.25
v 0.125
r 0.5
t 0.25
f 0.5
tb 0.25
r 0.125
z 0.25
e 0.5
r 1
z 0.125
j 0.625
gz 0.125
qu 1.25
qaz 0.375
q 0.375
qa 0.125
z 0.125
wb 0.125
q 0.25
q 0.5
q 0.5
a 0.125
z 0.625
qwg 0.125
z 0.25
z 0.125
b 0.25
az 0.75
qeag 0.5
z 0.25
a 0.25
z 0.25
ax 0.5
x 0.625
a 1.875
d 1.25
n 0.25
hzn 0.125
d 0.25
n 1.125
dz 0.5
hc 0.125
d 0.125
hn 0.25
m 0.25
m 0.25
d 0.125
ua 0.25
zn 0.375
n 0.125
a 0.25
q 0.375
d 0.25
m 0.125
u 0.625
nm 0.375
