# 曲名：Megalovania
# 推荐节拍：500 ms/拍
# 来源：https://www.bilibili.com/video/BV17ZNk6wEac/
# 演唱/作者：Toby Fox
# 制谱说明：完整 B 站音频自动转谱候选，需游戏内试听
# 状态：requires_in_game_audition（自动转谱候选，未人工定稿）
# 由21键曲谱播放器生成
# 格式：按键 拍数；p 表示休止，同时按键写在一起
# 录制基准：500 ms/拍
n 0.5
h 0.5
d 0.75
s 0.5
s 0.5
a 1
s 0.25
b 0.5
h 0.5
d 0.75
s 0.5
s 0.5
a 1.25
v 0.5
h 0.5
d 0.75
s 0.5
s 0.5
a 1.25
v 0.5
h 0.5
d 0.75
s 0.5
s 0.5
a 1.25
n 0.25
h 0.75
d 1.75
a 0.25
d 1
b 0.25
b 1.25
b 0.75
b 0.5
a 1.25
v 0.25
v 2.625
a 1.125
v 0.25
v 0.875
v 0.625
b 1
a 1.25
cn 0.5
ahn 0.5
dn 0.5
n 0.25
z 0.25
c 0.125
n 0.125
c 0.125
an 0.875
n 0.75
b 0.125
t 0.25
b 0.125
m 1.25
b 1
a 1.25
v 0.25
v 0.25
n 0.125
v 0.5
v 0.25
v 1.375
a 0.125
u 0.5
v 0.75
r 0.125
v 0.25
vn 0.75
n 0.75
x 1.25
x 0.75
cn 0.375
n 0.125
a 0.5
n 1.25
c 0.75
n 0.25
n 0.125
c 0.5
b 0.25
b 2.5
a 0.75
x 0.5
r 0.125
v 0.375
v 1
v 0.5
v 0.625
v 0.25
uv 1.25
rv 0.5
vn 1.75
b 1.75
u 0.5
ucn 1
n 0.25
zc 0.125
u 0.375
n 0.5
yn 0.5
y 0.125
an 0.5
ux 0.25
h 0.25
ux 1.25
ub 0.25
m 0.875
u 0.625
x 0.875
uv 2
v 0.5
v 0.25
u 0.25
v 0.25
u 0.25
v 0.5
n 0.375
u 0.25
a 0.125
u 2.75
un 0.5
cn 0.375
n 0.375
c 0.5
ud 0.25
c 0.25
c 0.5
yu 0.5
yn 0.75
b 0.25
x 0.25
x 0.75
m 0.75
b 1.5
ub 0.75
v 0.25
uh 0.25
v 0.25
u 1
u 0.375
v 0.125
u 0.375
v 0.125
u 0.5
v 0.5
qrv 0.375
v 0.125
n 0.25
v 0.5
vn 0.5
ub 0.5
b 0.25
u 0.25
b 0.25
u 0.375
u 0.125
b 0.625
n 0.125
v 0.25
vn 0.75
v 0.25
n 0.25
n 0.25
yv 0.5
v 0.375
a 0.125
n 0.5
v 0.125
n 0.375
ubm 0.25
yhx 0.25
u 0.5
u 0.125
wsb 0.125
m 0.25
ub 0.375
