# 曲名：God knows...
# 推荐节拍：500 ms/拍
# 来源：https://archive.org/details/haruhiproject
# 演唱/作者：Aya Hirano as Haruhi Suzumiya
# 制谱说明：完整音频 Basic Pitch 自动转谱候选；来源许可未声明，仅供本地试听；需游戏内校准
# 状态：requires_in_game_audition（自动转谱候选，未人工定稿）
# 由21键曲谱播放器生成
# 格式：按键 拍数；p 表示休止，同时按键写在一起
# 录制基准：500 ms/拍
p 3.375
f 0.25
d 0.375
ag 0.25
agz 0.25
z 0.125
a 0.25
g 0.125
a 0.25
u 0.125
a 0.125
g 0.125
a 0.125
ab 0.875
a 0.375
us 0.125
hn 0.375
wh 0.125
sx 0.25
hx 0.125
ux 0.125
ua 0.25
a 0.125
h 0.125
sx 0.5
sx 0.875
a 0.25
ufzm 0.25
m 0.25
fm 0.125
u 0.25
z 0.125
um 0.625
m 0.125
u 0.375
m 0.25
uh 0.125
x 0.25
ux 0.5
j 0.125
dc 0.25
dc 0.125
u 0.25
u 0.125
djc 0.25
ux 0.25
ud 0.25
ec 0.125
m 0.125
uc 0.125
m 0.375
dc 0.25
gb 0.125
u 0.375
uagb 0.25
a 0.25
a 0.25
g 0.375
um 0.25
tg 0.125
z 0.125
a 0.125
u 0.125
ab 0.25
g 0.125
a 0.125
u 0.125
m 0.25
a 0.125
u 0.25
a 0.25
usx 0.25
n 0.125
w 0.125
shx 0.125
u 0.125
wshn 0.375
u 0.5
wsh 0.25
ws 0.375
u 0.125
a 0.25
us 0.125
n 0.25
d 0.125
c 0.25
jc 0.375
n 0.125
d 0.25
c 0.125
ec 0.25
c 0.25
dm 0.125
c 0.5
c 0.25
b 0.25
n 0.25
en 0.125
td 0.125
u 0.375
d 0.25
e 0.125
d 0.5
c 0.125
d 0.375
dcn 0.25
c 0.125
udn 0.5
m 0.125
g 0.125
u 0.25
ag 0.125
b 0.125
a 0.375
ag 0.25
ua 0.25
u 0.25
agb 0.375
ua 0.25
a 0.125
u 0.125
vm 0.25
ug 0.5
ush 0.125
x 0.125
t 0.125
hbn 0.125
s 0.125
ux 0.25
shx 0.25
xn 0.125
u 0.25
sn 0.125
h 0.25
usx 0.125
n 0.125
shx 0.25
shxn 0.125
u 0.25
a 0.125
uz 0.125
a 0.25
um 0.125
f 0.125
m 0.125
z 0.125
m 0.25
m 0.875
uzm 0.375
m 0.125
u 0.125
hx 0.375
u 0.125
x 0.25
ud 0.125
j 0.125
dm 0.125
u 0.125
udc 0.25
c 0.375
h 0.125
ux 0.5
jc 0.125
u 0.25
zm 0.25
ucm 0.125
d 0.25
n 0.125
u 0.375
ag 0.25
zb 0.125
ad 0.375
ag 0.375
um 0.25
ag 0.125
z 0.125
ub 0.375
a 0.125
ug 0.125
z 0.25
z 0.625
u 0.125
sx 0.25
h 0.125
un 0.125
x 0.125
shn 0.375
u 0.25
sh 0.25
ws 0.375
sx 0.25
un 0.25
x 0.25
x 0.5
e 0.125
dm 0.125
u 0.5
ec 0.125
dc 0.25
e 0.125
c 0.25
n 0.25
c 0.125
m 0.125
c 0.125
u 0.25
d 0.125
uc 0.375
un 0.25
udc 0.375
ud 0.125
cn 0.375
uc 0.375
u 0.125
d 0.125
eud 0.25
c 0.125
d 0.625
m 0.375
n 0.25
cm 0.25
tdcm 0.25
j 0.25
t 0.125
a 0.125
jc 0.25
cm 0.375
td 0.25
tc 0.625
dc 0.25
j 0.375
cm 0.125
dcn 0.75
m 0.125
c 0.375
t 0.375
c 0.375
tc 0.375
r 0.375
t 0.125
s 0.25
sx 0.125
n 0.125
rx 0.5
rn 0.25
sxn 0.375
rh 0.125
x 0.125
n 0.5
rx 0.25
n 0.25
r 0.25
s 0.25
n 0.75
n 0.125
wsx 0.5
x 0.25
n 0.125
wsx 0.375
s 0.75
q 0.375
qrag 0.25
az 0.25
az 0.375
tag 0.125
q 0.75
a 0.125
z 0.5
r 1
shxn 0.25
x 0.625
x 0.125
ws 0.125
x 0.125
w 0.625
x 0.25
t 0.125
x 0.25
y 0.25
f 0.125
t 0.25
ysb 0.25
zb 0.5
u 0.5
z 0.25
ys 0.25
g 0.125
ub 0.75
f 0.5
f 0.125
vm 0.125
f 0.125
v 0.25
uv 0.375
v 0.125
qn 0.375
v 0.25
m 0.25
zm 0.75
m 0.25
m 0.25
zm 0.25
m 0.125
dc 0.25
t 0.5
td 0.5
tdc 0.375
jc 0.125
d 0.25
dc 0.125
t 0.125
jc 0.375
dj 0.5
c 0.375
tdc 0.375
c 0.125
t 0.125
dj 0.125
c 0.25
c 0.375
tj 0.375
rj 0.125
c 0.375
t 0.5
rsx 0.25
rsx 0.375
rshx 0.25
n 0.25
t 0.125
h 0.25
h 0.125
r 0.25
sxn 0.125
r 0.125
shx 0.125
n 0.25
r 0.125
sx 0.375
sx 0.375
r 0.125
sx 0.375
s 0.125
tx 0.125
s 0.125
tx 0.25
r 0.125
sn 0.25
rsn 0.125
x 0.25
rh 0.125
x 0.25
r 0.625
ag 0.125
t 0.125
gz 0.375
ag 0.625
a 0.25
ag 0.25
tg 0.125
a 0.375
a 0.25
a 0.25
a 0.375
sx 0.375
sx 0.375
shxn 0.375
wshx 0.875
sx 0.375
hx 0.375
tg 0.5
yb 0.125
s 0.375
ub 0.375
g 0.125
b 0.25
sb 0.25
b 0.25
b 0.25
ugb 0.5
b 0.125
u 0.25
g 0.125
b 0.375
b 0.25
b 0.125
b 0.375
b 0.5
b 0.375
b 0.25
b 0.25
b 0.375
ub 0.25
z 0.25
a 0.125
y 0.375
eag 0.125
u 0.375
a 0.375
zm 0.375
azb 0.5
y 0.125
n 0.5
e 0.375
ag 0.125
b 0.25
a 0.25
a 0.125
ag 0.625
e 0.125
a 0.125
b 0.125
a 0.375
g 0.125
ua 0.125
j 0.25
x 0.125
ux 0.25
uaz 0.375
yjzm 0.375
j 0.125
u 0.5
m 0.25
yn 0.125
sh 0.125
r 0.125
m 0.375
m 0.125
z 0.25
m 0.125
m 0.375
yfz 0.125
sm 0.375
wfm 0.375
fz 0.5
em 0.125
n 0.375
z 0.25
m 0.25
m 0.5
m 0.625
tdn 0.125
qz 0.375
r 0.125
n 0.25
dn 0.375
n 0.25
n 0.5
n 0.5
zn 0.125
d 0.75
a 0.125
q 0.375
qaz 0.25
tagz 0.625
ta 0.125
a 0.25
a 0.125
g 0.5
yz 0.375
y 0.375
fm 0.25
uzm 0.25
j 0.125
dm 0.25
u 0.375
j 0.125
um 0.25
c 0.125
m 0.25
fjm 0.375
m 0.25
u 0.625
m 0.125
m 0.25
m 2
n 0.5
u 0.125
u 0.125
a 0.125
udg 0.125
az 0.125
g 0.5
yz 0.5
ag 0.125
yvb 0.125
yz 0.375
a 0.25
m 0.25
m 0.25
z 0.25
u 0.125
sx 0.375
ysx 0.25
ysh 0.125
xn 0.75
s 0.125
x 0.25
x 0.375
sn 0.125
h 0.125
x 0.375
a 0.125
um 0.125
fz 0.125
m 0.25
m 0.25
m 0.125
ufm 0.375
n 0.25
m 0.125
um 0.5
ujz 0.125
m 0.125
n 0.125
wux 0.375
ux 0.25
ej 0.125
adc 0.125
n 0.25
c 0.25
dc 0.25
d 0.125
jc 0.625
yc 0.25
c 0.25
m 0.125
uj 0.125
zm 0.25
dn 0.125
u 0.25
cb 0.375
q 0.25
edzn 0.125
c 0.125
e 0.375
n 0.125
d 0.75
dzn 0.125
u 0.125
n 0.125
n 0.125
n 0.125
n 0.25
n 0.375
m 0.25
yzm 0.125
x 0.125
w 0.125
m 0.125
m 0.125
um 0.5
zm 0.125
u 0.25
u 0.25
m 0.125
w 0.375
sx 0.625
jc 0.25
yu 0.125
jm 0.125
c 0.25
yj 0.125
dc 0.5
yc 0.375
tc 0.25
gzm 0.75
axn 0.625
n 0.25
zn 0.375
n 0.125
x 0.25
t 0.25
gb 0.125
yb 0.375
ub 0.25
b 0.375
un 0.25
u 0.125
ad 0.125
gb 0.125
az 0.25
a 0.5
a 0.125
z 0.125
a 0.125
ug 0.125
a 0.25
a 0.25
az 0.625
az 0.375
ux 0.125
s 0.25
sx 0.375
sx 0.125
sx 0.125
h 0.125
x 0.375
y 0.25
s 0.125
x 0.125
m 0.125
h 0.125
x 0.125
s 0.125
hx 0.5
us 0.125
jm 0.125
f 0.125
xm 0.125
z 0.125
m 0.25
fnm 0.375
um 0.125
f 0.25
m 0.125
z 0.125
m 0.375
m 0.25
wsm 0.125
x 0.375
ux 0.25
d 0.25
dc 0.25
dn 0.125
c 0.125
un 0.125
d 0.125
c 0.25
y 0.5
d 0.25
u 0.125
zm 0.375
y 0.125
c 0.25
c 0.25
en 0.25
n 0.125
n 0.125
ezn 0.25
e 0.25
n 0.25
n 0.125
n 0.125
az 0.25
u 0.125
n 0.25
