# 曲名：泡沫
# 推荐节拍：500 ms/拍
# 来源：https://music.163.com/song?id=1304720983
# 演唱/作者：G.E.M. 邓紫棋
# 制谱说明：完整专辑音频 Basic Pitch 自动转谱候选；需游戏内试听与校准
# 状态：requires_in_game_audition（自动转谱候选，未人工定稿）
p 3
h 0.5
j 0.375
j 0.875
j 1
j 0.875
h 0.625
uh 0.5
h 2.25
h 0.375
j 0.625
q 0.875
q 0.25
w 0.5
u 0.125
w 0.75
h 0.375
h 0.5
u 0.625
u 1.125
u 1
h 0.75
u 0.125
h 1.125
h 0.625
th 0.375
h 0.625
g 1
h 0.375
q 0.75
u 1.625
j 0.75
w 0.875
w 0.375
e 0.625
eu 1.125
h 0.625
u 0.125
q 1.75
u 0.875
h 0.375
j 0.5
uj 0.875
h 0.25
u 0.375
j 0.25
j 0.875
h 0.75
u 0.375
g 0.5
h 1.125
u 1
j 0.625
q 0.25
q 0.625
q 0.25
w 0.625
wu 1
h 0.125
g 0.25
h 0.125
g 0.375
u 1.75
u 1
g 0.375
h 0.5
u 0.25
h 0.5
u 0.125
h 0.875
th 0.875
g 0.875
uh 0.5
j 1.375
u 0.125
j 0.25
q 0.125
h 0.25
q 0.125
h 0.25
q 0.125
u 0.375
j 0.125
u 0.75
t 0.625
u 0.375
tu 1.75
u 0.5
g 0.375
g 1
ug 0.875
j 0.875
wr 0.375
w 0.5
w 0.5
e 0.375
qetu 0.375
a 0.25
e 0.25
et 0.375
e 0.25
a 0.375
tua 1
w 0.25
et 0.5
tu 0.25
e 0.375
e 0.5
w 0.875
wtua 0.375
e 0.75
w 0.75
tys 0.25
ws 0.625
h 0.375
h 0.5
tu 0.75
gh 0.375
h 0.625
ruh 0.375
h 0.375
f 0.25
r 0.625
wryuh 0.875
h 0.25
w 0.125
j 0.375
rgj 1.125
w 0.125
j 0.5
rub 0.375
w 0.5
wh 0.5
j 0.5
wru 0.125
j 0.75
h 0.375
u 0.5
rfj 0.25
j 0.375
t 0.375
h 0.75
rudj 0.25
h 0.75
f 0.75
wr 0.875
r 0.625
g 0.375
wug 0.75
th 0.375
h 0.5
wtuj 0.5
ug 0.5
j 0.125
t 0.375
q 0.375
qu 0.125
n 0.125
qg 0.75
q 0.125
n 0.5
u 0.5
q 0.5
h 0.375
q 0.5
y 0.125
q 0.25
g 0.375
q 0.5
j 0.5
j 0.25
q 0.125
u 1
j 0.375
wus 0.25
j 0.375
g 0.25
h 0.125
g 0.125
h 0.625
u 0.25
s 0.25
g 0.375
g 0.25
h 0.125
w 0.125
h 0.375
u 0.125
h 1
g 0.75
ug 0.25
h 0.125
w 0.5
sg 0.75
gb 0.5
j 0.375
wg 0.875
gjb 0.75
g 1
tyub 1.5
u 0.25
tyugj 1
u 0.75
ryuj 0.375
s 4.125
y 0.375
u 0.5
u 0.875
ub 0.75
edg 0.25
u 0.625
z 0.125
y 0.25
y 0.5
y 0.625
y 0.375
z 2
u 0.375
et 0.125
qu 0.5
n 0.375
u 0.125
u 0.375
u 0.25
wthx 0.125
u 0.75
s 0.125
y 0.875
y 0.5
y 0.375
wrh 0.25
s 1.875
yh 0.625
wryh 0.875
yx 0.5
yx 0.375
wrb 0.25
y 0.125
t 0.5
tz 0.5
t 0.375
yu 0.375
u 0.375
t 0.125
wu 0.25
z 1.5
yb 0.25
u 0.5
wg 0.125
tu 0.375
r 0.5
ug 0.25
um 0.25
u 0.25
wtg 0.125
uc 0.5
d 0.25
u 0.5
u 0.625
u 0.625
wtg 0.125
d 0.125
c 1.625
y 0.25
u 0.25
u 0.125
wtg 0.125
u 1
u 0.625
e 0.125
u 0.25
y 0.125
u 0.125
hz 0.25
y 0.75
yh 0.5
y 0.375
y 0.125
eh 1.875
yhn 0.375
u 0.5
qet 0.125
u 0.125
n 0.75
un 0.25
u 0.5
wthx 0.125
