# 曲名：红豆
# 推荐节拍：500 ms/拍
# 来源：https://www.bilibili.com/video/BV1J15nzVE6f/
# 演唱/作者：王菲
# 制谱说明：完整音频 Basic Pitch 自动转谱候选；需游戏内校准
# 状态：requires_in_game_audition（候选谱，未人工定稿）
# 由21键曲谱播放器生成
# 格式：按键 拍数；p 表示休止，同时按键写在一起
# 录制基准：500 ms/拍
p 0.625
u 1.125
u 0.5
u 1
u 0.5
u 0.5
yu 2.625
y 1.75
u 0.25
u 0.25
ru 1.125
u 0.5
tu 1
u 0.5
tu 0.5
qtua 4.375
b 0.5
tu 0.25
a 0.25
g 0.5
qtag 0.5
ug 0.5
m 0.5
ug 0.25
w 0.25
um 0.5
u 0.5
n 0.5
qd 0.5
edhn 0.5
u 0.25
un 0.125
e 0.125
q 0.125
ub 0.125
ud 0.25
y 0.25
d 0.125
y 0.375
wgb 0.125
u 0.25
b 0.25
wu 0.5
yuv 0.25
rv 0.25
uhz 0.125
uf 0.125
qr 0.375
f 0.125
r 0.375
u 0.125
h 0.75
rf 0.25
h 0.375
r 0.25
u 1
q 0.125
tv 0.25
b 0.375
f 0.625
u 0.5
q 0.875
qg 0.375
g 1.375
qa 0.5
wgb 0.75
q 0.375
gb 0.25
w 0.25
w 0.875
q 1
b 0.125
w 0.625
a 1.625
g 0.125
a 0.5
b 0.5
h 1.125
qn 0.25
w 0.25
d 0.5
q 0.5
t 0.125
w 1
w 0.375
d 0.125
e 0.375
e 0.625
w 2.625
gn 0.75
n 0.875
qv 0.375
w 0.125
a 0.5
af 0.25
q 0.25
g 0.125
qv 2.5
qd 0.5
w 0.125
q 0.25
w 0.25
wd 0.125
e 0.375
td 0.125
w 0.25
q 0.625
q 0.375
d 1.25
qth 0.25
ws 0.75
q 0.75
q 0.375
rsh 0.5
h 0.125
g 0.875
g 0.625
qb 0.5
f 0.5
h 0.5
q 0.5
wfj 0.375
f 0.625
f 0.75
as 0.5
qg 0.125
a 0.125
b 0.125
w 0.125
g 0.25
w 0.25
q 0.5
tg 0.125
wb 0.75
q 0.125
eg 0.125
q 0.375
g 0.25
q 0.5
b 0.375
w 0.5
w 0.5
qe 0.5
wu 0.125
b 0.375
eu 0.5
g 0.5
w 0.5
gb 0.625
qh 0.125
n 0.125
w 0.125
db 0.375
q 0.125
h 0.25
q 0.25
wdb 0.75
n 0.375
wg 0.375
ed 0.125
q 1.125
q 0.25
h 0.25
wdh 0.5
q 0.625
qeudn 0.5
w 0.5
g 0.625
e 0.25
h 0.375
d 0.5
qyhv 0.125
t 0.25
w 0.25
f 0.125
h 0.375
g 0.125
q 0.25
y 1.25
h 1.625
qwd 0.25
db 0.125
w 0.125
g 0.125
d 0.25
qg 0.125
d 0.125
e 0.375
tdb 0.375
q 0.875
q 0.875
sd 0.375
qtshx 0.5
yh 0.625
qth 0.625
t 0.5
sh 0.625
w 0.375
e 0.625
w 0.5
v 0.125
wb 0.375
b 0.25
q 0.375
g 0.5
j 0.625
b 0.125
qf 0.25
s 0.625
u 0.125
g 0.125
w 0.5
adb 0.25
z 0.125
a 0.125
gz 0.25
u 0.125
q 0.5
tg 0.125
e 0.5
e 0.125
q 0.375
qeg 1.125
we 0.375
q 0.5
e 0.125
wtm 0.125
zb 0.125
