# 曲名：匆匆那年
# 推荐节拍：500 ms/拍
# 来源：https://www.bilibili.com/video/BV1kW411f7ya/
# 演唱/作者：王菲
# 制谱说明：完整音频 Basic Pitch 自动转谱候选；需游戏内校准
# 状态：requires_in_game_audition（候选谱，未人工定稿）
# 由21键曲谱播放器生成
# 格式：按键 拍数；p 表示休止，同时按键写在一起
# 录制基准：500 ms/拍
p 8
dc 0.375
cm 0.375
g 0.5
dj 0.5
tdg 0.5
etd 0.5
d 0.125
c 0.25
m 0.375
tg 0.5
dj 0.5
tdg 0.375
etc 0.5
dc 0.5
m 0.5
g 0.5
j 0.375
tg 0.125
d 0.5
ec 0.375
dc 0.5
m 0.5
gm 0.5
djv 0.5
tgbm 0.375
db 0.125
e 0.375
dcm 0.25
j 0.125
c 0.125
m 0.5
g 0.25
m 0.375
m 0.375
tjc 0.25
a 0.125
g 0.25
m 0.25
sxm 0.375
m 0.25
j 0.25
fm 0.5
b 0.25
x 0.25
ujbm 0.125
n 0.25
ug 0.5
sx 0.125
jm 0.375
m 0.5
gn 0.25
s 0.125
dn 0.5
wtj 0.125
b 0.5
e 0.375
an 0.125
hz 0.875
d 0.125
a 0.875
uh 0.375
d 0.5
azb 0.125
w 0.375
a 0.25
b 0.5
b 0.625
b 0.125
e 0.5
q 0.25
a 0.125
sx 0.5
hn 0.5
f 0.125
h 0.375
shb 0.5
h 0.125
n 0.25
ys 0.5
sg 0.125
m 0.125
z 0.25
m 0.5
gm 0.5
m 0.5
tgj 0.125
m 0.25
jm 0.125
wg 0.5
wzm 0.25
s 0.375
zm 0.375
d 0.125
em 0.875
rfm 0.125
v 0.375
m 0.5
dm 0.125
zc 0.5
c 0.25
m 0.125
gc 0.125
z 0.375
dc 0.25
zm 0.25
tjc 0.125
z 0.125
a 0.125
edgzc 0.125
ujm 0.375
zx 0.125
s 0.5
m 0.375
m 0.25
f 0.25
sm 0.125
x 0.125
b 0.25
ujb 0.375
fn 0.5
x 0.125
sg 0.125
jxm 0.375
jm 0.25
um 0.375
sg 0.375
t 0.25
g 0.125
uj 0.125
f 0.375
eg 0.125
u 0.25
e 0.125
zn 0.25
un 0.5
n 0.125
z 0.375
n 0.125
z 0.125
h 0.25
ehn 0.5
h 0.25
uaz 0.375
b 0.125
a 0.125
b 0.375
ub 0.375
ab 0.625
tb 0.125
aj 0.25
c 0.125
e 0.125
b 0.125
sx 0.25
c 0.125
u 0.125
n 0.125
s 0.25
s 0.125
x 0.25
s 0.125
hxn 0.5
rn 0.125
h 0.125
n 0.125
f 0.25
n 0.25
c 0.125
zb 0.125
m 0.375
uv 0.375
c 0.125
j 0.125
g 0.125
m 0.625
c 0.25
g 0.375
d 0.125
tgj 0.125
uc 0.875
tg 0.125
j 0.875
g 0.375
m 0.5
dc 0.5
j 0.25
gjz 0.375
g 0.25
dj 0.5
tfj 0.375
dg 0.5
x 0.5
jm 0.5
j 0.375
g 0.5
ufj 0.5
g 0.5
x 0.5
m 0.125
j 0.375
gj 0.5
dj 0.375
t 0.25
g 0.25
eg 0.375
gz 0.125
d 0.75
d 0.5
ea 0.125
n 0.375
h 0.25
z 0.125
d 0.5
az 0.875
g 0.5
d 0.375
f 0.125
t 0.125
f 0.375
g 0.5
x 0.5
hn 0.375
h 0.5
h 0.5
yh 0.5
sh 0.375
gb 0.25
z 0.25
j 0.5
gj 0.375
j 0.5
tgj 0.5
g 0.5
hz 0.375
m 0.125
h 0.375
ead 0.25
z 0.25
m 0.5
rf 0.125
m 0.75
dc 0.5
m 0.125
j 0.25
g 0.125
j 0.5
d 0.375
tj 0.125
f 0.375
g 0.5
x 0.875
j 0.25
j 0.125
dg 0.5
fj 0.25
g 0.375
g 0.25
x 0.25
jm 0.625
g 0.5
d 0.125
j 0.375
tgj 0.5
eg 0.5
d 0.5
d 0.375
d 0.5
a 0.5
uh 0.5
d 0.625
gz 0.5
a 0.375
g 0.5
dg 0.5
qg 0.5
g 0.375
fx 0.625
f 0.375
d 0.375
dx 0.125
sh 0.5
rsh 0.5
f 0.5
dc 0.375
d 0.5
g 0.375
d 0.5
edj 0.125
c 0.375
gj 0.5
rj 0.25
c 0.25
h 0.5
tgh 0.125
j 0.125
c 0.125
f 0.5
ug 0.125
j 0.375
m 0.375
jx 0.125
s 0.375
ws 0.375
w 0.75
h 0.125
w 0.375
w 0.25
w 0.5
wu 0.125
x 0.125
s 0.625
q 0.5
h 0.375
rh 0.5
fh 0.5
qh 0.375
q 0.25
g 0.75
wh 0.375
q 0.125
dh 0.125
a 0.375
h 0.5
fc 0.125
j 1.125
um 0.5
d 0.5
g 0.5
gx 0.5
h 0.5
sh 0.75
h 0.5
h 0.25
f 0.5
wrush 0.125
x 0.875
gh 0.375
r 0.125
g 0.375
f 0.25
rh 0.625
ed 0.375
djm 0.5
c 0.625
j 0.25
gj 0.125
