# 曲名：素颜
# 推荐节拍：500 ms/拍
# 来源：https://www.bilibili.com/video/BV1jst5ecEFZ/
# 演唱/作者：许嵩、何曼婷
# 制谱说明：完整用户上传音频自动转谱候选；版本及旋律需游戏内校准
# 状态：requires_in_game_audition（候选谱，未人工定稿）
# 由21键曲谱播放器生成
# 格式：按键 拍数；p 表示休止，同时按键写在一起
# 录制基准：500 ms/拍
p 1.875
ty 0.375
y 0.375
yu 0.5
u 0.125
yfv 0.125
ru 0.625
q 0.75
eyu 0.125
v 0.5
q 0.125
zv 0.125
e 0.375
u 0.125
w 1.375
t 0.625
tun 0.5
q 0.5
uzc 0.75
j 0.75
e 0.5
b 0.125
u 0.125
zc 0.125
z 0.125
w 0.25
y 0.125
z 0.125
u 0.375
w 0.75
tc 0.25
tyj 0.625
z 0.125
b 0.5
eu 0.125
zx 0.5
x 0.125
en 0.625
ux 0.125
t 0.5
qs 0.125
zx 0.5
qh 0.125
r 0.25
y 0.375
r 0.125
u 0.5
x 0.375
rx 0.375
b 0.125
z 0.5
b 0.125
yua 0.125
z 0.375
u 0.625
u 0.125
a 0.125
ejz 0.375
z 0.125
g 0.125
e 0.625
egj 0.375
e 0.125
c 0.125
az 0.125
wb 0.125
j 0.125
z 0.5
u 1.25
f 0.125
v 1
e 0.25
wv 0.375
e 0.375
sv 0.25
w 0.25
z 0.5
w 0.5
q 0.625
v 0.375
h 0.375
g 0.375
g 0.375
d 0.125
zcb 0.5
jc 0.375
ec 0.375
c 0.375
ed 0.5
wc 0.25
z 0.125
wc 0.375
q 0.25
w 0.375
q 0.375
q 0.25
c 0.25
e 0.25
h 0.375
tg 0.75
z 0.125
x 0.375
eh 0.375
e 0.375
e 0.25
h 0.125
e 0.375
ws 0.125
z 0.125
wx 0.5
q 0.25
s 0.125
w 0.125
r 0.125
qw 1.125
h 0.25
b 0.125
g 0.375
gzb 0.375
az 0.125
e 0.5
ehz 0.375
z 0.25
q 0.125
az 0.375
qa 0.125
ez 0.25
z 0.125
h 0.5
qa 0.25
z 0.375
a 0.25
ed 0.375
ws 0.125
a 0.125
d 0.125
e 0.125
ts 0.375
ed 0.375
f 0.25
v 0.375
en 0.375
e 0.375
v 0.125
en 0.625
wy 0.125
h 0.125
zv 0.375
h 0.25
z 0.75
q 0.5
g 0.625
n 0.125
yg 0.625
wtb 0.125
ugc 0.125
z 0.625
e 0.25
e 0.375
gc 0.125
wj 0.125
d 0.375
wc 0.125
z 0.125
z 0.25
wc 0.625
w 0.5
q 0.5
