# 曲名：一直很安静
# 推荐节拍：500 ms/拍
# 来源：https://www.bilibili.com/video/BV1ei4y1p7FC/
# 演唱/作者：阿桑
# 制谱说明：完整音频自动转谱候选；自动谱无休止符，需重点校准段落停顿
# 状态：requires_in_game_audition（候选谱，未人工定稿）
# 由21键曲谱播放器生成
# 格式：按键 拍数；p 表示休止，同时按键写在一起
# 录制基准：500 ms/拍
dgn 0.125
w 0.125
q 0.5
b 0.125
g 0.5
q 0.125
g 0.25
wg 0.625
dg 1.625
y 0.75
y 3.375
yh 0.125
x 0.75
n 0.125
u 1.625
s 0.875
n 0.125
wz 0.125
s 1.5
z 0.5
s 2.125
agz 0.5
gb 0.5
sb 0.5
sgb 0.5
sx 0.5
g 0.125
x 0.25
f 0.125
hxn 0.125
w 0.375
gx 0.5
gc 0.5
m 0.5
sg 0.125
zc 0.375
ws 0.625
w 0.25
c 0.5
u 0.25
z 0.125
z 0.25
ub 0.25
t 0.625
tagz 0.5
b 0.625
s 0.5
gb 0.125
s 0.375
sgx 0.5
sf 0.375
w 0.125
hn 0.125
t 0.5
g 0.125
x 0.125
b 0.25
g 0.125
b 0.375
sh 0.5
a 0.375
u 0.125
t 0.625
gm 0.5
t 0.125
u 0.125
z 0.125
w 0.625
u 0.25
g 0.125
b 0.5
gz 0.25
b 0.25
gzb 0.5
s 0.125
z 0.5
sgb 0.375
a 0.125
sx 0.5
f 0.5
x 0.125
n 0.5
sgn 0.5
c 0.375
d 0.125
m 0.75
sc 0.375
sdgc 1.125
dhc 0.375
s 0.125
hjcm 0.25
b 0.25
c 0.125
t 0.5
qn 0.375
a 0.25
d 0.125
t 0.375
z 0.25
a 0.25
qa 0.125
c 0.5
d 0.25
a 0.125
j 0.25
c 0.125
t 0.125
n 0.375
a 0.25
hn 0.5
sx 0.5
tn 0.5
sx 0.5
f 0.5
h 2.125
wb 0.5
sj 0.5
wsgb 0.75
h 0.375
v 0.5
s 0.125
w 0.625
h 0.125
j 0.75
gcb 0.625
gm 0.5
sh 0.5
sg 0.75
z 0.5
z 0.5
g 0.5
f 0.375
z 0.125
a 0.125
f 0.25
z 0.25
gb 0.25
g 0.25
s 0.5
sgb 2.5
x 0.375
x 0.375
jc 0.5
shx 0.5
sn 0.125
h 2.5
cb 0.375
j 0.25
s 0.5
wsgb 0.5
wsb 0.125
h 0.5
whv 0.375
s 0.125
h 0.625
s 0.125
j 0.25
g 0.125
wx 0.125
g 0.375
g 0.125
c 0.375
wgcm 0.625
shzx 0.5
wsgz 0.125
c 1.125
s 0.375
z 0.125
g 0.375
h 0.5
az 0.125
f 0.25
z 0.25
gb 0.5
agz 0.625
g 0.375
g 0.25
x 0.125
g 0.375
n 0.625
sx 0.125
g 0.5
gb 0.375
b 0.625
sb 0.5
sgb 0.625
s 2.75
gh 0.25
gj 0.25
ts 0.5
wg 0.5
rj 0.125
gh 0.25
hj 0.125
f 0.125
wh 0.375
t 0.625
j 0.25
w 0.25
g 0.5
udgj 0.25
yg 0.75
etdg 0.5
wdc 0.625
sd 0.5
g 0.625
g 0.25
t 0.25
s 0.25
g 0.125
a 0.125
wus 0.125
z 0.125
e 0.25
e 0.5
eg 0.625
e 0.5
e 0.25
g 0.5
w 0.5
wt 0.25
g 0.125
zb 0.5
jcb 0.5
uh 0.5
dcb 0.625
sg 0.125
a 0.25
x 0.125
m 0.5
wn 0.125
u 0.25
s 0.125
bm 0.5
q 0.625
wb 0.25
j 0.25
sj 0.625
wsg 0.5
gh 0.5
sfh 0.5
wtsf 0.75
j 0.25
g 0.5
wdg 0.5
ysg 0.375
e 0.25
q 0.5
wudg 0.125
h 0.125
w 0.25
sc 0.125
q 0.375
gj 0.5
h 0.5
wtsg 0.5
adc 0.375
d 0.125
t 0.625
a 0.125
tg 0.375
t 0.125
f 0.5
sf 1.125
sfh 0.375
f 0.125
x 0.25
t 0.25
gb 0.5
s 0.125
g 0.875
q 0.625
gb 0.5
g 0.5
s 0.5
sgb 0.5
sgjb 1.25
g 1
j 0.625
w 0.375
tg 0.5
ru 0.625
a 0.125
z 0.375
t 0.625
wb 0.25
a 0.25
h 0.125
w 0.375
esdx 0.5
esb 0.125
wh 0.625
wsx 0.375
g 0.5
djc 0.375
j 0.25
dm 0.5
udgc 0.5
dgjcm 0.5
ug 0.25
tj 0.375
wdjc 0.5
udh 0.375
g 0.125
tj 0.25
gc 0.375
azc 0.25
g 0.375
ag 0.75
wgb 0.375
tag 0.125
w 0.25
b 0.375
s 0.5
wysh 0.5
gh 0.5
jb 0.5
jb 0.5
sgjb 0.5
g 0.5
j 0.5
tgj 0.5
w 0.625
qtg 0.5
rj 0.5
ragz 0.375
ta 0.125
b 0.5
ab 0.125
wc 0.5
wgb 0.125
c 0.375
eh 0.125
x 0.5
fn 0.375
x 0.125
h 0.125
ws 0.375
jx 0.625
dc 0.125
j 0.375
g 0.5
tgj 0.5
dgc 0.25
j 0.375
tg 0.125
q 0.5
j 0.375
u 0.125
h 0.5
g 0.5
agz 0.375
g 0.25
dg 0.375
q 0.125
z 0.375
c 0.25
tadg 0.25
q 0.25
sf 0.5
