# 曲名：传奇
# 推荐节拍：500 ms/拍
# 来源：https://www.bilibili.com/video/BV1WW421P7zj/
# 演唱/作者：王菲
# 制谱说明：完整音频 Basic Pitch 自动转谱候选；需游戏内校准
# 状态：requires_in_game_audition（候选谱，未人工定稿）
# 由21键曲谱播放器生成
# 格式：按键 拍数；p 表示休止，同时按键写在一起
# 录制基准：500 ms/拍
p 0.75
z 0.75
n 0.125
z 4.125
u 3.5
z 0.375
b 0.125
z 0.125
b 0.5
wg 0.5
w 0.5
g 0.375
b 0.375
u 0.375
szb 1
b 0.5
ug 0.625
b 0.625
g 0.375
zb 0.25
sb 0.625
gb 0.375
b 0.25
sgzb 0.5
eg 0.375
qa 0.25
a 0.375
e 0.125
ad 1
b 0.125
adg 0.375
a 0.25
qa 0.25
ed 0.5
qag 0.375
adgzb 0.5
qg 0.25
d 0.125
qa 0.375
qa 0.25
qb 0.125
ez 0.375
edz 0.125
b 0.25
qaz 0.375
az 0.125
u 0.5
a 0.25
rx 0.5
s 0.125
z 0.5
x 0.125
w 0.625
s 0.125
u 0.5
s 0.375
f 0.125
u 0.125
ws 0.625
rs 0.625
s 0.25
f 0.375
us 0.625
s 0.375
wus 0.25
x 0.125
f 0.125
s 0.375
uz 0.125
sx 0.375
gb 0.5
b 0.125
w 0.875
b 0.375
b 0.75
szb 0.125
wg 0.25
s 0.25
b 0.625
b 0.125
g 0.5
b 1
b 0.25
s 0.125
b 0.25
z 0.125
g 0.125
ub 0.625
sgz 0.125
b 0.375
w 0.875
b 0.5
gb 0.625
u 0.125
g 0.25
s 0.5
b 0.875
u 1
u 0.125
g 0.375
sb 0.375
ugb 0.5
g 0.5
b 0.375
z 0.5
qeg 0.5
a 0.875
a 0.625
ad 0.25
b 1
e 0.125
d 0.125
a 0.375
q 0.375
q 0.125
z 0.125
ad 0.375
ag 0.25
q 0.375
b 0.5
q 0.125
g 0.5
q 0.25
h 0.25
x 0.25
r 0.125
sh 0.5
s 0.25
z 0.25
w 0.25
r 0.25
h 0.125
un 0.5
u 0.125
s 0.25
f 0.125
us 0.5
sx 0.125
f 0.25
sx 0.5
n 0.375
n 0.125
us 0.125
n 0.25
f 0.25
s 0.375
sx 0.25
f 0.5
f 0.375
u 0.375
zn 0.125
g 0.375
usg 0.625
w 0.375
g 0.125
ux 0.25
g 0.25
s 0.25
g 0.25
sz 0.5
gb 0.125
x 0.25
gx 0.125
w 0.125
xb 0.125
g 0.625
sb 0.375
z 0.125
us 0.375
w 0.125
gb 0.375
g 0.5
b 0.5
b 0.375
g 0.875
wg 0.5
b 0.125
t 0.125
g 0.875
tz 0.375
yszb 0.375
u 0.625
s 0.125
y 0.25
b 0.5
y 0.375
z 0.125
g 0.25
sb 0.125
g 0.125
y 0.25
wtb 0.5
tgb 0.375
wg 0.5
tz 0.625
a 0.125
t 0.25
ey 0.125
z 0.25
qa 0.125
y 0.375
y 1
q 0.125
e 0.375
q 0.125
e 0.125
a 0.375
e 0.25
ez 0.5
ez 0.125
qag 0.125
z 0.125
e 0.375
e 0.125
a 0.25
a 0.125
q 0.375
gb 0.125
az 0.375
z 0.125
g 0.25
z 0.5
q 0.5
h 0.125
s 0.25
rx 0.625
r 0.125
z 0.125
r 0.125
f 0.25
x 0.125
h 0.375
tn 0.25
s 0.375
ysf 0.375
h 0.125
wn 0.125
x 0.25
rx 0.125
s 0.375
rf 0.125
h 0.125
rn 0.25
s 0.25
rfn 0.25
u 0.125
s 0.25
rshx 0.25
wx 0.25
us 0.5
j 0.375
z 0.25
g 0.125
tus 0.125
w 0.375
sjm 0.375
w 0.375
b 0.25
u 0.375
t 0.375
b 0.25
us 0.125
wgzbm 0.625
t 0.25
ugjb 0.375
g 0.125
sb 0.375
tg 0.125
bm 0.25
u 0.375
gb 0.125
zm 0.375
tj 0.125
w 0.625
zb 0.125
t 0.5
w 0.75
wugb 0.375
ub 0.25
z 0.25
wysb 0.375
b 0.375
y 0.125
b 0.125
u 0.125
gb 0.75
ws 0.125
yg 1.75
gz 0.125
t 0.375
zb 0.125
u 0.5
b 0.625
tb 0.25
g 0.125
z 0.125
tag 0.25
ez 0.125
y 0.25
e 0.125
g 0.5
e 0.375
e 0.125
q 0.25
e 0.125
qd 0.5
eg 0.5
a 0.25
b 0.125
ad 0.125
tz 0.375
z 0.125
g 0.25
e 0.125
qta 0.125
z 0.125
q 0.125
az 0.125
dg 0.5
qadg 0.375
ea 0.25
qzb 0.375
z 0.125
g 0.25
z 0.125
q 0.125
z 0.625
h 0.625
sz 0.25
rx 0.5
r 0.375
r 0.5
sfhn 0.375
ts 0.625
tf 0.25
w 0.125
yx 0.125
rhn 0.25
x 0.25
s 0.125
f 0.125
s 0.125
yfh 0.125
rx 0.125
n 0.375
sn 0.5
s 0.5
wrx 0.5
w 0.25
hj 0.625
z 0.125
s 0.125
wg 0.125
tb 0.125
uz 0.125
j 0.25
tu 0.125
j 0.125
x 0.25
gz 0.5
j 0.125
