# 曲名：千年之恋
# 推荐节拍：827 ms/拍
# 来源：https://www.gangqinpu.com/jianpu/994434.htm
# 演唱/作者：F.I.R. 飞儿乐团
# 制谱说明：完整数字谱源转21键候选，B站完整音频交叉核验；需游戏内校准
# 状态：requires_in_game_audition（候选谱，未人工定稿）
p 2
n 0.25
m 0.375
a 0.125
d 1.75
a 0.375
d 0.125
f 0.5
d 0.375
f 0.125
h 0.5
f 0.5
d 0.5
f 0.5
d 0.5
a 0.5
m 0.5
a 0.375
d 0.125
f 0.5
d 0.5
a 1.5
d 0.5
a 0.375
d 0.125
f 0.5
d 0.5
a 0.5
m 0.5
a 0.375
d 0.625
a 0.375
d 0.125
f 0.5
d 0.375
f 0.125
h 0.5
d 0.5
a 1
d 3.15
p 0.35
h 0.5
g 0.5
f 0.5
d 0.5
s 0.5
a 0.5
m 0.5
q 0.5
w 0.5
e 1
q 1
u 1
t 1
e 2
r 0.5
e 0.5
w 0.5
r 0.5
e 1
q 1
u 0.5
q 0.5
w 1
e 1.833333
q 0.083333
e 0.083333
y 1
f 1
d 0.75
s 0.25
d 0.5
g 0.5
d 0.75
s 0.25
d 0.5
h 0.5
d 0.75
s 0.25
d 0.5
q 0.5
j 0.25
q 0.25
j 0.25
g 0.25
d 0.5
s 0.5
d 0.75
s 0.25
d 0.5
g 0.5
d 0.75
s 0.25
d 0.5
h 0.5
d 0.75
s 0.25
d 0.5
q 1.25
j 1.25
h 0.75
e 0.75
h 0.416667
j 0.083333
w 0.75
j 0.25
g 0.5
d 0.25
g 0.25
h 0.75
g 0.25
h 0.75
g 0.25
h 0.75
g 0.25
h 0.5
q 0.5
j 1.75
q 0.25
w 0.75
d 0.083333
g 0.083333
j 0.083333
e 0.5
q 0.25
w 0.25
q 0.5
j 0.25
h 0.5
e 0.75
j 1.5
h 0.25
j 0.25
q 0.5
j 0.25
h 0.5
g 0.583333
b 0.083333
a 0.083333
d 1.5
h 0.25
j 0.25
q 0.5
j 0.25
h 0.5
e 0.75
j 0.75
h 0.75
g 0.5
f 0.5
h 1
q 0.25
a 0.083333
f 0.083333
h 0.083333
q 0.75
w 0.75
h 0.25
j 0.25
q 0.5
j 0.25
h 0.5
e 0.75
j 1.375
m 0.0625
f 0.0625
h 0.25
j 0.25
q 0.5
j 0.25
h 0.416667
s 0.083333
g 0.583333
b 0.083333
a 0.083333
d 1
a 0.5
h 0.25
j 0.25
q 0.5
j 0.25
h 0.5
e 0.75
j 0.75
h 0.75
g 0.5
f 0.5
q 2.5
b 0.25
m 0.083333
s 0.083333
g 0.083333
j 0.333333
s 0.083333
g 0.083333
j 0.333333
g 0.083333
q 0.083333
w 1
q 1.333333
m 0.083333
d 0.083333
g 1
d 1.833333
n 0.083333
a 0.083333
f 0.5
d 0.5
s 0.5
f 0.5
d 0.916667
g 0.083333
h 0.333333
g 0.333333
h 0.333333
j 0.833333
d 0.083333
j 0.083333
q 0.333333
j 0.333333
g 0.333333
b 0.25
v 0.25
a 0.25
h 0.083333
f 0.083333
h 0.083333
q 0.333333
j 0.333333
q 0.166667
f 0.083333
j 0.083333
w 0.333333
q 0.333333
j 0.333333
h 0.5
g 0.5
d 0.75
s 0.25
d 0.5
g 0.5
d 0.75
s 0.25
d 0.5
h 0.5
d 0.75
s 0.25
d 0.5
q 0.5
j 0.25
q 0.25
j 0.25
g 0.25
d 0.5
s 0.5
d 0.75
s 0.25
d 0.5
g 0.5
d 0.75
s 0.25
d 0.5
h 0.5
d 0.75
s 0.25
d 0.5
q 1.25
j 1.25
h 0.75
e 0.75
h 0.416667
j 0.083333
w 0.75
j 0.25
g 0.5
d 0.25
g 0.25
h 0.75
g 0.25
h 0.75
g 0.25
h 0.75
g 0.25
h 0.5
q 0.5
j 1.75
q 0.25
w 0.75
d 0.083333
g 0.083333
j 0.083333
e 0.5
q 0.25
w 0.25
q 0.5
j 0.25
h 0.5
e 0.75
j 1.5
h 0.25
j 0.25
q 0.5
j 0.25
h 0.5
g 0.583333
b 0.083333
a 0.083333
d 1.5
h 0.25
j 0.25
q 0.5
j 0.25
h 0.5
e 0.75
j 0.75
h 0.75
g 0.5
f 0.5
h 1
q 0.25
a 0.083333
f 0.083333
h 0.083333
q 0.75
w 0.75
h 0.25
j 0.25
q 0.5
j 0.25
h 0.5
e 0.75
j 1.375
m 0.0625
f 0.0625
h 0.25
j 0.25
q 0.5
j 0.25
h 0.416667
s 0.083333
