# 曲名：夏空的歌（短原版）
# 推荐节拍：535 ms/拍
# 来源：NetEase song 2710156217；原始短版 39.72 秒
# 方法：人声分离后按演唱起音保留快速音节；1/16拍量化；音频转写候选，需游戏内试听复核。
p 10.1875
s 0.8125
a 0.3125
p 0.5625
f 0.5625
p 0.3125
s 0.875
s 0.4375
p 0.125
a 0.4375
n 0.25
p 0.125
a 0.25
p 0.25
m 0.3125
n 0.3125
p 0.0625
b 0.4375
p 0.375
s 0.75
p 0.125
a 0.25
p 0.8125
d 0.3125
p 0.375
s 0.75
s 0.5625
p 0.0625
h 0.3125
g 0.75
p 0.0625
s 1.0625
p 0.625
s 0.8125
p 0.0625
a 0.3125
p 0.25
d 0.3125
f 0.5625
p 0.1875
s 0.5625
s 0.4375
s 0.5
p 0.0625
a 0.3125
n 0.4375
p 0.5
m 0.4375
n 0.25
p 0.8125
s 0.25
p 0.0625
s 0.4375
p 0.125
a 0.3125
p 0.8125
d 0.25
p 0.4375
s 0.5
p 0.3125
s 0.375
p 0.125
h 0.375
p 0.0625
g 0.625
p 0.125
s 0.625
p 1.125
g 0.25
p 0.0625
h 0.5
f 0.4375
p 0.625
g 0.6875
p 0.1875
s 0.5625
p 0.25
f 0.3125
p 0.375
s 0.4375
p 0.125
a 0.25
p 0.0625
m 0.25
m 0.6875
p 1
h 0.625
f 0.5625
p 0.5625
g 0.5625
p 0.0625
s 0.75
p 0.25
f 0.3125
d 0.3125
p 0.0625
s 0.4375
p 0.4375
m 0.75
p 0.9375
g 0.25
p 0.1875
h 0.375
p 0.125
f 0.5
p 0.5625
g 0.5625
p 0.0625
s 0.75
p 0.1875
f 0.3125
p 0.0625
d 0.3125
s 0.4375
p 0.5
m 1.0625
p 1
h 0.4375
f 0.5625
p 0.25
h 0.3125
p 0.0625
j 0.5
g 0.75
p 0.3125
d 0.3125
p 0.875
d 0.25
p 0.125
s 0.9375
p 0.1875
s 0.5
p 2.5625
s 5.5
p 0.375
s 0.3125
p 0.625
