# 曲名：一直很安静（人声重跑试听版）
# 推荐节拍：500 ms/拍
# 来源：https://www.bilibili.com/video/BV1ei4y1p7FC
# 方法：分离人声后用 Basic Pitch 提取起音，再用 pYIN 基频核验过滤伴奏残留；1/16拍绝对时间量化；仅供试听，未加入曲库。
p 8.0625
g 2.125
p 6.25
a 1.625
a 0.875
p 0.5
m 0.6875
p 0.125
a 1.5625
p 0.25
a 2.3125
p 0.8125
a 3.1875
p 14.1875
f 1.8125
v 0.75
p 1.375
s 2.5625
p 2.3125
s 0.25
p 0.0625
d 0.625
p 0.8125
s 1.75
d 0.375
p 0.375
a 1.6875
p 1.8125
a 0.4375
p 0.0625
m 0.5625
m 0.375
a 0.3125
a 0.8125
p 0.0625
b 1.0625
p 2.1875
d 0.5
s 0.375
p 0.3125
s 1.125
p 1.8125
d 0.75
p 0.0625
g 0.375
p 0.25
s 1.375
p 0.9375
a 1.6875
p 1.4375
b 0.3125
p 0.25
a 0.375
p 0.0625
s 0.4375
n 0.3125
p 0.1875
a 0.5
a 0.8125
a 0.3125
a 1
p 0.5625
a 0.4375
a 0.5
a 0.5625
a 1.1875
p 2.4375
s 0.3125
p 0.0625
d 0.75
g 0.5625
p 0.125
s 0.8125
s 0.6875
p 0.3125
g 0.3125
p 0.5
a 1.5
p 1.75
a 0.4375
a 0.5625
p 0.0625
g 0.3125
p 0.0625
h 0.6875
h 0.625
h 0.4375
h 0.375
h 0.625
p 0.25
g 0.4375
p 0.375
d 2.4375
p 2
s 0.3125
d 0.6875
p 0.1875
g 0.5
p 0.125
s 0.3125
s 0.875
p 0.625
d 0.375
p 0.4375
a 0.3125
a 0.5625
p 1.4375
f 0.3125
p 0.1875
d 0.375
p 0.0625
s 0.4375
p 0.125
a 0.375
p 0.1875
n 0.25
n 0.625
p 0.375
a 0.4375
m 0.8125
m 1.0625
a 0.25
p 0.4375
a 0.5
a 0.9375
a 0.5
p 4.75
d 0.4375
p 0.0625
g 0.5625
q 0.5
j 1.0625
p 0.0625
q 0.4375
p 0.25
g 0.5625
g 0.375
h 1.1875
p 0.0625
g 0.5
p 0.375
d 1.0625
p 0.6875
d 0.375
p 0.6875
d 0.4375
p 0.0625
s 0.4375
p 0.125
a 0.625
a 0.5
a 0.4375
p 0.3125
g 0.4375
g 1.25
p 0.3125
s 0.5
p 0.5625
d 0.875
p 1.3125
d 0.4375
p 0.0625
g 0.4375
p 0.1875
q 0.375
p 0.125
j 0.625
j 0.3125
q 0.375
p 0.4375
g 0.5
g 0.4375
h 1.25
p 0.0625
g 0.5
d 1.375
p 1.375
f 0.3125
p 0.1875
d 0.25
p 0.25
s 0.375
p 0.125
a 0.5625
a 1.3125
p 0.9375
m 0.8125
p 0.5
a 0.4375
a 0.4375
a 0.625
a 0.5
p 0.0625
m 0.625
p 0.25
a 0.5
a 3.3125
p 1.9375
a 0.375
p 0.4375
d 1.0625
p 0.0625
d 0.5
p 0.125
f 0.375
p 0.5625
s 1.5625
p 0.0625
a 0.4375
p 3
a 0.375
p 0.9375
d 1.5
s 1.125
f 0.4375
p 4.0625
g 3.375
p 0.375
g 0.5625
g 0.3125
g 0.875
p 1.75
f 1.0625
g 1.5
p 8.875
s 0.3125
p 0.125
d 0.4375
p 0.3125
g 0.375
p 0.1875
s 0.4375
s 0.8125
p 0.5625
d 0.5
a 1.0625
a 0.625
p 1.9375
s 0.375
p 0.125
a 0.4375
p 0.5
h 0.75
h 0.625
p 0.125
g 0.25
h 1.1875
p 0.0625
g 0.4375
p 0.125
d 2.625
p 2.25
s 0.25
p 0.0625
d 0.5625
p 0.8125
s 0.5
s 0.6875
p 0.5625
d 0.375
p 0.4375
a 0.875
p 1.5
f 0.3125
d 0.4375
p 0.1875
s 0.375
p 0.125
a 0.4375
p 1.875
m 0.375
m 1
p 0.375
a 0.6875
a 0.375
a 0.875
p 1.125
d 0.5625
g 0.4375
p 0.125
q 0.5625
j 0.9375
q 0.3125
p 0.3125
g 0.625
g 0.375
h 0.5
j 0.625
g 0.5
p 0.625
d 1.0625
p 1.75
d 0.3125
p 0.0625
s 0.5
p 0.125
a 0.625
a 0.875
p 0.375
g 0.4375
g 1.25
p 0.5625
s 0.3125
p 0.5
d 1.1875
p 1.0625
d 0.375
p 0.0625
g 0.4375
p 0.1875
q 0.375
p 0.125
j 0.625
j 0.25
q 0.5
p 0.375
g 0.5
g 0.4375
h 1.125
p 0.125
g 0.5
p 0.0625
d 0.5625
d 0.8125
p 1.875
d 0.3125
p 0.1875
s 0.375
p 0.125
a 0.5625
a 1.375
p 1
m 0.3125
s 0.3125
p 0.5
a 0.375
a 1.4375
p 1.25
d 0.5
g 0.4375
p 0.125
q 0.4375
j 0.5625
j 0.5
p 0.125
q 0.25
j 0.4375
p 0.125
g 0.375
g 0.4375
h 1
p 0.1875
g 0.5
p 3.125
d 0.4375
p 0.25
s 0.375
p 0.25
a 0.5
a 0.375
a 0.3125
p 0.5
g 0.5
g 1.3125
p 0.3125
h 0.375
p 0.3125
g 0.8125
p 0.1875
d 0.5625
p 0.9375
d 0.4375
p 0.0625
g 0.5
p 0.125
q 0.375
p 0.125
j 0.6875
q 0.4375
q 0.375
w 0.375
q 0.5625
p 0.1875
w 1
p 0.1875
e 0.375
p 0.1875
w 0.4375
e 1
p 0.75
d 0.3125
p 0.75
d 0.4375
s 0.4375
a 0.75
a 0.375
a 0.5625
p 0.875
m 0.375
m 0.75
p 0.625
a 0.4375
a 0.8125
a 0.5625
a 0.375
a 0.4375
a 1.75
p 10.625
q 0.6875
p 5.625
b 0.5625
p 2.375
b 1.875
p 0.3125
q 0.9375
p 0.125
j 0.5625
p 0.3125
h 0.3125
p 13.25
j 0.9375
p 1.5625
q 0.9375
q 0.8125
p 0.9375
s 1.75
p 6.5
d 0.5
g 0.5
p 0.0625
q 0.5
j 1
p 0.0625
q 0.375
p 0.25
g 0.5625
g 0.4375
p 0.0625
h 0.5
p 0.0625
h 0.4375
p 0.0625
g 0.8125
p 1.9375
d 0.4375
p 0.6875
d 0.375
p 0.0625
s 0.5625
p 0.125
a 0.4375
a 0.3125
a 0.5625
p 3.4375
d 1.0625
p 0.375
q 0.4375
p 0.375
d 0.5
g 0.4375
p 0.1875
q 0.375
p 0.125
j 0.625
j 0.4375
q 0.3125
p 0.375
g 0.5
g 0.4375
h 1.0625
p 0.125
g 0.9375
p 1.75
d 0.125
g 0.3125
p 0.8125
d 0.25
p 0.1875
s 0.4375
p 0.1875
a 0.4375
a 1.3125
p 1.0625
m 0.125
s 0.5
p 0.5
a 0.3125
a 1.625
p 1.125
d 0.5
g 0.5
p 0.0625
q 0.5
j 1.0625
q 0.3125
h 0.3125
g 0.5625
g 0.4375
h 0.4375
j 0.375
h 0.3125
g 0.5625
p 2.8125
v 0.3125
p 0.125
d 0.4375
p 0.1875
s 0.4375
p 0.0625
a 0.5625
a 0.4375
a 0.5625
p 3.875
d 0.8125
p 0.875
d 0.4375
g 0.5
p 0.125
q 0.4375
p 0.1875
j 0.5625
j 0.25
q 0.75
w 0.5
p 0.125
q 0.375
w 1.25
e 0.4375
p 0.0625
w 0.4375
e 0.625
e 0.5625
p 0.5625
d 0.3125
p 0.4375
f 0.3125
p 0.1875
d 0.25
p 0.125
s 0.4375
p 0.0625
a 0.75
a 1
a 0.4375
p 0.1875
m 0.375
m 0.875
p 0.5
a 0.3125
p 0.4375
a 2.3125
a 0.8125
a 0.6875
p 9.1875
a 0.25
p 0.125
n 1.25
p 0.25
s 0.375
p 0.1875
a 0.5
p 0.0625
d 1.5625
p 12.6875
g 3.75
p 6.5
g 1.25
b 0.9375
v 0.4375
p 10
g 0.4375
p 0.0625
g 0.3125
p 15.4375
