# 曲名：夜空中最亮的星（人声重跑试听版）
# 推荐节拍：544 ms/拍
# 来源：网易云公开条目 2141396848
# 方法：分离人声后用 Basic Pitch 提取起音，再用 pYIN 基频核验过滤伴奏残留；1/16拍绝对时间量化；仅供试听，未加入曲库。
p 23
e 2.4375
p 1.1875
e 2.625
p 4.5625
s 0.4375
s 0.4375
p 0.125
d 0.4375
p 0.0625
s 0.4375
s 0.3125
d 0.25
p 0.0625
g 0.5625
g 3.6875
p 3.25
s 0.5
p 6.3125
s 0.625
s 0.375
p 3.125
s 0.3125
p 0.0625
s 0.1875
d 0.375
p 2.375
s 0.5625
s 0.4375
s 0.6875
p 0.3125
d 1.375
p 5.125
d 0.3125
p 0.125
s 0.375
p 0.0625
d 0.5
p 0.125
s 0.625
d 0.25
p 0.0625
g 0.25
p 0.3125
g 3.0625
p 3.875
s 0.5
p 6.25
s 0.25
s 0.5
p 0.0625
d 0.3125
p 2.9375
s 0.6875
d 0.375
p 2.125
f 0.375
g 0.625
p 0.0625
s 0.3125
p 0.125
d 0.8125
s 0.4375
p 0.25
f 0.25
f 0.4375
f 0.3125
g 0.75
g 0.375
p 0.9375
s 0.3125
p 0.4375
e 0.25
p 0.0625
w 0.5
w 0.3125
q 1.625
q 0.3125
q 0.25
q 1
q 0.5
h 0.5
p 0.0625
g 0.4375
p 0.3125
t 0.25
p 0.25
y 1
y 0.625
p 0.8125
q 0.375
p 0.0625
w 0.625
e 0.4375
p 0.0625
t 0.5
t 0.4375
t 1
q 0.625
q 0.375
w 3
q 0.75
q 0.3125
j 0.5
p 1.375
q 0.6875
q 0.5625
p 0.375
h 0.5
p 0.0625
g 0.5
p 0.1875
t 0.5625
y 0.3125
y 0.25
y 0.3125
y 0.5
p 0.5
q 0.25
q 0.6875
w 0.625
p 0.0625
e 0.5
p 0.1875
t 0.25
t 0.5
h 0.3125
p 0.25
t 0.375
p 0.0625
e 0.5625
w 0.5
w 0.3125
w 1.625
p 0.75
e 0.3125
p 0.0625
w 0.375
w 0.4375
q 1.75
q 0.25
q 0.375
q 0.3125
q 0.5
q 0.5
h 0.4375
p 0.1875
g 0.4375
p 0.125
t 0.625
p 0.125
y 0.9375
y 0.75
p 0.0625
q 0.4375
q 0.5
w 0.25
w 0.5
e 0.3125
p 0.25
t 0.75
t 0.625
p 0.5
q 0.9375
w 1.75
w 0.6875
p 0.5625
w 0.5625
e 0.4375
p 0.0625
q 1.5625
q 0.5
q 0.4375
q 0.9375
q 0.3125
p 0.25
h 0.5625
p 0.125
t 0.5
y 0.375
y 0.75
y 0.6875
p 0.75
q 0.375
p 0.125
w 0.3125
w 0.25
e 0.5
t 0.5
t 0.4375
t 0.9375
e 0.5
w 0.5
w 8.6875
p 0.25
w 0.375
p 12.1875
s 0.375
p 0.125
d 0.5
p 0.125
s 0.5625
d 0.3125
p 0.0625
g 0.5
g 0.25
g 0.375
g 0.375
g 1.0625
g 0.75
p 4.125
s 0.625
p 6.1875
s 0.4375
p 3.6875
s 0.625
p 0.0625
d 0.4375
p 2.125
s 0.6875
s 0.25
d 0.375
d 0.375
d 0.25
d 0.25
d 0.4375
d 0.5
p 5.8125
s 0.5
p 0.0625
d 0.4375
s 0.75
d 0.3125
p 0.0625
g 0.4375
g 2.1875
g 1.5625
p 3.25
s 0.25
s 0.25
p 6.3125
s 0.6875
d 0.375
p 3.0625
s 0.4375
s 0.25
p 0.0625
s 0.375
p 1.3125
g 0.5
d 0.4375
d 0.4375
d 0.3125
d 0.5625
d 0.4375
d 0.4375
d 0.4375
p 0.0625
f 0.75
f 0.3125
g 0.375
g 0.3125
g 0.5
g 0.25
p 0.75
g 0.25
p 0.1875
w 0.1875
e 0.25
w 0.4375
w 0.3125
w 0.25
p 0.0625
q 1.4375
q 0.5625
q 0.5
q 0.4375
q 0.5
h 0.5
g 0.5625
p 0.25
t 0.375
p 0.25
y 0.75
y 0.25
y 0.25
p 0.5625
q 0.4375
q 0.5625
w 0.375
w 0.25
e 0.5
p 0.125
t 0.6875
t 0.4375
t 0.375
p 0.3125
q 1
w 3
q 0.3125
q 0.375
p 0.125
q 0.3125
p 1.5625
q 0.875
q 0.5625
q 0.5
h 0.4375
p 0.1875
g 0.3125
p 0.1875
t 0.5
p 0.1875
y 0.3125
y 0.5625
y 0.375
p 0.625
q 0.375
q 0.4375
p 0.1875
w 0.5
e 0.5625
p 0.1875
t 0.5
p 0.8125
t 0.375
p 0.125
e 0.4375
w 0.4375
w 1.6875
p 1.25
e 0.3125
w 0.5625
w 0.375
q 0.9375
q 0.3125
q 0.25
q 1.125
q 0.375
q 0.5625
h 0.4375
p 0.0625
g 0.5
p 0.3125
t 0.4375
y 0.4375
y 0.3125
y 0.5
p 0.5625
q 0.5
q 0.5
w 0.75
p 0.0625
e 0.375
p 0.125
t 0.5
t 0.25
t 0.8125
t 0.3125
p 0.1875
q 0.8125
w 2.375
p 0.625
w 0.4375
e 0.375
p 0.0625
q 0.875
q 0.25
q 1.0625
q 0.5
q 0.75
q 0.75
h 0.5
p 0.1875
t 0.5
p 0.0625
y 0.375
p 0.4375
y 0.375
p 0.6875
q 0.8125
p 0.3125
w 0.4375
e 0.5
t 0.9375
t 1
p 0.125
e 0.375
w 0.5
w 6.0625
p 0.5625
w 0.5625
p 10.1875
t 1.25
p 4.5625
q 0.3125
w 0.25
p 11
d 0.25
p 0.4375
e 0.3125
p 0.1875
w 0.3125
w 0.25
w 0.375
q 0.9375
q 0.3125
q 0.625
q 0.5
q 0.625
q 0.5
h 0.3125
h 0.5625
p 0.25
t 0.25
p 0.0625
t 0.25
p 0.3125
y 0.625
y 0.3125
y 0.4375
p 0.875
q 0.375
w 0.6875
p 0.125
e 0.25
p 0.0625
t 1
t 0.8125
q 0.3125
q 1.0625
w 2.8125
q 0.625
q 0.5
p 1
g 0.3125
p 0.1875
q 0.9375
q 0.5
p 0.5
h 0.625
g 0.3125
p 0.25
t 0.4375
p 0.25
y 0.3125
y 0.5625
y 0.4375
p 0.4375
q 0.375
q 0.625
w 0.625
e 0.625
t 0.375
t 0.3125
p 0.1875
h 0.375
p 0.125
t 0.4375
p 0.1875
e 0.375
p 0.0625
w 0.4375
w 1.375
p 1.4375
e 0.3125
w 0.25
w 0.5
w 0.25
p 0.0625
q 1
q 0.4375
q 0.4375
q 0.25
q 0.4375
q 0.375
q 1
p 0.0625
g 0.4375
p 0.3125
t 0.375
p 0.0625
y 0.375
y 0.5625
y 0.5
p 0.5
q 0.375
q 0.5
w 0.6875
p 0.0625
e 0.375
p 0.25
t 0.6875
t 0.5625
t 0.3125
p 0.1875
q 0.25
q 0.75
w 2.125
w 0.8125
w 0.5625
e 0.5
p 0.0625
q 1.5
q 0.5
q 0.625
q 1
p 0.6875
h 0.375
p 0.1875
t 0.4375
p 0.25
y 0.25
y 0.625
p 0.875
q 0.8125
p 0.0625
w 0.625
p 0.125
e 0.375
p 0.0625
t 1.875
p 0.0625
e 0.4375
w 0.5625
w 8
w 0.75
p 12.625
s 0.5
p 0.125
d 0.375
p 0.0625
s 0.5
s 0.1875
d 0.375
g 0.5625
g 3.375
p 3.5625
s 0.4375
p 6.3125
s 0.3125
s 0.3125
d 0.4375
p 3
s 0.5
p 0.25
d 0.375
p 2.75
s 0.6875
s 0.5
p 0.125
d 0.5
d 4.1875
p 1.5
d 0.5625
p 5.1875
