# 曲名：红豆（人声重跑试听版）
# 推荐节拍：500 ms/拍
# 来源：https://www.bilibili.com/video/BV1J15nzVE6f
# 方法：分离人声后用 Basic Pitch 提取起音，再用 pYIN 基频核验过滤伴奏残留；1/16拍绝对时间量化；仅供试听，未加入曲库。
p 2.375
j 1.0625
j 0.375
p 1.5
h 3.125
p 0.6875
f 1.5
p 0.4375
b 0.6875
p 6.1875
g 0.875
g 1.125
p 5.875
j 0.4375
p 0.1875
v 0.6875
p 0.25
v 1
p 4.5
v 0.25
p 0.125
b 0.6875
p 1.1875
a 0.25
p 0.0625
s 0.5
p 0.25
a 0.375
p 0.125
s 0.75
p 0.0625
a 0.3125
a 1.0625
p 0.1875
s 0.375
p 2
b 0.4375
p 0.4375
n 0.5
p 0.5625
a 0.375
s 0.5
p 0.25
a 0.625
p 0.0625
s 1.0625
s 0.3125
p 0.0625
d 0.375
d 0.375
p 2.9375
b 0.4375
p 1.6875
s 0.375
p 0.375
a 0.5625
a 0.875
p 0.0625
n 0.375
p 1.3125
a 0.375
s 0.5625
d 0.6875
s 0.3125
a 0.625
a 0.9375
p 0.8125
a 0.375
s 0.5
p 0.125
a 0.375
p 0.25
a 0.25
a 0.625
p 0.25
b 0.4375
n 0.375
p 0.125
b 0.5625
b 0.5625
p 1.875
v 0.625
p 0.0625
n 0.5625
n 0.25
p 0.3125
a 0.375
s 0.5625
a 0.4375
p 0.375
s 0.875
p 0.0625
a 1.25
p 3
b 0.4375
p 0.375
n 0.4375
p 0.4375
a 0.3125
s 0.5625
a 0.625
p 0.125
s 0.75
p 0.625
d 0.875
p 0.8125
s 0.3125
p 1.5625
b 0.6875
p 1.1875
a 0.375
s 0.5
p 0.375
a 1.125
p 2
a 0.4375
s 0.4375
p 0.25
d 0.6875
s 0.3125
a 0.375
p 0.25
a 0.625
p 0.875
g 0.375
p 0.0625
h 0.4375
p 0.1875
g 0.875
g 0.5625
p 0.25
s 0.375
d 0.4375
s 0.6875
s 0.4375
p 2
a 0.5
p 0.375
s 0.5625
p 0.8125
g 1.375
a 0.3125
a 0.625
p 0.5625
s 0.5
p 0.9375
f 0.5
p 1.25
s 0.25
p 0.3125
s 0.4375
s 0.3125
p 0.3125
a 0.5
p 0.125
d 0.5625
p 0.5625
j 0.3125
p 0.0625
q 0.4375
q 0.3125
j 0.5
j 0.4375
h 0.5
p 0.5
d 0.375
p 1.8125
h 0.25
p 0.1875
j 0.25
p 0.1875
h 0.6875
g 0.6875
g 0.3125
h 0.3125
h 0.25
h 0.5
h 0.5
p 0.125
g 0.25
p 0.0625
h 0.5
p 0.0625
g 0.375
p 0.375
f 0.375
p 2.4375
s 0.3125
s 0.5
p 0.125
a 0.5
a 0.5625
p 1.375
a 0.6875
n 0.375
p 0.4375
s 0.5
d 0.375
p 0.0625
s 0.25
p 0.3125
s 0.4375
p 1.8125
a 0.4375
p 0.4375
s 0.5625
f 0.25
p 0.125
g 1.625
p 0.1875
a 1
p 0.4375
s 0.4375
p 0.375
d 0.25
p 2
s 0.25
d 0.375
s 0.625
s 0.5
p 0.125
a 0.5625
p 0.0625
d 0.75
p 0.25
h 0.3125
p 0.125
q 0.5
j 0.9375
p 0.25
q 0.4375
p 2.8125
h 0.8125
p 2.375
h 0.3125
j 0.5
p 0.0625
g 0.3125
p 0.0625
g 0.25
p 0.3125
d 1.4375
h 0.3125
h 0.4375
p 2.1875
a 0.8125
a 0.5625
p 1
g 0.4375
h 0.5
p 0.0625
g 0.375
h 0.5625
p 0.1875
g 0.3125
p 0.125
s 0.375
p 0.375
