# 由21键曲谱播放器生成
# 格式：按键 拍数；p 表示休止，同时按键写在一起
# 录制基准：500 ms/拍
p 6.625
r 0.5
t 0.5
yh 0.875
u 0.875
u 1
qu 3.75
t 0.875
s 0.875
sh 0.875
e 0.875
q 2.75
d 1.875
qn 0.125
y 1.75
rn 1.875
qa 0.125
e 2.625
u 0.875
w 3.75
b 3.75
hz 0.875
qsh 0.875
r 0.875
ez 1.875
d 1.875
g 0.875
sh 3.625
us 3.75
y 0.125
u 1.75
u 1.875
u 0.125
u 2.625
u 1
wx 0.125
e 1.75
qx 1.875
wfx 0.625
s 1.25
wg 0.5
tf 0.5
ed 0.5
a 0.25
z 0.25
z 0.5
u 0.5
uv 0.5
u 0.5
uav 0.5
u 0.5
us 0.5
us 0.5
uz 0.5
u 0.5
ub 0.5
u 0.5
sb 1
ud 0.5
ud 0.5
x 0.5
r 0.5
un 0.5
rn 0.5
rd 0.5
u 0.5
ef 0.5
r 0.5
uh 0.5
e 0.5
r 0.5
u 0.5
v 0.875
tb 0.375
r 0.25
e 0.25
wz 0.125
v 1.75
ezb 1.375
qh 0.125
rax 3.625
g 0.5
szv 0.5
fv 0.5
qv 0.5
d 0.5
fzb 0.5
qb 0.5
d 0.5
afx 1.375
e 0.875
g 0.875
f 0.875
s 0.5
g 0.5
hz 0.875
qv 0.875
rav 0.75
z 0.25
e 0.125
z 1.75
b 1
s 0.875
db 0.875
gxb 1
hxn 0.875
d 0.875
f 0.875
g 1.875
q 0.25
n 1.625
t 0.125
yz 0.75
u 0.875
u 1.875
ta 0.125
z 0.75
u 0.875
u 1
r 0.875
wzb 1.875
q 1
j 0.875
g 0.875
s 0.875
qsv 0.5
e 0.5
rac 0.5
ta 0.5
yvn 0.125
z 0.75
u 1
usv 0.875
uazb 3.75
ed 0.125
z 0.75
tag 0.5
z 0.5
hx 0.875
n 0.875
wdh 0.875
f 0.875
dh 0.875
a 0.875
n 1.875
u 0.5
u 0.375
yf 0.125
u 0.125
yuf 1.625
ua 0.125
qu 1.75
ufn 2.75
rn 0.25
q 0.25
h 0.125
afxv 0.125
z 1.5
dcb 0.125
z 1.75
szxv 0.875
q 1.125
z 1.375
z 0.25
s 3.25
zxv 1
