# 曲名：朝焼けのスターマイン（人声重跑候选）
# 推荐节拍：500 ms/拍
# 来源：https://www.bilibili.com/video/BV1kv4y117V8
# 方法：分离人声后用 Basic Pitch 提取起音，再用 pYIN 基频核验过滤伴奏残留；1/16拍绝对时间量化；候选谱，仍需游戏内试听确认。
p 30.375
q 0.3125
q 0.5
q 0.3125
p 0.1875
j 0.3125
j 0.4375
h 0.5625
h 0.5
g 0.4375
g 0.5
g 0.75
p 0.125
d 1.125
p 1.1875
q 0.5
q 0.5
q 0.4375
j 0.4375
j 0.375
h 0.5
h 0.375
p 0.5625
g 0.3125
p 0.1875
q 0.5
w 0.375
q 0.4375
q 0.8125
p 1.125
q 0.4375
q 0.9375
j 0.375
j 0.5625
p 0.1875
h 0.4375
p 0.1875
g 0.5625
g 0.4375
g 0.8125
p 0.375
d 0.5
p 0.6875
d 0.4375
f 0.5625
f 0.25
g 1.375
p 0.25
q 0.3125
j 0.875
q 0.9375
q 0.4375
q 2.5
p 1
j 0.625
p 0.0625
q 0.875
p 0.0625
r 0.4375
p 0.5
q 0.8125
p 0.125
j 0.875
q 0.9375
q 0.5
w 0.75
p 0.9375
j 0.5625
q 0.875
p 0.0625
w 0.9375
r 0.25
t 0.625
p 0.0625
r 0.9375
e 0.8125
w 0.4375
p 0.8125
q 0.9375
q 0.25
p 0.375
q 0.5
q 1.0625
p 1.25
e 0.875
p 0.0625
r 0.9375
p 0.1875
e 0.3125
e 0.625
p 0.25
q 0.4375
j 0.4375
q 4.25
p 2
e 0.625
e 0.5625
e 0.375
w 0.5
w 0.375
q 0.875
p 0.1875
j 0.4375
q 0.4375
w 0.4375
e 0.4375
w 0.5
w 0.9375
p 0.5
w 0.375
w 0.5
w 0.875
p 0.0625
q 0.5
q 0.375
j 0.5
j 0.3125
p 0.125
q 0.3125
p 0.125
w 0.4375
w 0.375
w 0.625
q 0.4375
q 1.625
p 0.6875
w 0.4375
e 0.375
p 0.25
q 0.375
p 0.5
w 0.375
p 0.5
q 0.375
p 0.9375
r 0.5
e 0.75
p 0.125
w 0.875
p 0.125
q 0.4375
w 0.4375
w 0.5
e 4.3125
p 2.125
e 0.4375
e 0.4375
e 0.5
p 0.0625
w 0.4375
w 0.3125
p 0.125
q 0.75
p 0.25
h 0.375
q 0.4375
p 0.0625
w 0.4375
e 0.4375
w 0.4375
w 0.875
p 0.9375
j 0.5
q 0.375
p 0.5
w 0.5625
e 0.5
e 0.4375
r 0.375
e 0.4375
w 0.3125
p 0.25
q 1.25
p 0.9375
j 0.5625
q 0.375
q 0.3125
p 0.25
e 0.375
r 0.5625
e 0.75
p 0.375
w 0.5
q 0.625
w 0.375
p 0.0625
q 0.5625
w 1.5
p 0.8125
j 0.375
q 0.4375
p 0.0625
e 0.4375
r 0.4375
e 0.5625
p 0.4375
w 0.375
p 0.125
q 0.5
q 0.375
p 0.4375
e 0.375
r 0.5
e 0.375
p 0.9375
w 0.5625
p 0.0625
q 0.3125
q 0.3125
p 0.25
j 0.5
p 0.0625
q 6.4375
p 8.75
j 0.8125
h 0.5
h 0.5
g 0.375
g 0.5
g 0.625
p 0.3125
d 1.25
p 1.0625
q 0.4375
q 0.9375
j 0.8125
h 0.375
p 0.25
h 0.25
g 0.6875
g 0.3125
p 0.125
q 0.4375
w 0.4375
q 0.4375
q 0.9375
p 1.0625
q 0.375
q 0.375
p 0.5
j 0.5
j 0.4375
h 0.8125
g 0.5625
g 0.5625
g 0.625
p 0.1875
d 0.4375
d 0.4375
p 1.1875
f 0.625
p 0.1875
g 1.125
p 0.6875
j 0.8125
p 0.0625
q 0.75
p 0.1875
j 0.4375
q 2.4375
p 0.875
j 0.875
p 0.0625
q 0.4375
q 0.375
p 0.0625
t 0.875
q 0.9375
j 0.875
q 0.9375
q 0.4375
w 0.9375
p 1
j 0.25
p 0.25
q 0.8125
w 0.25
w 0.6875
r 0.3125
t 0.6875
