# 曲名：NIGHT DANCER（人声重跑试听版）
# 推荐节拍：511 ms/拍
# 版本：imase 原版（Bilibili VV音乐局完整音频，约210.52秒）
# 方法：Roformer 人声分离 + pYIN 基频提取；A#/Bb 调约束；四分之一拍量化。仅供试听，未加入正式曲库。
p 2.5
n 0.5
p 0.25
n 0.5
b 1
c 0.25
p 0.5
z 0.5
p 0.25
x 0.25
p 0.25
z 0.25
p 0.75
z 0.25
p 0.25
x 0.25
p 0.25
c 0.5
p 0.5
z 0.25
p 0.25
x 0.25
p 0.25
z 0.5
x 0.25
p 0.25
c 0.25
p 0.25
b 0.5
c 0.25
p 0.25
x 0.25
p 0.25
z 0.25
p 0.25
x 0.5
c 0.25
p 0.25
x 0.25
p 0.25
x 0.5
p 1
z 0.75
p 8.5
a 0.25
m 0.25
n 0.25
b 0.25
p 0.25
n 0.25
a 0.25
p 0.25
n 0.25
p 0.5
x 0.25
p 0.25
m 0.25
p 0.25
v 0.25
p 2
z 0.25
p 0.75
x 1.25
p 0.5
x 0.75
p 0.5
x 0.75
p 0.75
x 0.5
p 0.25
x 0.5
p 1.25
n 0.25
p 0.25
c 0.25
x 0.25
p 0.25
x 0.25
p 0.5
x 0.25
p 0.5
x 0.25
p 3.5
c 0.25
p 1
c 0.25
p 2
z 1
p 0.25
x 0.5
p 1.75
c 0.5
p 0.75
z 1
p 2
z 0.75
p 0.5
z 0.25
x 0.5
p 2
c 0.75
v 0.25
c 0.25
p 0.25
x 0.5
c 1
p 0.25
n 0.5
c 0.25
p 0.5
c 0.5
p 0.25
x 0.25
z 0.5
p 1.75
x 0.25
c 0.75
p 0.5
c 0.25
p 0.25
x 0.5
c 0.25
p 1.25
z 0.5
p 1
x 0.75
p 0.25
c 0.75
p 2.5
z 0.5
p 2.25
z 0.5
p 0.5
z 0.25
x 0.5
p 1.75
x 0.25
c 0.5
p 0.75
z 1
p 2
z 0.5
p 0.5
z 0.25
x 0.25
p 2.5
c 0.5
v 0.5
c 0.25
p 0.25
x 0.5
c 1
n 0.5
c 0.25
p 0.25
x 0.25
c 0.5
p 0.25
x 0.25
p 0.25
z 0.5
p 1
n 0.5
p 0.25
c 0.25
p 0.25
c 0.5
p 0.25
v 0.5
c 0.5
p 1.5
z 0.5
p 0.5
z 0.25
p 0.25
x 0.75
p 0.25
c 0.75
p 2.75
z 0.5
p 1
b 0.5
c 0.25
v 0.75
c 0.25
p 0.5
z 0.75
p 1
v 0.25
p 0.25
c 0.25
v 0.5
p 0.25
c 0.25
p 0.25
z 1
p 0.5
z 0.5
x 0.25
p 0.25
x 0.25
p 0.25
c 0.5
v 0.25
p 0.5
c 0.25
x 0.25
p 0.25
z 0.5
p 0.25
x 0.25
p 0.25
c 0.25
z 0.25
p 0.25
x 0.5
z 0.5
p 0.75
z 0.5
p 0.75
b 0.25
p 0.25
c 0.25
p 0.25
v 0.5
c 0.25
p 0.5
z 0.75
p 1.25
b 0.25
c 0.25
p 0.25
v 0.5
p 0.25
c 0.5
n 0.25
p 0.25
x 0.25
p 0.25
x 0.75
p 0.25
z 0.5
x 0.5
p 1.25
x 1
p 0.25
c 0.25
p 2.25
z 0.5
p 0.5
x 0.25
p 0.25
z 1.25
p 0.5
n 1.25
b 1
p 0.75
z 0.5
p 0.25
x 0.25
p 0.25
z 0.5
x 0.25
p 0.25
z 0.25
p 0.25
x 0.25
c 0.5
p 0.75
z 0.25
p 0.25
x 0.25
p 0.25
z 0.5
x 0.25
p 0.25
c 0.25
p 0.25
b 0.25
p 0.25
c 0.25
p 0.5
z 0.75
x 0.5
c 0.25
x 0.5
c 0.5
p 0.75
z 0.25
p 1.5
n 1.25
b 1
c 0.25
p 0.5
z 0.75
m 0.5
n 0.5
m 0.25
n 0.5
p 0.25
a 0.5
p 0.5
a 0.25
s 0.25
a 0.5
p 1
z 0.5
x 0.25
p 0.25
c 0.25
p 0.25
b 0.25
p 0.25
z 0.25
p 0.25
z 1.75
p 1.5
z 0.25
p 0.25
z 0.25
p 0.75
z 0.25
p 6.5
a 0.25
p 1
a 0.25
n 0.25
p 0.25
b 0.25
p 0.75
a 0.25
p 0.75
x 0.25
p 0.5
n 0.25
p 3.75
m 0.25
p 16.25
z 0.75
p 0.25
z 0.25
x 0.5
p 1.75
x 0.25
c 0.25
p 1
z 1
p 2
z 0.5
p 0.5
z 0.25
x 0.5
p 1.25
z 0.25
p 0.25
x 0.25
c 0.75
v 0.25
p 0.25
c 0.5
x 0.5
c 0.75
p 0.25
n 0.5
p 0.25
c 0.25
x 0.25
c 0.25
p 0.5
x 0.5
z 0.5
p 1
n 0.25
p 0.25
c 0.25
p 0.5
c 0.5
p 0.25
v 0.5
c 0.5
p 1.5
z 0.5
p 0.5
z 0.5
x 1
c 0.75
p 2.5
z 0.5
p 0.25
z 0.25
p 0.25
z 1
p 1
z 0.5
x 0.25
p 0.25
z 0.25
p 0.25
x 0.25
p 0.25
c 0.25
p 0.25
x 0.25
c 0.25
p 0.75
x 0.25
z 0.25
p 0.25
x 0.25
p 0.25
z 0.5
p 0.25
x 0.25
c 0.25
p 2.25
v 0.25
p 0.25
b 0.5
v 0.5
c 0.25
p 0.25
x 0.25
p 0.25
z 0.25
p 0.75
z 0.5
p 0.75
