# 由21键曲谱播放器从 (完美版)One last kiss(速1，1).mid 转换
# 格式：按键 拍数；p 表示休止，同时按键写在一起
# 录制基准：545 ms/拍
dg 0.75
dg 0.75
dg 0.75
dg 0.75
dg 0.5
dg 0.5
sg 0.75
sg 0.75
sg 0.75
sg 0.75
sg 0.5
sg 0.5
sfh 0.75
sfh 0.75
sfh 0.75
sfh 0.75
sfh 0.5
sfh 0.5
fh 0.75
fh 0.75
fh 0.5
j 0.25
fh 0.25
w 0.5
rfh 0.25
w 0.5
r 0.25
w 0.5
r 0.25
wdg 0.5
r 0.25
wdg 0.75
dg 0.75
dg 0.5
dg 0.5
wgj 0.75
wgj 0.75
wgj 0.75
wgj 0.75
wgj 0.5
wgj 0.5
wfh 0.75
wfh 0.75
wfh 0.75
wfh 0.75
wfh 0.5
wfh 0.5
qfh 0.75
qfh 0.75
qfh 0.75
qrfh 0.75
qrfh 0.5
qrfh 4.5
r 0.25
t 0.25
t 0.25
t 0.25
t 0.25
w 0.5
q 0.25
w 0.25
q 1.75
t 0.5
t 0.25
t 0.25
t 0.25
w 0.5
q 0.25
w 0.25
q 0.75
j 1
r 0.25
t 0.25
t 0.25
t 0.25
t 0.25
w 0.5
q 0.25
w 0.25
q 1.75
t 0.5
t 0.25
t 0.25
t 0.25
w 0.5
q 0.25
w 0.25
q 0.75
q 1
r 0.25
t 0.25
t 0.25
t 0.25
t 0.25
w 0.25
w 0.25
q 0.25
w 0.25
q 1.25
j 0.25
j 0.25
r 0.25
t 0.25
t 0.25
t 0.25
t 0.25
w 0.25
w 0.25
q 0.25
w 0.25
q 0.75
j 1
r 0.25
t 0.25
t 0.25
t 0.25
t 0.25
w 0.25
w 0.25
q 0.25
w 0.25
q 1.75
w 0.5
q 1
j 2.5
wrj 0.5
t 0.25
wj 0.75
wj 0.75
wj 0.75
wrj 0.5
t 0.5
qwu 0.5
u 0.25
qw 0.25
t 0.5
qw 0.5
r 0.25
qw 0.25
t 0.5
qw 0.5
qwt 0.5
wj 0.75
wj 0.75
wj 0.75
wj 0.75
wtj 0.5
wu 0.5
qu 0.5
uj 0.5
uj 0.5
wu 0.5
qu 0.5
uj 0.5
uj 0.5
qu 0.5
wtj 0.75
wj 0.75
wj 0.75
wj 0.75
wrj 0.5
wtj 0.5
qwu 0.5
u 0.25
qw 0.25
t 0.5
qw 0.5
r 0.25
qw 0.25
t 0.5
qw 0.5
qwt 0.5
wj 0.75
wj 0.75
wj 0.75
wj 0.75
wtj 0.5
wu 0.5
qu 0.5
uj 0.5
uj 0.5
wu 0.5
qu 0.5
uj 0.5
uj 0.5
qu 0.5
wtgj 0.75
wtgj 0.75
wtgj 0.75
wtgj 0.75
uj 0.5
qu 0.5
wtgj 0.75
wtgj 0.75
wtgj 1
wu 0.5
qu 0.5
uj 0.5
qtgh 0.75
qtgh 0.75
qtg 0.75
qtg 0.75
tg 0.5
wu 0.5
qu 0.5
uj 0.5
uj 0.5
wu 0.5
qu 0.5
uj 0.5
uj 0.25
qu 0.75
g 0.25
wtgj 0.75
wtgj 0.75
wtgj 0.75
wtgj 0.75
uj 0.5
qu 0.5
wtgj 0.75
wtgj 0.75
wtgj 0.5
wtgj 1
wtgj 1
qtgh 0.75
qtgh 0.75
qtg 0.75
qtg 0.75
tg 0.5
wu 0.5
qu 0.5
uj 0.5
uj 0.5
u 0.5
uj 0.5
wu 0.5
ru 0.25
wu 0.5
r 0.25
w 0.5
r 0.25
w 0.5
r 0.25
w 0.5
j 0.5
w 0.5
r 0.25
w 0.5
r 0.25
w 0.5
r 0.25
w 0.5
r 0.25
w 0.5
j 0.5
w 0.5
r 0.25
w 0.5
r 0.25
w 0.5
r 0.25
w 0.5
r 0.25
w 0.5
j 0.5
w 0.5
r 0.25
w 0.5
r 0.25
w 0.5
r 0.25
w 0.5
r 0.25
w 1.5
q 1
g 0.5
g 0.25
g 0.25
g 0.25
s 0.25
s 0.25
a 0.25
s 0.25
a 0.75
a 0.5
m 0.25
m 0.25
f 0.25
g 0.25
g 0.25
g 0.25
g 0.25
s 0.25
s 0.25
a 0.25
s 0.25
a 0.75
m 1
f 0.25
g 0.25
g 0.25
g 0.25
g 0.25
s 0.25
s 0.25
a 0.25
s 0.25
a 1.25
m 0.5
f 0.25
g 0.25
g 0.25
g 0.25
g 0.25
s 0.25
s 0.25
a 0.25
a 1
m 1
f 0.25
g 0.25
g 0.25
g 0.25
g 0.25
s 0.25
s 0.25
a 0.25
s 0.25
a 1.25
m 0.5
g 0.5
g 0.25
g 0.25
g 0.25
s 0.25
s 0.25
a 0.25
a 1
m 1
f 0.25
g 0.25
g 0.25
g 0.25
g 0.25
s 0.25
s 0.25
a 0.25
s 0.25
a 1.25
m 0.25
m 0.25
g 0.5
g 0.25
g 0.25
g 0.25
s 0.25
s 0.25
a 0.25
a 0.5
m 1.5
wrj 0.5
t 0.25
wj 0.75
wj 0.75
wj 0.75
wrj 0.5
t 0.5
qwu 0.5
u 0.25
qw 0.25
t 0.5
qw 0.5
r 0.25
qw 0.25
t 0.5
qw 0.5
t 0.5
wj 0.75
wj 0.75
wj 0.75
wj 0.75
wtj 0.5
wu 0.5
qu 0.5
uj 0.5
uj 0.5
wu 0.5
qu 0.5
uj 0.5
uj 0.5
qu 0.5
wtj 0.75
wj 0.75
wj 0.75
wj 0.75
wrj 0.5
t 0.5
qwu 0.5
u 0.25
qw 0.25
t 0.5
qw 0.5
r 0.25
qw 0.25
t 0.5
qw 0.5
t 0.5
wj 0.75
wj 0.75
wj 0.75
wj 0.75
wtj 0.5
wu 0.5
qu 0.5
uj 0.5
uj 0.5
wu 0.5
qu 0.5
uj 0.5
uj 0.5
qu 0.5
wtj 0.25
g 0.25
g 0.25
wtj 0.25
g 0.25
g 0.25
wtj 0.25
g 0.25
g 0.25
wtj 0.25
g 0.25
g 0.25
uj 0.5
qu 0.5
wtj 0.25
g 0.25
g 0.25
wtj 0.25
g 0.25
g 0.25
wtgj 1
wu 0.5
qu 0.5
wuj 0.5
wtj 0.25
g 0.25
g 0.25
wtj 0.25
g 0.25
g 0.25
wtj 0.25
g 0.25
g 0.25
wtj 0.25
g 0.25
g 0.25
tg 0.5
wu 0.5
qu 0.5
uj 0.5
uj 0.5
wu 0.5
qu 0.5
uj 0.5
uj 0.25
qu 0.75
g 0.25
wtj 0.25
g 0.25
g 0.25
wtj 0.25
g 0.25
g 0.25
wtj 0.25
g 0.25
g 0.25
wtj 0.25
g 0.25
g 0.25
uj 0.5
qu 0.5
wtj 0.25
g 0.25
g 0.25
wtj 0.25
g 0.25
g 0.25
wtj 0.25
g 0.25
wtgj 1
wtgj 1
wtj 0.25
g 0.25
g 0.25
wtj 0.25
g 0.25
g 0.25
wtj 0.25
g 0.25
g 0.25
wtj 0.25
g 0.25
g 0.25
tg 0.5
wu 0.5
qu 0.5
uj 0.5
uj 0.5
u 0.5
uj 0.5
wu 0.5
ru 0.25
wu 0.5
r 0.25
w 0.5
r 0.25
w 0.5
r 0.25
w 0.5
j 0.5
w 0.5
r 0.25
w 0.5
r 0.25
w 0.5
r 0.25
w 0.5
r 0.25
w 0.5
j 0.5
w 0.5
tg 0.5
wu 0.5
qu 0.5
uj 0.5
uj 0.5
wu 0.5
qu 0.5
uj 0.5
uj 0.25
qu 0.25
qu 0.25
qu 0.25
uj 0.25
qu 0.25
qu 0.25
qu 0.25
uj 0.25
qu 0.25
qu 0.25
qu 0.25
uj 0.25
qu 0.25
qu 0.25
qu 0.25
uj 0.25
qu 0.25
qu 0.25
qu 0.25
uj 0.25
qu 0.25
qu 0.25
qu 0.25
uj 0.25
qu 0.25
qu 0.25
qu 0.25
uj 0.25
qu 0.25
qu 0.25
qu 0.25
uj 0.25
qu 0.25
qu 0.25
qu 0.25
uj 0.25
qu 0.25
qu 0.25
qu 0.25
uj 0.25
qu 0.25
qu 0.25
qu 0.25
uj 0.25
qu 0.25
qu 0.25
qu 0.25
uj 0.25
qu 0.25
qu 0.25
qu 0.25
uj 0.25
qu 0.25
qu 0.25
qu 0.25
uj 0.25
qu 0.25
qu 0.25
qu 0.25
uj 0.25
qu 0.25
qu 0.25
qu 0.25
uj 0.25
qu 0.25
qu 0.25
qu 0.25
uj 0.25
qu 0.25
qu 0.25
qu 0.25
uj 0.25
qu 0.25
qu 0.25
qu 0.25
uj 0.25
qu 0.25
qu 0.25
qu 0.25
j 0.25
r 0.25
u 0.25
u 0.25
ru 0.5
tu 2.5
ru 0.5
tu 0.5
u 0.5
u 0.5
tu 1
ru 0.75
tu 0.75
tu 0.5
u 0.75
u 0.75
u 1.5
tu 0.5
u 0.5
u 0.5
u 0.5
u 0.5
u 0.5
u 0.5
u 0.5
u 0.5
u 0.5
tu 0.75
u 0.75
u 1.5
ru 0.5
tu 0.5
u 0.5
u 0.5
tu 1
ru 0.75
tu 0.75
tu 0.5
u 0.75
u 0.75
u 2.5
u 0.75
u 0.75
u 1.5
g 0.5
w 0.5
q 0.5
j 0.5
j 0.5
w 0.5
q 0.5
j 0.5
j 0.5
q 0.5
sg 0.75
sg 0.75
sg 0.75
sg 0.75
sg 0.5
w 0.5
q 0.5
j 0.5
j 0.5
w 0.5
q 0.5
j 0.5
jb 0.5
qs 0.5
a 0.5
m 0.5
m 0.5
s 0.5
a 0.5
m 0.5
gm 0.5
wa 0.5
q 0.5
j 0.5
j 0.5
w 0.5
q 0.5
j 0.5
j 0.5
q 0.5
sg 0.75
sg 0.75
sg 0.75
sg 0.75
sg 0.5
