# 由21键曲谱播放器从 【Animenz】Crossing Field - 刀剑神域 OP.mid 转换
# 格式：按键 拍数；p 表示休止，同时按键写在一起
# 录制基准：684 ms/拍
f 0.25
g 0.25
h 0.5
qfh 1.5625
f 0.5
ad 1.0625
wdg 0.75
q 0.125
w 0.125
qfh 1.5
h 0.25
h 0.5
h 0.5
hn 0.5
qa 0.25
ws 0.25
ed 0.25
wrfh 0.5
v 0.5
vn 0.5
rf 0.5
qedg 0.5
cb 0.5
qad 1
wsgh 1.6875
wsfh 0.5
wsfh 0.25
wsfh 0.5
z 0.25
z 0.75
v 0.25
c 0.5
v 0.5
b 0.5
x 1.25
z 0.5
zc 0.5
v 0.25
c 0.5
v 0.5
b 0.5
x 1.25
sxv 0.5
fv 0.5
qafh 0.75
fv 1.25
tg 0.75
ws 0.75
rf 0.75
n 0.25
b 0.25
x 0.25
ad 1
sn 1
a 1
zxv 0.25
c 0.5
zxv 0.5
zb 0.5
zx 1.25
z 0.5
zc 0.5
zxv 0.25
c 0.5
zxv 0.5
zb 0.5
avn 0.75
qafh 0.5
fv 0.5
fv 0.5
sgbn 0.75
sfvn 1.25
tg 0.75
ws 0.75
rf 0.75
n 0.25
b 0.25
x 0.25
ad 1
fn 1
ag 0.875
s 0.0625
f 0.0625
h 1.5
f 0.5
agb 0.75
d 0.75
a 0.5
svn 0.75
sfn 1.25
vm 0.75
sfm 1.25
sgbn 0.25
fv 0.5
sgbn 0.5
hn 0.5
sghn 0.75
b 0.5
sgbn 0.5
fv 0.5
sgbn 0.25
fv 0.5
gb 0.5
qa 0.5
h 0.125
q 0.125
sghn 1
sgbn 1
sfhn 0.75
f 0.75
adgb 0.25
f 0.25
g 1
v 0.25
b 0.25
n 0.5
avn 0.75
qfh 0.75
v 0.5
c 0.75
qdg 0.25
s 0.75
a 0.125
s 0.125
avn 0.75
qafh 0.75
n 0.25
n 0.5
n 0.5
qadg 0.5
n 0.5
n 0.75
ws 0.25
b 0.25
n 0.5
ed 0.25
b 0.25
n 0.5
rf 0.25
b 0.25
n 0.5
tg 0.25
b 0.25
n 0.5
n 0.25
n 0.5
s 0.5
b 0.5
qu 0.25
wu 0.25
eu 0.25
f 0.25
g 0.25
h 0.5
qafh 1.5
fv 0.5
dcb 1
wsd 0.75
q 0.125
w 0.125
qafh 1.5
hn 0.25
dhn 0.5
hn 0.5
adgb 0.5
qa 0.5
sfhn 1
g 0.25
h 0.75
g 0.25
sfh 0.75
g 0.25
h 0.75
g 0.25
qa 0.5
hn 0.25
hn 0.5
ws 0.5
adgb 1
v 0.25
b 0.25
v 0.25
a 0.25
n 0.25
shn 0.5
g 0.25
s 0.75
n 0.5
adhn 0.5
b 0.5
agb 0.25
h 0.5
sxvn 1
z 1
z 1
gb 0.25
hn 0.5
hn 0.5
sfhn 0.5
gb 0.25
fv 0.5
az 0.75
adgb 0.5
fv 0.25
dc 0.5
az 0.75
sxbn 0.25
s 0.5
sxbn 0.25
s 0.5
sxbn 0.25
sxbn 2.6875
v 0.5
c 0.5
z 0.25
b 0.5
v 0.5
c 0.5
z 0.25
c 0.25
x 0.75
v 0.5
c 0.5
z 0.25
b 0.5
v 0.5
b 0.5
n 0.5
n 0.75
x 0.125
c 0.125
v 0.125
b 0.125
n 0.125
n 0.125
a 0.125
s 0.125
d 0.125
f 0.125
g 0.125
h 0.125
h 0.125
q 2
r 0.25
h 0.25
w 0.25
r 0.25
h 0.25
w 0.25
t 0.25
h 0.25
w 0.25
r 0.25
h 0.25
w 0.25
r 0.25
h 0.25
e 0.25
h 0.25
r 0.25
h 0.25
w 0.25
r 0.25
h 0.25
w 0.25
t 0.25
h 0.25
w 0.25
r 0.25
h 0.25
w 0.25
s 0.5
f 0.5
qaf 0.75
afv 0.25
a 0.125
s 0.125
d 0.125
f 0.125
g 0.125
h 0.0625
h 0.0625
q 0.0625
w 0.0625
e 0.0625
r 0.0625
t 0.0625
r 0.0625
e 0.0625
w 0.0625
q 0.0625
h 0.0625
h 0.125
g 0.125
q 0.125
h 0.125
h 0.125
g 0.125
f 0.125
d 0.125
