# 由21键曲谱播放器从 【Animenz】Rising Hope - 魔法科高校的劣等生 OP.mid 转换
# 格式：按键 拍数；p 表示休止，同时按键写在一起
# 录制基准：634 ms/拍
y 0.25
e 0.25
t 0.5
w 0.25
e 0.5
h 0.25
w 0.25
e 0.25
h 0.25
w 0.25
e 0.25
w 0.25
e 0.25
t 0.25
y 0.25
h 0.25
w 0.25
e 0.25
t 0.25
g 0.25
h 0.25
e 0.5
d 0.125
h 0.125
j 0.0625
w 0.0625
e 0.0625
y 0.0625
u 0.0625
u 0.0625
eu 0.75
ed 0.25
qedh 0.5
vn 0.25
vn 0.5
qedh 0.5
wsgj 0.5
qa 0.5
sjm 0.5
g 0.5
n 0.0625
s 0.0625
d 0.0625
gh 1
c 0.25
x 0.25
b 0.25
n 0.5
z 0.25
x 0.25
z 0.25
c 0.25
x 0.25
c 0.25
b 0.25
n 0.25
z 0.25
x 0.25
z 0.25
c 0.25
x 0.25
b 0.25
n 0.5
c 0.25
b 0.25
n 0.25
qa 0.25
jm 0.25
hn 0.25
gb 0.25
hn 0.25
h 0.25
w 0.25
q 0.25
eh 0.25
w 0.25
t 0.25
yh 0.5
h 0.25
w 0.25
q 0.25
eh 0.25
w 0.25
e 0.25
t 0.25
y 0.25
h 0.25
w 0.25
q 0.25
eh 0.25
w 0.25
t 0.25
yh 0.5
e 0.25
t 0.25
y 0.25
u 0.25
u 0.25
y 0.25
t 1
m 0.25
a 0.75
m 0.25
a 0.5
m 0.25
n 0.5
b 0.5
b 0.25
b 0.5
x 0.25
xb 0.5
v 0.5
xv 0.5
c 0.5
zc 1.25
xv 0.5
b 0.5
n 0.5
m 0.5
ab 0.25
m 0.25
n 0.25
b 0.5
b 0.25
n 0.25
m 0.25
a 0.25
a 0.5
s 0.5
a 0.5
axc 0.5
xcm 0.25
xcm 1
d 0.25
w 0.25
qd 0.75
sj 0.25
qd 0.75
sj 0.25
qd 0.5
sj 0.25
ah 0.5
gm 0.5
gm 0.25
gm 0.5
sm 0.25
sgm 0.5
sf 0.5
afb 0.5
d 0.5
adv 1.25
fvn 0.5
gb 0.5
hn 0.5
jm 0.5
qadg 0.25
jm 0.25
hn 0.25
gb 0.5
gb 0.25
hn 0.25
jm 0.25
qad 0.25
qad 0.5
ws 0.5
qad 0.5
qad 0.25
jm 0.25
qa 0.25
ws 1
z 0.25
x 0.25
zc 0.5
zc 0.75
ed 0.25
ed 0.25
ed 0.25
ed 0.375
dh 0.375
dg 0.25
ed 0.375
dh 0.375
dg 0.25
zc 0.25
zc 0.25
zc 0.75
d 0.25
dh 0.25
dh 0.25
ed 0.25
ed 0.25
wd 0.25
qd 0.5
dj 0.125
q 0.125
w 0.5
zc 0.5
zc 0.75
ed 0.25
ed 0.25
ed 0.25
ed 0.375
dh 0.375
dg 0.25
ed 0.375
dh 0.375
dg 0.5
n 0.25
m 0.25
a 0.25
m 0.5
h 0.25
j 0.25
e 0.5
r 0.25
w 0.25
q 0.25
w 0.5
m 0.25
m 0.75
a 0.25
a 0.75
q 0.25
w 0.5
q 0.5
j 0.5
q 0.5
n 0.75
a 0.25
a 0.75
q 0.25
w 0.5
q 0.5
w 0.5
q 0.5
sb 0.75
d 0.25
adb 0.75
qedg 0.25
wrfh 0.5
ed 0.5
ws 0.5
qa 0.5
scn 0.75
d 0.25
adcn 0.75
ed 0.25
rf 0.5
ed 0.5
w 0.5
q 0.75
d 0.25
h 0.25
j 0.25
e 0.25
w 0.25
e 0.25
y 0.25
u 0.25
u 0.25
u 0.25
y 0.25
e 0.25
h 0.25
j 0.25
q 0.25
qedh 0.25
rf 0.5
wsfh 0.5
qa 0.25
ws 0.25
edhj 0.5
dnm 0.25
dnm 0.25
dnm 0.25
dbm 0.25
jm 0.25
qa 0.25
ws 0.25
qedh 0.75
ws 0.25
qedh 0.75
ws 0.25
qedh 0.5
rf 0.25
ws 0.5
qa 0.5
qa 0.25
wsgj 0.75
qa 0.25
wsgj 0.75
qa 0.25
wsgj 0.5
ed 0.25
rf 0.5
ed 0.5
wsgj 0.75
gb 0.5
jm 0.5
ws 0.5
rfgj 0.5
ed 0.25
ws 0.5
qa 0.25
jm 0.25
wsj 0.5
ed 0.25
qedh 1.25
x 0.5
c 0.25
v 0.25
c 0.5
m 0.25
a 0.25
s 0.25
adn 0.5
qeh 0.25
s 0.25
d 0.5
qeh 0.25
s 0.25
d 0.5
qefh 0.25
s 0.5
a 0.25
qeh 0.25
s 0.75
wgj 0.25
a 0.25
s 0.5
wgj 0.25
a 0.25
s 0.5
wdgj 0.25
f 0.5
d 0.25
wgj 0.25
s 0.5
a 0.25
wsgj 0.25
a 0.25
s 0.5
wsgj 0.25
a 0.25
s 0.25
a 0.25
wsgj 0.25
d 0.25
f 0.25
d 0.25
wgj 0.25
s 0.5
a 0.25
a 0.25
d 0.0625
h 0.0625
j 0.0625
q 0.125
e 0.125
y 0.125
u 0.125
u 0.125
u 0.25
qa 0.25
ws 0.5
qa 0.5
jm 0.5
hn 0.5
qaf 0.5
afh 0.5
afh 0.5
qaf 0.5
wsg 0.5
qa 0.5
sgjm 0.5
hn 0.5
sgm 0.5
dm 0.5
sfm 0.5
dm 0.25
ws 0.5
ed 0.25
rf 0.25
qedh 1
ed 0.25
qedh 0.5
vn 0.25
vn 0.5
qedh 0.5
wsgj 0.5
qa 0.5
sjm 0.5
g 0.5
n 0.0625
s 0.0625
d 0.0625
gh 4.25
z 0.25
x 0.25
c 0.25
b 0.25
c 0.25
b 0.25
n 0.25
b 0.25
n 0.25
a 0.25
s 0.25
d 0.125
g 0.125
h 0.125
q 0.125
w 0.125
e 0.125
t 0.125
yh 0.25
h 0.25
w 0.25
q 0.25
eh 0.25
w 0.25
t 0.25
yh 0.5
h 0.25
w 0.25
q 0.25
eh 0.25
w 0.25
e 0.25
t 0.25
yh 0.25
h 0.25
w 0.25
q 0.25
eh 0.25
w 0.25
t 0.25
yh 0.5
e 0.25
t 0.25
y 0.25
qu 0.25
uj 0.25
yh 0.25
tg 0.25
yh 0.25
n 0.25
s 0.25
a 0.25
d 0.25
s 0.25
g 0.25
h 0.5
n 0.25
s 0.25
a 0.25
d 0.25
s 0.25
d 0.25
g 0.25
h 0.25
n 0.25
s 0.25
a 0.25
dn 0.25
s 0.25
g 0.25
shn 0.5
n 0.25
shn 0.25
n 0.25
qa 0.25
qa 0.25
qa 0.25
qa 0.25
tg 0.25
tg 0.5
n 0.25
ag 0.25
m 0.25
n 0.25
ag 0.25
m 0.25
n 0.25
ag 0.25
n 0.25
n 0.25
m 0.25
ag 0.5
qwrf 0.25
qwrf 0.5
n 0.25
af 0.25
m 0.25
n 0.25
dn 0.5
sn 0.5
sb 0.5
a 0.25
b 0.25
b 0.25
cn 0.25
d 0.5
g 0.125
g 0.125
dh 0.25
e 0.5
cb 0.25
cn 0.25
d 0.5
g 0.125
g 0.125
dh 0.25
e 0.5
cb 0.25
cn 0.5
cn 0.25
b 0.25
cn 0.5
n 0.25
qedh 0.5
e 0.25
w 0.25
q 0.25
w 0.25
q 0.25
w 0.25
qedh 0.5
h 0.25
w 0.125
w 0.125
w 0.125
q 0.125
h 0.125
w 0.125
w 0.125
w 0.125
q 0.125
h 0.125
w 0.125
w 0.125
w 0.125
q 0.125
h 0.125
w 0.125
w 0.125
w 0.125
q 0.125
h 0.125
w 0.125
w 0.125
w 0.125
q 0.125
h 0.125
wh 0.25
eh 0.5
c 0.125
cb 0.125
cn 0.25
cb 0.25
cn 0.25
cb 0.25
cn 0.25
cb 0.25
cn 0.25
cb 0.25
cn 0.25
b 0.25
n 0.25
m 0.25
acn 0.25
m 0.25
n 0.25
cb 0.5
d 0.125
g 0.125
h 0.125
g 0.125
g 0.125
d 0.125
h 0.125
g 0.125
g 0.125
d 0.125
h 0.125
g 0.125
g 0.125
d 0.125
h 0.125
g 0.125
g 0.125
d 0.125
h 0.125
g 0.125
g 0.125
d 0.125
dh 0.25
g 0.25
dh 0.25
ed 0.5
n 0.25
m 0.25
a 0.5
h 0.25
j 0.25
ed 0.5
r 0.25
w 0.25
q 0.25
j 0.25
q 0.25
w 0.25
j 0.25
qad 0.25
qd 0.25
qd 0.25
qd 0.25
qd 0.25
qd 0.25
qd 0.25
qd 0.25
qd 0.25
qd 0.25
qd 0.25
qd 0.25
qd 0.25
qd 0.25
qd 0.25
qd 0.25
qsg 0.25
qsg 0.25
qsg 0.25
qsg 0.25
qsg 0.25
qsg 0.25
qsg 0.25
qsg 0.25
qsg 0.25
qsg 0.25
qsg 0.25
qsg 0.25
q 0.125
g 0.125
d 0.125
a 0.625
qafh 0.5
b 0.5
n 0.5
m 0.5
qad 0.25
m 0.25
n 0.25
b 0.5
m 0.25
a 0.25
s 0.25
qedh 0.5
s 0.25
a 0.25
qedh 0.25
n 0.25
s 0.25
a 0.25
ed 0.25
rf 0.25
ed 0.25
ws 0.25
qa 0.25
jm 0.25
qa 0.25
ws 0.25
qedh 0.75
g 0.25
sdhn 1
sdn 1
sdn 1
sdn 1
sdn 1
sdn 1
b 0.125
a 0.125
s 0.125
g 0.125
w 0.25
qwtg 0.25
qg 0.125
wt 0.125
qg 0.125
wt 0.125
qg 0.125
wt 0.125
qg 0.125
wt 0.125
qg 0.125
wt 0.125
qg 0.125
wt 0.125
qg 0.125
wt 0.125
qg 0.125
wt 0.125
qg 0.125
wt 0.125
qg 0.125
wt 0.125
qg 0.125
wt 0.125
qg 0.125
wt 0.125
tg 0.125
w 0.125
q 0.125
g 0.125
s 0.125
a 0.125
qwrf 0.25
qf 0.125
wr 0.125
qf 0.125
wr 0.125
qf 0.125
wr 0.125
qf 0.125
wr 0.125
qf 0.125
wr 0.125
qf 0.125
wr 0.125
qf 0.125
wr 0.125
qf 0.125
wr 0.125
qf 0.125
wr 0.125
qf 0.125
wr 0.125
qf 0.125
wr 0.125
qf 0.125
wr 0.125
rf 0.125
w 0.125
q 0.125
f 0.125
s 0.125
a 0.125
ed 0.5
w 0.125
e 0.125
w 0.125
w 0.125
q 0.125
h 0.5
g 0.125
g 0.125
h 0.125
g 0.125
g 0.125
s 0.125
a 0.125
s 0.0625
d 0.0625
s 0.0625
a 0.0625
n 0.0625
b 0.0625
n 0.125
b 0.125
c 0.25
b 0.25
c 0.25
b 0.25
n 0.75
n 0.125
a 0.125
d 0.0625
h 0.0625
q 0.0625
e 0.25
w 0.125
y 0.375
wth 0.25
wt 0.125
y 0.125
wt 0.125
y 0.125
wt 0.125
y 0.125
wt 0.125
y 0.125
wt 0.125
y 0.125
wt 0.125
y 0.125
wt 0.125
y 0.25
wt 1.5625
z 0.125
z 3.375
m 0.5
m 1.25
d 0.25
h 0.25
e 0.75
a 0.5
m 0.5
a 0.5
b 0.75
a 0.25
a 0.25
f 0.25
g 0.25
r 0.75
a 0.5
s 0.5
a 0.5
ascb 0.75
d 0.25
d 0.25
q 0.25
e 0.25
d 0.25
f 0.5
d 0.5
s 0.5
a 0.5
s 0.75
d 0.25
d 0.25
h 0.25
e 0.25
d 0.25
f 0.5
d 0.5
s 0.5
a 0.75
d 0.25
h 0.25
j 0.25
e 0.25
w 0.25
e 0.25
y 0.25
u 0.25
u 0.25
u 0.25
y 0.25
e 0.25
h 0.25
j 0.25
q 0.25
qedh 0.25
f 0.25
d 0.25
wsf 0.5
a 0.75
edh 0.25
f 0.25
d 0.25
wsfh 0.5
a 0.25
s 0.25
edhj 0.5
dnm 0.25
dnm 0.25
dnm 0.5
dnm 0.25
dnm 0.25
dbm 1.5
j 0.25
q 0.25
w 0.25
qeh 0.75
w 0.25
qe 0.75
w 0.25
e 0.5
r 0.25
w 0.5
q 0.5
q 0.25
wgj 0.75
q 0.25
wj 0.75
q 0.25
wg 0.5
e 0.25
rg 0.5
e 0.5
wgj 0.75
g 0.5
j 0.5
w 0.5
rgj 0.5
e 0.5
w 0.25
q 0.25
j 0.25
wd 0.5
e 0.25
e 0.5
h 0.25
j 0.25
e 0.25
y 0.25
u 0.25
u 0.25
u 0.25
y 0.25
e 0.25
m 0.25
a 0.25
s 0.25
d 0.25
h 0.25
w 0.25
e 0.25
y 0.25
e 0.25
w 0.25
h 0.5
h 0.25
w 0.25
e 0.25
y 0.25
e 0.25
w 0.25
s 0.5
g 0.25
q 0.25
w 0.25
t 0.25
w 0.25
q 0.25
a 0.25
s 0.25
g 0.25
q 0.25
w 0.25
t 0.25
w 0.25
q 0.25
s 0.5
a 0.25
s 0.25
a 0.25
s 0.25
s 0.25
d 0.25
sf 0.5
ad 0.5
sm 0.5
a 0.25
m 0.25
s 0.5
d 0.125
h 0.125
j 0.125
e 0.125
y 0.125
u 0.125
u 0.375
e 0.0625
u 0.0625
e 0.0625
u 0.0625
e 0.0625
u 0.0625
e 0.0625
u 0.0625
e 0.0625
u 0.0625
e 0.0625
u 0.0625
eu 0.125
e 0.0625
u 0.0625
e 0.0625
u 0.0625
e 0.0625
u 0.5
qa 0.25
ws 0.25
qedh 0.75
ws 0.25
qedh 0.75
ws 0.25
ed 0.5
rf 0.25
ws 0.5
qa 0.5
wsgj 1
qa 0.25
wsgj 0.75
qa 0.25
wsgj 0.5
ed 0.25
rf 0.5
ed 0.5
wsgj 0.75
gb 0.5
jm 0.5
ws 0.5
rfgj 0.5
ed 0.25
ws 0.5
qa 0.25
jm 0.25
ws 0.5
ed 0.25
qedh 1.25
x 0.5
c 0.25
v 0.25
c 0.5
m 0.25
a 0.25
s 0.25
adn 0.25
e 0.25
y 0.25
w 0.25
t 0.25
q 0.25
r 0.25
j 0.25
e 0.25
h 0.25
wf 0.25
g 0.25
q 0.25
f 0.5
s 0.5
w 0.25
t 0.25
q 0.25
r 0.25
j 0.25
w 0.5
s 0.25
j 0.25
w 0.25
h 0.25
q 0.25
g 0.25
j 0.25
s 0.5
a 0.25
g 0.25
q 0.25
w 0.25
t 0.25
u 0.25
u 0.25
u 0.25
u 0.25
t 0.25
w 0.25
q 0.25
g 0.5
s 0.5
a 0.25
d 0.0625
h 0.0625
j 0.0625
e 0.0625
y 0.0625
u 0.0625
u 0.5
q 0.5
ws 0.5
qa 0.5
jm 0.5
hn 0.5
qaf 0.5
afh 0.5
afh 0.5
qaf 0.5
wsg 0.5
qa 0.5
sgjm 0.5
hn 0.5
sgm 0.5
dm 0.5
sfm 0.5
dm 0.25
ws 0.5
ed 0.25
rf 0.25
qedh 1
ed 0.25
qedh 0.5
vn 0.25
vn 0.5
qedh 0.5
wsgj 0.5
qa 0.5
sjm 0.5
g 0.5
n 0.0625
s 0.0625
d 0.0625
sdhn 1
xbm 0.75
azc 1.25
adn 0.75
ed 0.25
qedh 0.5
vn 0.25
vn 0.5
qedh 0.5
wsgj 0.5
qa 0.5
sgjm 0.5
ws 0.75
edhj 0.75
d 0.25
e 0.25
d 0.25
h 0.25
e 0.25
d 0.25
h 0.25
e 0.25
d 0.25
h 0.25
e 0.25
d 0.25
h 0.25
e 0.25
d 0.25
h 0.25
e 0.25
d 0.25
h 0.25
e 0.25
d 0.25
h 0.25
e 0.25
d 0.25
qa 0.5
ws 0.5
d 0.0625
h 0.0625
j 0.0625
ed 0.5
wd 0.25
qd 0.25
wd 0.25
qd 0.125
w 0.125
qd 0.125
w 0.125
qd 0.125
w 0.125
qd 0.125
w 0.125
qd 0.125
w 0.125
qd 0.125
w 0.125
qd 0.125
w 0.125
qd 0.125
w 0.125
qd 0.125
w 0.125
qd 0.125
w 0.125
qd 0.125
w 0.125
qd 0.125
w 0.125
q 0.125
g 0.125
h 0.125
g 0.125
s 0.125
d 0.125
s 0.125
a 0.125
n 0.125
b 0.125
n 0.125
b 0.125
c 0.125
x 0.125
z 0.125
z 0.125
z 0.125
x 0.125
c 0.125
b 0.125
n 0.125
a 0.125
s 0.125
d 0.125
g 0.125
h 0.125
q 0.125
w 0.125
e 0.125
t 0.125
yh 0.25
h 0.25
w 0.25
q 0.25
eh 0.25
w 0.25
t 0.25
yh 0.5
h 0.25
w 0.25
q 0.25
eh 0.25
w 0.25
e 0.25
t 0.25
y 0.25
h 0.25
w 0.25
q 0.25
eh 0.25
w 0.25
t 0.25
yh 0.5
ed 0.25
tg 0.25
yh 0.25
qu 0.25
uj 0.25
yh 0.25
tg 0.25
yh 0.25
n 0.25
s 0.25
a 0.25
dn 0.25
s 0.25
g 0.25
h 0.5
n 0.25
s 0.25
a 0.25
dn 0.25
s 0.25
d 0.25
g 0.25
h 0.25
n 0.25
s 0.25
a 0.25
dn 0.25
s 0.25
g 0.25
hn 0.5
ed 0.25
tg 0.25
yh 0.25
qu 0.25
uj 0.25
yh 0.25
tg 0.25
yh 0.25
yh 0.5
sdhn 0.25
sdhn 0.75
zxcn 2.25
z 0.125
z 0.125
z 0.125
z 0.125
z 0.125
z 1
