# 由21键曲谱播放器从 【鸣潮】爱弥斯--小小奇迹（尚未发布(๑•̀ᴗ- )✧✩°｡⋆！）.mid 转换
# 格式：按键 拍数；p 表示休止，同时按键写在一起
# 录制基准：500 ms/拍
p 7.5
wyh 0.75
s 0.375
wt 0.375
g 0.75
wh 1.5625
w 0.375
t 0.375
y 0.75
th 0.375
y 0.375
wua 1.1875
ug 0.75
u 0.375
qetu 2.3125
q 0.375
w 0.375
t 0.375
y 0.375
wys 1.1875
tg 0.75
h 0.375
wj 1.9375
j 0.75
w 0.375
t 0.375
y 0.375
wya 1.1875
wuj 1.125
q 0.375
ts 4.25
u 0.1875
u 0.1875
u 5
wtdc 1.1875
w 1.125
wt 2.3125
gj 1.5625
wtaz 1.1875
u 1.125
t 2.3125
g 1.5625
wtzb 1.1875
w 1.125
wt 2.3125
gj 1.5625
wtsx 1.1875
y 1.125
wrsf 2.3125
sf 1.5625
wtdc 1.1875
w 1.125
wtd 2.3125
gj 1.5625
wtaz 1.125
wu 1.125
wtdg 2.3125
dg 0.8125
a 0.75
wtz 1.1875
w 1.125
wtb 1.5625
s 0.8125
g 0.75
b 0.75
wtzx 1.1875
y 1.125
wrs 2.3125
sn 1.5625
egjc 0.75
t 0.375
r 1.125
tg 0.75
m 2.3125
td 0.375
tc 0.375
wrsfhx 1.1875
t 1.125
wsf 2.3125
fx 0.8125
j 0.75
qsz 1.1875
r 1.125
tag 3.0625
t 0.75
uazb 1.1875
u 1.125
y 0.375
t 0.375
rsx 1.5625
th 1.5625
dgjc 0.75
t 0.375
r 1.125
tdgj 2.3125
d 0.75
tc 0.375
t 0.375
rsfhx 1.1875
t 1.125
wsfh 1.5625
n 0.75
s 0.75
jx 0.75
qaz 1.1875
tb 1.125
tad 0.75
t 1.5
z 0.75
tad 0.375
y 0.375
wruzm 0.8125
u 0.75
u 0.75
u 0.75
etuazb 0.75
adgzb 0.375
y 0.375
sfxn 0.75
t 0.75
wtazb 0.75
z 0.375
wzb 1.125
wtzb 0.75
tuazb 0.75
w 0.375
zb 0.375
tu 0.75
wab 0.75
wtxbm 1.1875
wuxbm 1.125
wtxbm 0.75
txbm 0.75
w 0.375
zxb 0.375
y 0.75
wxbm 0.75
wtzxn 1.1875
wxn 1.125
wtxn 0.375
x 0.375
tzxn 0.8125
w 0.375
xn 0.375
wryxn 0.8125
wyxn 0.375
t 0.375
wtzcm 1.1875
ydbm 1.1875
wtcm 0.75
tdcb 0.75
w 0.375
cbm 0.375
uz 0.75
udcbm 0.75
wtazb 1.1875
w 1.125
wtadb 0.75
tuab 0.75
w 0.375
a 0.375
tu 0.75
wa 0.75
wtzxb 1.1875
wuxbm 1.125
wtxbm 0.75
yzxb 0.75
wxb 0.375
m 0.375
txm 0.75
wsxb 0.75
wtzv 1.1875
wzv 1.1875
wtazv 0.75
wzv 0.75
uv 0.375
z 0.375
yzv 0.75
wtzv 0.75
euzx 0.1875
u 0.125
e 0.125
u 0.0625
e 0.125
u 0.0625
eu 0.1875
eu 0.1875
e 0.0625
eux 0.125
un 0.125
eu 0.1875
u 0.125
e 0.125
u 0.125
eu 0.1875
e 0.125
u 0.125
exn 0.125
u 0.125
e 0.125
u 0.125
e 0.125
u 0.125
erzx 0.0625
wu 0.375
wruzx 0.75
ed 0.375
eu 0.75
uj 0.375
wu 0.375
jzcm 1.1875
m 0.375
qufgm 0.75
ujcbm 0.75
ryjzx 0.75
tg 0.375
b 0.375
tsgm 0.75
rfxn 0.375
tg 0.375
qetz 0.8125
tg 0.375
yhb 0.375
db 0.75
uajc 0.75
yhzx 1.1875
n 0.375
wfn 0.375
wu 0.375
xn 0.375
yh 0.375
quz 0.75
qu 0.375
ujzc 0.375
asg 0.75
quac 0.75
wtuzm 0.75
tg 0.375
tgzb 0.375
sgm 0.75
usjb 0.75
wruzx 0.75
uj 0.375
x 0.375
ysfh 0.75
tgxn 0.75
ruhzx 1.1875
v 0.375
qwufj 0.75
ujxm 0.75
ygjzc 0.4375
tg 0.75
tgb 0.375
egj 0.75
tgcm 0.75
ryhzx 0.75
tg 0.375
x 0.375
wyfh 0.75
tgn 0.75
wtuz 0.375
uj 0.375
uj 0.375
ujz 0.375
ag 0.75
ujz 0.375
qu 0.375
wtuz 0.75
tg 0.375
b 0.375
ysghb 0.75
tgz 0.75
qadgz 0.8125
tg 0.375
z 0.375
radf 0.75
tgz 0.75
ryjz 0.75
yh 0.375
ujz 0.375
fm 0.75
yhm 0.75
wtgz 0.375
t 0.8125
b 0.375
ag 0.75
uaj 0.75
wryuzx 1.1875
eu 0.375
wyfh 0.75
uj 0.75
wyhzc 1.1875
c 0.375
dm 0.75
tgx 2.3125
sgx 1.5625
asgz 1.1875
b 0.375
ag 0.75
asgz 1.9375
z 0.375
asgzb 0.75
b 0.75
dgzc 1.1875
c 0.375
dm 0.75
wgzc 1.9375
c 0.375
wsdgm 0.75
zc 0.75
shzx 1.1875
shx 0.375
sn 0.75
shzx 1.9375
x 0.375
wsg 0.8125
sgxn 0.75
gzcm 1.1875
c 0.375
gm 0.75
dgm 1.9375
c 0.375
dghm 0.75
gcm 0.75
shzx 1.125
shx 0.375
sn 0.75
wfzx 1.9375
x 0.375
sg 0.75
qxn 0.75
jz 1.1875
b 0.375
ag 0.75
dgz 1.9375
b 0.375
adgcb 0.8125
z 0.75
fzm 1.1875
fzm 0.375
v 0.75
sgz 1.5625
g 0.125
q 0.125
w 2.3125
t 0.125
u 0.125
u 13.6875
