# 由21键曲谱播放器从 JOJO5处刑曲(速1.1,-2).mid 转换
# 格式：按键 拍数；p 表示休止，同时按键写在一起
# 录制基准：444 ms/拍
p 6
qedh 1.5
qashz 2
q 0.25
w 0.25
wzxn 0.75
w 0.75
q 0.5
jzxc 0.75
q 0.75
w 0.5
edhzcn 1.5
yhzxn 1.5
h 0.5
j 0.5
qzx 0.75
w 0.75
q 0.5
jz 0.75
t 0.75
r 0.5
qedh 1.5
qashz 2
q 0.25
w 0.25
wzxn 0.75
w 0.75
q 0.5
jzxc 0.75
q 0.75
w 0.5
edhzcn 1.5
yhzxn 1.5
yh 0.5
uj 0.5
quzx 0.75
rf 0.75
ed 0.5
wsz 0.75
qu 0.75
wu 0.5
qeudh 1.5
quashz 2
qu 0.25
wu 0.25
wuzxn 0.75
wu 0.75
qu 0.5
ujzxc 0.75
qu 0.75
wu 0.5
eudhzcn 1.5
yuhzxn 1.5
yh 0.5
uj 0.5
quzx 0.75
wu 0.75
qu 0.5
ujz 0.75
tu 0.75
ru 0.5
qeudh 1.5
quashz 2
qu 0.25
wu 0.25
wuzxn 0.75
wu 0.75
qu 0.5
ujzxc 0.75
qu 0.75
wu 0.5
eudhzcn 1.5
yuhzxn 1.5
yh 0.5
uj 0.5
quzx 0.75
ru 0.75
eu 0.5
wuz 0.75
qu 0.75
tg 0.5
qeydhz 0.5
z 0.5
z 0.25
z 0.5
z 0.5
z 0.5
z 0.5
z 0.25
z 0.5
z 0.5
z 0.5
z 0.25
z 0.5
z 0.5
zx 0.5
zx 0.5
z 0.25
jz 0.25
q 0.25
hz 0.5
z 0.5
z 0.25
z 0.5
z 0.5
z 0.5
z 0.5
z 0.25
z 0.5
z 0.5
z 0.5
z 0.25
z 0.5
z 0.25
g 0.25
zx 0.5
zx 0.25
h 0.25
z 0.25
z 0.5
qzn 0.25
j 0.25
zn 0.25
j 0.25
zn 0.25
zb 0.5
zn 0.5
az 0.5
zn 0.5
zc 0.25
zb 0.5
zn 0.5
zn 0.5
zn 0.25
zb 0.5
zn 0.25
w 0.25
qszx 0.25
g 0.25
shzx 0.5
az 0.25
szb 0.5
szn 0.25
s 0.25
s 0.25
szn 0.25
s 0.25
s 0.25
szn 0.25
szb 0.25
d 0.5
azn 0.25
n 0.25
az 0.5
zn 0.5
zc 0.25
zb 0.5
zn 0.5
zn 0.5
zn 0.5
zb 0.25
zn 0.75
yhzn 0.5
tgzb 0.5
yhzn 0.5
hzn 0.25
h 0.25
ghzn 0.25
g 0.25
fhzn 0.25
ghzb 0.25
g 0.25
ghzn 0.25
f 0.25
qahz 0.25
g 0.25
ghzn 0.25
f 0.25
dzc 0.25
gzb 0.5
hzn 0.25
h 0.25
ghzn 0.25
g 0.25
fhzn 0.25
ghzb 0.25
w 0.25
hzn 0.5
wszx 0.5
wszx 0.5
qaz 0.25
gzb 0.5
hzn 0.5
dhzn 0.5
hzn 0.25
gzb 0.5
hzn 0.25
dh 0.25
qaz 0.25
g 0.25
hzn 0.25
dh 0.25
dzc 0.25
gzb 0.5
hzn 0.5
hzn 0.5
hzn 0.25
ghzb 0.25
g 0.25
hzn 0.25
q 0.25
wszx 0.5
wszx 0.5
qaz 0.25
gzb 0.5
yhzn 0.5
yhzn 0.5
yhzn 0.25
tgzb 0.5
yhzn 0.5
quaz 0.5
yhzn 0.5
edzc 0.25
tgzb 0.5
yhzn 0.5
yhzn 0.5
yhzn 0.25
tgzb 0.5
yhzn 0.5
wuszx 0.5
wuszx 0.5
quaz 0.25
tgzb 0.5
yhzn 0.5
yhzn 0.5
yhzn 0.25
tgzb 0.5
yhzn 0.25
dhn 0.25
quaz 0.25
dhn 0.25
yhzn 0.25
dhn 0.25
edzc 0.25
tdghzbn 0.5
yhzn 0.5
yhzn 0.5
yhzn 0.25
tgzb 0.25
yhzn 0.25
quaz 0.25
ydhn 0.25
wuszx 0.5
wuszx 0.25
ydhn 0.25
quaz 0.25
tgzb 2.5
ajzbm 15
