# 由21键曲谱播放器从 Neveda.mid 转换
# 格式：按键 拍数；p 表示休止，同时按键写在一起
# 录制基准：500 ms/拍
dn 0.5
dn 0.5
sn 0.5
sn 0.5
n 0.75
n 0.25
gn 0.5
hn 0.5
g 0.75
g 0.75
s 0.75
s 0.75
s 0.5
a 0.5
ad 1
ad 1
a 0.5
a 0.5
ad 0.5
g 0.5
ad 0.75
ad 0.75
as 0.5
dh 0.5
dg 0.5
qdh 0.5
dgj 0.5
qd 0.5
dj 0.5
qs 0.5
sj 0.5
q 0.5
j 0.5
qg 0.5
hj 0.5
qg 0.5
j 0.25
g 0.25
q 0.5
sj 0.75
s 0.75
a 0.5
g 0.5
ad 1
ad 1
a 0.5
a 0.5
ad 0.5
g 0.5
ad 0.75
ad 0.75
as 2.5
dn 0.5
dn 0.5
sn 0.5
sn 0.5
n 0.75
n 0.25
qgn 0.5
whn 0.5
rg 0.5
e 0.25
g 0.25
q 0.5
r 0.5
e 0.5
q 0.5
sh 0.5
a 0.5
adg 1
ad 1
a 0.5
a 0.5
qd 0.5
wg 0.5
adj 0.75
adj 0.25
j 0.5
asj 0.5
dhj 0.5
dgh 0.5
qdh 0.5
dg 0.5
dn 0.5
dn 0.5
sn 0.5
sn 0.5
n 1
qg 0.5
wh 0.5
rg 0.5
e 0.25
g 0.25
q 0.5
r 0.5
e 0.5
q 0.5
t 0.5
g 0.5
ad 1
ad 1
a 1
qs 0.5
wsg 0.5
sj 0.25
sj 0.25
sj 0.5
sj 0.5
sj 0.5
sj 0.5
eyh 1.5
dn 0.5
d 0.5
eysh 0.5
s 1
qed 0.25
n 0.25
gn 0.5
hn 0.5
wtg 0.75
g 0.75
wsh 0.75
sv 0.75
sv 0.5
av 0.5
adc 1
adc 1
a 1
qed 0.5
wtg 0.5
wadj 0.75
wadj 0.75
wasj 0.5
wdhj 0.5
wdgh 0.5
qedh 0.5
dg 0.5
dn 0.5
d 0.5
eysh 0.5
s 1
qed 0.25
n 0.25
gn 0.5
hn 0.5
wtg 0.75
g 0.75
wsh 0.75
sv 0.75
av 0.5
gv 0.5
adc 1
adc 1
a 1
qed 0.5
wtg 0.5
wadj 0.5
wj 0.25
ad 0.25
wj 0.5
wadj 0.5
wj 0.5
eh 1.5
edhn 0.5
edhn 0.5
wshn 0.5
wsh 0.5
dhn 0.75
dhn 0.25
tgh 0.5
yh 0.5
tfg 0.75
tfg 0.75
wsfv 0.75
wsfv 0.75
wsfv 0.5
qaf 0.5
qead 1
qead 1
qa 0.5
qa 0.5
qead 0.5
tg 0.5
qead 0.75
qead 0.75
qws 0.5
eydh 0.5
etdg 0.5
eydh 0.5
etdg 0.5
edhn 0.5
edhn 0.5
wshn 0.5
wsh 0.5
dhn 0.75
dhn 0.25
tgh 0.5
yh 0.5
tfg 0.75
tfg 0.75
wsfv 0.75
wsfv 0.75
qaf 0.5
tfg 0.5
qead 1
qead 1
qa 0.5
q 0.5
qed 0.5
wt 0.5
qedj 0.5
j 0.25
qed 0.25
j 0.5
qwj 0.5
j 0.5
h 0.5
qe 0.5
qe 0.5
edh 0.5
edh 0.5
wsh 0.5
wsh 0.5
ydh 0.75
ydh 0.25
tgh 0.5
y 0.5
tfg 0.75
tfg 0.75
wf 0.75
wsf 0.75
wsf 0.5
qf 0.5
qed 1
qed 1
q 0.5
q 0.5
qed 0.5
t 0.5
qed 0.75
qed 0.75
qw 0.5
eyh 0.5
etdg 0.5
eydh 0.5
etdg 0.5
edh 0.5
edh 0.5
wsh 0.5
wsh 0.5
ydh 0.75
ydh 0.25
tgh 0.5
y 0.5
tfg 0.75
tfg 0.75
wf 0.75
wsf 0.75
qf 0.5
tg 0.5
qed 1
qed 1
q 0.5
q 0.5
qed 0.5
tg 0.5
e 0.75
e 3.25
